City,State,Petrol_Rate,Diesel_Rate,Date
Nicobar,Andaman And Nicobar,90.03,89.71,2021-10-27
North&middle Andaman,Andaman And Nicobar,90.03,89.71,2021-10-27
South Andaman,Andaman And Nicobar,90.03,89.71,2021-10-27
Nicobar,Andaman And Nicobar,90.31,90.03,2021-10-28
North&middle Andaman,Andaman And Nicobar,90.31,90.03,2021-10-28
South Andaman,Andaman And Nicobar,90.31,90.03,2021-10-28
Nicobar,Andaman And Nicobar,90.6,90.34,2021-10-29
North&middle Andaman,Andaman And Nicobar,90.6,90.34,2021-10-29
South Andaman,Andaman And Nicobar,90.6,90.34,2021-10-29
Nicobar,Andaman And Nicobar,90.88,90.66,2021-10-30
North&middle Andaman,Andaman And Nicobar,90.88,90.66,2021-10-30
South Andaman,Andaman And Nicobar,90.88,90.66,2021-10-30
Nicobar,Andaman And Nicobar,91.45,91.3,2021-11-01
North&middle Andaman,Andaman And Nicobar,91.45,91.3,2021-11-01
South Andaman,Andaman And Nicobar,91.45,91.3,2021-11-01
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-07
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-07
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-07
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-08
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-08
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-08
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-09
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-09
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-09
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-11
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-11
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-11
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-12
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-12
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-12
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-14
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-14
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-14
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-16
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-16
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-16
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-17
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-17
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-17
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-19
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-19
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-19
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-23
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-23
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-23
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-24
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-24
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-24
Nicobar,Andaman And Nicobar,82.96,77.13,2021-11-29
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-11-29
South Andaman,Andaman And Nicobar,82.96,77.13,2021-11-29
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-01
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-01
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-01
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-02
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-02
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-02
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-03
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-03
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-03
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-06
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-06
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-06
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-22
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-22
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-22
Nicobar,Andaman And Nicobar,82.96,77.13,2021-12-29
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2021-12-29
South Andaman,Andaman And Nicobar,82.96,77.13,2021-12-29
Nicobar,Andaman And Nicobar,82.96,77.13,2022-01-04
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2022-01-04
South Andaman,Andaman And Nicobar,82.96,77.13,2022-01-04
Nicobar,Andaman And Nicobar,82.96,77.13,2022-01-18
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2022-01-18
South Andaman,Andaman And Nicobar,82.96,77.13,2022-01-18
Nicobar,Andaman And Nicobar,82.96,77.13,2022-01-27
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2022-01-27
South Andaman,Andaman And Nicobar,82.96,77.13,2022-01-27
Nicobar,Andaman And Nicobar,82.96,77.13,2022-02-13
North&middle Andaman,Andaman And Nicobar,82.96,77.13,2022-02-13
South Andaman,Andaman And Nicobar,82.96,77.13,2022-02-13
