City,State,Petrol_Rate,Diesel_Rate,Date
Anantapur,Andhra Pradesh,114.48,107.0,2021-10-27
Chittoor,Andhra Pradesh,114.68,107.13,2021-10-27
Cuddapah,Andhra Pradesh,113.37,105.95,2021-10-27
East Godavari,Andhra Pradesh,113.61,106.18,2021-10-27
Guntur,Andhra Pradesh,114.48,107.0,2021-10-27
Krishna,Andhra Pradesh,113.52,106.11,2021-10-27
Kurnool,Andhra Pradesh,113.92,106.46,2021-10-27
Nellore,Andhra Pradesh,114.64,107.1,2021-10-27
Prakasam,Andhra Pradesh,112.96,105.57,2021-10-27
Srikakulam,Andhra Pradesh,113.95,106.46,2021-10-27
Vishakhapatnam,Andhra Pradesh,112.66,105.27,2021-10-27
Vizianagaram,Andhra Pradesh,113.02,105.6,2021-10-27
West Godavari,Andhra Pradesh,114.19,106.71,2021-10-27
Anantapur,Andhra Pradesh,114.94,107.47,2021-10-28
Chittoor,Andhra Pradesh,116.09,108.45,2021-10-28
Cuddapah,Andhra Pradesh,113.94,106.52,2021-10-28
East Godavari,Andhra Pradesh,114.44,106.99,2021-10-28
Guntur,Andhra Pradesh,114.28,106.86,2021-10-28
Krishna,Andhra Pradesh,113.8,106.41,2021-10-28
Kurnool,Andhra Pradesh,114.45,106.99,2021-10-28
Nellore,Andhra Pradesh,114.78,107.27,2021-10-28
Prakasam,Andhra Pradesh,113.78,106.37,2021-10-28
Srikakulam,Andhra Pradesh,114.34,106.86,2021-10-28
Vishakhapatnam,Andhra Pradesh,113.18,105.78,2021-10-28
Vizianagaram,Andhra Pradesh,113.1,105.71,2021-10-28
West Godavari,Andhra Pradesh,114.67,107.2,2021-10-28
Anantapur,Andhra Pradesh,114.04,106.68,2021-10-29
Chittoor,Andhra Pradesh,115.54,108.02,2021-10-29
Cuddapah,Andhra Pradesh,113.83,106.45,2021-10-29
East Godavari,Andhra Pradesh,114.42,106.98,2021-10-29
Guntur,Andhra Pradesh,115.35,107.87,2021-10-29
Krishna,Andhra Pradesh,114.53,107.13,2021-10-29
Kurnool,Andhra Pradesh,114.49,107.07,2021-10-29
Nellore,Andhra Pradesh,114.57,107.12,2021-10-29
Prakasam,Andhra Pradesh,113.63,106.27,2021-10-29
Srikakulam,Andhra Pradesh,115.63,108.1,2021-10-29
Vishakhapatnam,Andhra Pradesh,113.62,106.24,2021-10-29
Vizianagaram,Andhra Pradesh,113.76,106.36,2021-10-29
West Godavari,Andhra Pradesh,114.97,107.52,2021-10-29
Anantapur,Andhra Pradesh,114.74,107.36,2021-10-30
Chittoor,Andhra Pradesh,115.59,108.1,2021-10-30
Cuddapah,Andhra Pradesh,114.21,106.85,2021-10-30
East Godavari,Andhra Pradesh,114.27,106.91,2021-10-30
Guntur,Andhra Pradesh,115.27,107.86,2021-10-30
Krishna,Andhra Pradesh,114.57,107.21,2021-10-30
Kurnool,Andhra Pradesh,115.06,107.66,2021-10-30
Nellore,Andhra Pradesh,114.74,107.31,2021-10-30
Prakasam,Andhra Pradesh,115.03,107.61,2021-10-30
Srikakulam,Andhra Pradesh,114.81,107.38,2021-10-30
Vishakhapatnam,Andhra Pradesh,114.57,107.15,2021-10-30
Vizianagaram,Andhra Pradesh,114.11,106.73,2021-10-30
West Godavari,Andhra Pradesh,115.24,107.81,2021-10-30
Anantapur,Andhra Pradesh,115.62,108.24,2021-11-01
Chittoor,Andhra Pradesh,116.55,109.07,2021-11-01
Cuddapah,Andhra Pradesh,114.65,107.33,2021-11-01
East Godavari,Andhra Pradesh,115.96,108.52,2021-11-01
Guntur,Andhra Pradesh,115.94,108.55,2021-11-01
Krishna,Andhra Pradesh,115.28,107.94,2021-11-01
Kurnool,Andhra Pradesh,116.17,108.75,2021-11-01
Nellore,Andhra Pradesh,116.14,108.69,2021-11-01
Prakasam,Andhra Pradesh,115.95,108.54,2021-11-01
Srikakulam,Andhra Pradesh,115.52,108.11,2021-11-01
Vishakhapatnam,Andhra Pradesh,114.58,107.25,2021-11-01
Vizianagaram,Andhra Pradesh,114.51,107.18,2021-11-01
West Godavari,Andhra Pradesh,115.41,108.05,2021-11-01
Anantapur,Andhra Pradesh,116.35,0.0,2021-11-04
Chittoor,Andhra Pradesh,116.68,0.0,2021-11-04
Cuddapah,Andhra Pradesh,116.12,0.0,2021-11-04
East Godavari,Andhra Pradesh,116.44,0.0,2021-11-04
Guntur,Andhra Pradesh,116.61,0.0,2021-11-04
Krishna,Andhra Pradesh,115.78,0.0,2021-11-04
Kurnool,Andhra Pradesh,116.32,0.0,2021-11-04
Nellore,Andhra Pradesh,116.98,0.0,2021-11-04
Prakasam,Andhra Pradesh,116.43,0.0,2021-11-04
Srikakulam,Andhra Pradesh,116.2,0.0,2021-11-04
Vishakhapatnam,Andhra Pradesh,115.15,0.0,2021-11-04
Vizianagaram,Andhra Pradesh,115.53,0.0,2021-11-04
West Godavari,Andhra Pradesh,116.66,0.0,2021-11-04
Anantapur,Andhra Pradesh,116.35,0.0,2021-11-05
Chittoor,Andhra Pradesh,116.68,0.0,2021-11-05
Cuddapah,Andhra Pradesh,116.12,0.0,2021-11-05
East Godavari,Andhra Pradesh,116.44,0.0,2021-11-05
Guntur,Andhra Pradesh,116.61,0.0,2021-11-05
Krishna,Andhra Pradesh,115.78,0.0,2021-11-05
Kurnool,Andhra Pradesh,116.32,0.0,2021-11-05
Nellore,Andhra Pradesh,116.98,0.0,2021-11-05
Prakasam,Andhra Pradesh,116.43,0.0,2021-11-05
Srikakulam,Andhra Pradesh,116.2,0.0,2021-11-05
Vishakhapatnam,Andhra Pradesh,115.15,0.0,2021-11-05
Vizianagaram,Andhra Pradesh,115.53,0.0,2021-11-05
West Godavari,Andhra Pradesh,116.66,0.0,2021-11-05
Anantapur,Andhra Pradesh,110.39,96.45,2021-11-07
Chittoor,Andhra Pradesh,110.44,96.47,2021-11-07
Cuddapah,Andhra Pradesh,109.78,95.89,2021-11-07
East Godavari,Andhra Pradesh,110.27,96.34,2021-11-07
Guntur,Andhra Pradesh,110.98,97.0,2021-11-07
Krishna,Andhra Pradesh,110.63,96.7,2021-11-07
Kurnool,Andhra Pradesh,109.55,95.69,2021-11-07
Nellore,Andhra Pradesh,110.43,96.46,2021-11-07
Prakasam,Andhra Pradesh,109.83,95.93,2021-11-07
Srikakulam,Andhra Pradesh,110.5,96.52,2021-11-07
Vishakhapatnam,Andhra Pradesh,109.05,95.18,2021-11-07
Vizianagaram,Andhra Pradesh,109.71,95.79,2021-11-07
West Godavari,Andhra Pradesh,110.02,96.12,2021-11-07
Anantapur,Andhra Pradesh,110.33,96.42,2021-11-08
Chittoor,Andhra Pradesh,110.83,96.86,2021-11-08
Cuddapah,Andhra Pradesh,110.28,96.35,2021-11-08
East Godavari,Andhra Pradesh,109.61,95.73,2021-11-08
Guntur,Andhra Pradesh,110.15,96.23,2021-11-08
Krishna,Andhra Pradesh,110.23,96.33,2021-11-08
Kurnool,Andhra Pradesh,110.32,96.41,2021-11-08
Nellore,Andhra Pradesh,110.87,96.87,2021-11-08
Prakasam,Andhra Pradesh,109.88,95.98,2021-11-08
Srikakulam,Andhra Pradesh,110.7,96.71,2021-11-08
Vishakhapatnam,Andhra Pradesh,109.82,95.89,2021-11-08
Vizianagaram,Andhra Pradesh,110.5,96.52,2021-11-08
West Godavari,Andhra Pradesh,110.02,96.12,2021-11-08
Anantapur,Andhra Pradesh,109.43,95.58,2021-11-09
Chittoor,Andhra Pradesh,110.51,96.53,2021-11-09
Cuddapah,Andhra Pradesh,109.83,95.94,2021-11-09
East Godavari,Andhra Pradesh,110.53,96.59,2021-11-09
Guntur,Andhra Pradesh,110.71,96.77,2021-11-09
Krishna,Andhra Pradesh,110.25,96.35,2021-11-09
Kurnool,Andhra Pradesh,110.63,96.7,2021-11-09
Nellore,Andhra Pradesh,111.33,97.29,2021-11-09
