City,State,Petrol_Rate,Diesel_Rate,Date
Changlang,Arunachal Pradesh,102.38,95.46,2021-10-27
Dibang Valley,Arunachal Pradesh,104.69,97.6,2021-10-27
East Khameng,Arunachal Pradesh,101.6,94.65,2021-10-27
East Siang,Arunachal Pradesh,102.01,95.07,2021-10-27
Lohit,Arunachal Pradesh,102.76,95.8,2021-10-27
Longding,Arunachal Pradesh,102.07,95.17,2021-10-27
Lower Dibang Valley,Arunachal Pradesh,102.62,95.64,2021-10-27
Lower Subansiri,Arunachal Pradesh,100.81,93.82,2021-10-27
Namsai,Arunachal Pradesh,102.12,95.22,2021-10-27
Papumpare,Arunachal Pradesh,99.86,93.11,2021-10-27
Tawang,Arunachal Pradesh,105.17,97.68,2021-10-27
Tirap,Arunachal Pradesh,102.38,95.37,2021-10-27
Upper Siang,Arunachal Pradesh,103.01,96.01,2021-10-27
Upper Sibansiri,Arunachal Pradesh,103.74,96.72,2021-10-27
West Kameng,Arunachal Pradesh,102.51,95.57,2021-10-27
West Siang,Arunachal Pradesh,102.8,95.65,2021-10-27
Changlang,Arunachal Pradesh,102.85,95.89,2021-10-28
Dibang Valley,Arunachal Pradesh,102.7,95.79,2021-10-28
East Khameng,Arunachal Pradesh,101.92,94.98,2021-10-28
East Siang,Arunachal Pradesh,102.33,95.41,2021-10-28
Lohit,Arunachal Pradesh,103.23,96.24,2021-10-28
Longding,Arunachal Pradesh,101.87,95.02,2021-10-28
Lower Dibang Valley,Arunachal Pradesh,101.05,94.26,2021-10-28
Lower Subansiri,Arunachal Pradesh,101.13,94.16,2021-10-28
Namsai,Arunachal Pradesh,102.51,95.62,2021-10-28
Papumpare,Arunachal Pradesh,99.87,93.15,2021-10-28
Tawang,Arunachal Pradesh,105.73,98.24,2021-10-28
Tirap,Arunachal Pradesh,102.04,95.18,2021-10-28
Upper Siang,Arunachal Pradesh,103.34,96.35,2021-10-28
Upper Sibansiri,Arunachal Pradesh,104.06,97.06,2021-10-28
West Kameng,Arunachal Pradesh,103.56,96.41,2021-10-28
West Siang,Arunachal Pradesh,103.12,95.99,2021-10-28
Changlang,Arunachal Pradesh,103.22,96.31,2021-10-29
Dibang Valley,Arunachal Pradesh,105.33,98.28,2021-10-29
East Khameng,Arunachal Pradesh,101.59,94.79,2021-10-29
East Siang,Arunachal Pradesh,102.01,95.18,2021-10-29
Lohit,Arunachal Pradesh,103.55,96.58,2021-10-29
Longding,Arunachal Pradesh,102.72,95.85,2021-10-29
Lower Dibang Valley,Arunachal Pradesh,103.27,96.31,2021-10-29
Lower Subansiri,Arunachal Pradesh,101.45,94.49,2021-10-29
Namsai,Arunachal Pradesh,102.83,95.95,2021-10-29
Papumpare,Arunachal Pradesh,100.42,93.68,2021-10-29
Tawang,Arunachal Pradesh,105.82,98.35,2021-10-29
Tirap,Arunachal Pradesh,103.02,96.04,2021-10-29
Upper Siang,Arunachal Pradesh,103.66,96.69,2021-10-29
Upper Sibansiri,Arunachal Pradesh,104.39,97.4,2021-10-29
West Kameng,Arunachal Pradesh,101.94,95.12,2021-10-29
West Siang,Arunachal Pradesh,103.44,96.32,2021-10-29
Changlang,Arunachal Pradesh,103.09,96.23,2021-10-30
Dibang Valley,Arunachal Pradesh,105.65,98.61,2021-10-30
East Khameng,Arunachal Pradesh,101.91,95.13,2021-10-30
East Siang,Arunachal Pradesh,102.97,96.08,2021-10-30
Lohit,Arunachal Pradesh,103.45,96.56,2021-10-30
Longding,Arunachal Pradesh,102.51,95.69,2021-10-30
Lower Dibang Valley,Arunachal Pradesh,101.7,94.93,2021-10-30
Lower Subansiri,Arunachal Pradesh,101.77,94.83,2021-10-30
Namsai,Arunachal Pradesh,103.09,96.23,2021-10-30
Papumpare,Arunachal Pradesh,100.83,94.12,2021-10-30
Tawang,Arunachal Pradesh,106.38,98.91,2021-10-30
Tirap,Arunachal Pradesh,103.34,96.38,2021-10-30
