City,State,Petrol_Rate,Diesel_Rate,Date
Baksa,Assam,103.94,96.45,2021-10-27
Barpeta,Assam,104.04,96.55,2021-10-27
Biswanath,Assam,104.2,96.72,2021-10-27
Bongaigaon,Assam,103.74,96.27,2021-10-27
Cachar,Assam,104.18,96.73,2021-10-27
Charaideo,Assam,104.89,97.34,2021-10-27
Chirang,Assam,103.54,96.08,2021-10-27
Darrang,Assam,104.31,96.8,2021-10-27
Dhemaji,Assam,104.75,97.21,2021-10-27
Dhuburi,Assam,105.02,97.45,2021-10-27
Dibrugarh,Assam,104.5,96.98,2021-10-27
Dima Hasao,Assam,105.8,98.28,2021-10-27
Goalpara,Assam,104.02,96.53,2021-10-27
Golaghat,Assam,103.62,96.16,2021-10-27
Hailakandi,Assam,104.7,97.2,2021-10-27
Hojai,Assam,104.52,97.02,2021-10-27
Jorhat,Assam,104.21,96.71,2021-10-27
Kamrup,Assam,103.73,96.26,2021-10-27
Kamrup Metro,Assam,103.59,96.13,2021-10-27
Karbi Anglong,Assam,104.74,97.22,2021-10-27
Karimganj,Assam,104.72,97.22,2021-10-27
Kokrajhar,Assam,104.17,96.67,2021-10-27
Lakhimpur,Assam,105.45,97.88,2021-10-27
Majuli,Assam,105.98,98.35,2021-10-27
Morigaon,Assam,104.2,96.69,2021-10-27
Nagaon,Assam,104.3,96.79,2021-10-27
Nalbari,Assam,104.26,96.76,2021-10-27
Sibsagar,Assam,104.89,97.34,2021-10-27
Sonitpur,Assam,104.03,96.56,2021-10-27
Tinsukia,Assam,103.85,96.37,2021-10-27
Udalguri,Assam,104.96,97.42,2021-10-27
West Karbi Anglong,Assam,105.14,97.59,2021-10-27
Baksa,Assam,104.29,96.82,2021-10-28
Barpeta,Assam,104.72,97.22,2021-10-28
Biswanath,Assam,105.19,97.68,2021-10-28
Bongaigaon,Assam,103.89,96.45,2021-10-28
Cachar,Assam,104.54,97.1,2021-10-28
Charaideo,Assam,105.19,97.65,2021-10-28
Chirang,Assam,103.89,96.45,2021-10-28
Darrang,Assam,104.34,96.87,2021-10-28
Dhemaji,Assam,105.72,98.15,2021-10-28
Dhuburi,Assam,104.96,97.44,2021-10-28
Dibrugarh,Assam,104.86,97.35,2021-10-28
Dima Hasao,Assam,107.27,99.59,2021-10-28
Goalpara,Assam,104.75,97.24,2021-10-28
Golaghat,Assam,103.98,96.53,2021-10-28
Hailakandi,Assam,104.6,97.16,2021-10-28
Hojai,Assam,104.82,97.34,2021-10-28
Jorhat,Assam,104.57,97.08,2021-10-28
Kamrup,Assam,103.94,96.5,2021-10-28
Kamrup Metro,Assam,103.94,96.5,2021-10-28
Karbi Anglong,Assam,105.25,97.73,2021-10-28
Karimganj,Assam,105.21,97.72,2021-10-28
Kokrajhar,Assam,104.13,96.67,2021-10-28
Lakhimpur,Assam,106.34,98.74,2021-10-28
Majuli,Assam,106.38,98.76,2021-10-28
Morigaon,Assam,105.32,97.77,2021-10-28
Nagaon,Assam,105.12,97.59,2021-10-28
Nalbari,Assam,104.54,97.05,2021-10-28
Sibsagar,Assam,105.25,97.71,2021-10-28
Sonitpur,Assam,104.29,96.84,2021-10-28
Tinsukia,Assam,104.2,96.74,2021-10-28
Udalguri,Assam,105.0,97.48,2021-10-28
West Karbi Anglong,Assam,105.32,97.8,2021-10-28
Baksa,Assam,104.94,97.47,2021-10-29
Barpeta,Assam,104.63,97.18,2021-10-29
Biswanath,Assam,105.21,97.73,2021-10-29
Bongaigaon,Assam,104.61,97.15,2021-10-29
Cachar,Assam,105.09,97.65,2021-10-29
Charaideo,Assam,105.06,97.58,2021-10-29
Chirang,Assam,104.25,96.82,2021-10-29
Darrang,Assam,105.02,97.54,2021-10-29
Dhemaji,Assam,105.93,98.38,2021-10-29
Dhuburi,Assam,105.73,98.19,2021-10-29
Dibrugarh,Assam,104.99,97.51,2021-10-29
Dima Hasao,Assam,106.51,99.02,2021-10-29
Goalpara,Assam,105.19,97.69,2021-10-29
Golaghat,Assam,104.46,97.02,2021-10-29
Hailakandi,Assam,105.58,98.11,2021-10-29
Hojai,Assam,105.71,98.2,2021-10-29
Jorhat,Assam,104.61,97.15,2021-10-29
Kamrup,Assam,104.87,97.4,2021-10-29
Kamrup Metro,Assam,104.3,96.87,2021-10-29
Karbi Anglong,Assam,105.61,98.11,2021-10-29
Karimganj,Assam,105.26,97.81,2021-10-29
Kokrajhar,Assam,104.92,97.45,2021-10-29
Lakhimpur,Assam,105.92,98.39,2021-10-29
Majuli,Assam,106.69,99.09,2021-10-29
Morigaon,Assam,104.91,97.43,2021-10-29
Nagaon,Assam,105.44,97.95,2021-10-29
Nalbari,Assam,104.98,97.5,2021-10-29
Sibsagar,Assam,105.58,98.06,2021-10-29
Sonitpur,Assam,104.57,97.14,2021-10-29
Tinsukia,Assam,104.56,97.11,2021-10-29
Udalguri,Assam,105.67,98.16,2021-10-29
West Karbi Anglong,Assam,105.85,98.33,2021-10-29
Baksa,Assam,105.3,97.84,2021-10-30
Barpeta,Assam,105.27,97.81,2021-10-30
Biswanath,Assam,106.02,98.52,2021-10-30
Bongaigaon,Assam,104.82,97.39,2021-10-30
Cachar,Assam,105.25,97.84,2021-10-30
Charaideo,Assam,105.96,98.45,2021-10-30
Chirang,Assam,104.61,97.2,2021-10-30
Darrang,Assam,105.05,97.61,2021-10-30
Dhemaji,Assam,105.82,98.32,2021-10-30
