City,State,Petrol_Rate,Diesel_Rate,Date
Araria,Bihar,113.13,104.67,2021-10-27
Arwal,Bihar,112.04,103.68,2021-10-27
Aurangabad,Bihar,113.02,104.59,2021-10-27
Banka,Bihar,112.63,104.21,2021-10-27
Begusarai,Bihar,111.17,102.83,2021-10-27
Bhagalpur,Bihar,112.04,103.65,2021-10-27
Bhojpur,Bihar,112.31,103.93,2021-10-27
Buxar,Bihar,112.55,104.15,2021-10-27
Darbhanga,Bihar,111.61,103.25,2021-10-27
East Champaran,Bihar,112.64,104.24,2021-10-27
Gaya,Bihar,112.01,103.64,2021-10-27
Gopalganj,Bihar,112.84,104.42,2021-10-27
Jahanabad,Bihar,111.74,103.39,2021-10-27
Jamui,Bihar,113.23,104.77,2021-10-27
Kaimur,Bihar,113.03,104.6,2021-10-27
Katihar,Bihar,113.3,104.83,2021-10-27
Khagaria,Bihar,111.58,103.22,2021-10-27
Kishanganj,Bihar,113.59,105.1,2021-10-27
Luckeesarai,Bihar,112.73,104.32,2021-10-27
Madhepura,Bihar,112.18,103.78,2021-10-27
Madhubani,Bihar,112.86,104.42,2021-10-27
Munger,Bihar,113.12,104.66,2021-10-27
Muzaffarpur,Bihar,112.24,103.84,2021-10-27
Nalanda,Bihar,111.9,103.54,2021-10-27
Nawada,Bihar,112.14,103.77,2021-10-27
Patna,Bihar,111.24,102.93,2021-10-27
Purnia,Bihar,112.84,104.4,2021-10-27
Rohtas,Bihar,112.86,104.44,2021-10-27
Saharsa,Bihar,111.76,103.39,2021-10-27
Samastipur,Bihar,111.27,102.92,2021-10-27
Saran,Bihar,112.46,104.07,2021-10-27
Sewan,Bihar,112.37,103.98,2021-10-27
Sheikhpura,Bihar,112.56,104.16,2021-10-27
Sheohar,Bihar,112.54,104.12,2021-10-27
Sitamarhi,Bihar,112.74,104.31,2021-10-27
Supaul,Bihar,112.63,104.21,2021-10-27
Vaishali,Bihar,111.69,103.35,2021-10-27
West Champaran,Bihar,113.28,104.83,2021-10-27
Araria,Bihar,113.47,104.98,2021-10-28
Arwal,Bihar,112.56,104.14,2021-10-28
Aurangabad,Bihar,113.42,104.94,2021-10-28
Banka,Bihar,112.93,104.47,2021-10-28
Begusarai,Bihar,111.35,102.99,2021-10-28
Bhagalpur,Bihar,112.67,104.22,2021-10-28
Bhojpur,Bihar,112.46,104.05,2021-10-28
Buxar,Bihar,113.14,104.69,2021-10-28
Darbhanga,Bihar,112.14,103.73,2021-10-28
East Champaran,Bihar,112.97,104.52,2021-10-28
Gaya,Bihar,112.19,103.79,2021-10-28
Gopalganj,Bihar,113.35,104.88,2021-10-28
Jahanabad,Bihar,112.13,103.74,2021-10-28
Jamui,Bihar,114.07,105.54,2021-10-28
Kaimur,Bihar,113.43,104.96,2021-10-28
Katihar,Bihar,113.18,104.7,2021-10-28
Khagaria,Bihar,111.81,103.41,2021-10-28
Kishanganj,Bihar,113.73,105.22,2021-10-28
Luckeesarai,Bihar,113.27,104.81,2021-10-28
Madhepura,Bihar,112.58,104.14,2021-10-28
Madhubani,Bihar,112.94,104.48,2021-10-28
Munger,Bihar,112.96,104.5,2021-10-28
Muzaffarpur,Bihar,112.58,104.14,2021-10-28
Nalanda,Bihar,112.36,103.95,2021-10-28
Nawada,Bihar,112.76,104.33,2021-10-28
Patna,Bihar,111.64,103.28,2021-10-28
Purnia,Bihar,112.95,104.49,2021-10-28
Rohtas,Bihar,112.87,104.43,2021-10-28
Saharsa,Bihar,112.45,104.02,2021-10-28
Samastipur,Bihar,111.64,103.25,2021-10-28
