City,State,Petrol_Rate,Diesel_Rate,Date
Chandigarh,Chandigarh,103.55,96.03,2021-10-27
Chandigarh,Chandigarh,103.88,96.38,2021-10-28
Chandigarh,Chandigarh,104.55,97.08,2021-10-29
Chandigarh,Chandigarh,104.55,97.08,2021-10-30
Chandigarh,Chandigarh,105.22,97.77,2021-11-01
Chandigarh,Chandigarh,94.23,80.9,2021-11-07
Chandigarh,Chandigarh,94.23,80.9,2021-11-08
Chandigarh,Chandigarh,94.23,80.9,2021-11-09
Chandigarh,Chandigarh,94.23,80.9,2021-11-11
Chandigarh,Chandigarh,94.23,80.9,2021-11-12
Chandigarh,Chandigarh,94.23,80.9,2021-11-14
Chandigarh,Chandigarh,94.23,80.9,2021-11-16
Chandigarh,Chandigarh,94.23,80.9,2021-11-17
Chandigarh,Chandigarh,94.23,80.9,2021-11-19
Chandigarh,Chandigarh,94.23,80.9,2021-11-23
Chandigarh,Chandigarh,94.23,80.9,2021-11-24
Chandigarh,Chandigarh,94.23,80.9,2021-11-29
Chandigarh,Chandigarh,94.23,80.9,2021-12-01
Chandigarh,Chandigarh,94.23,80.9,2021-12-02
Chandigarh,Chandigarh,94.23,80.9,2021-12-03
Chandigarh,Chandigarh,94.23,80.9,2021-12-06
Chandigarh,Chandigarh,94.23,80.9,2021-12-22
Chandigarh,Chandigarh,94.23,80.9,2021-12-29
Chandigarh,Chandigarh,94.23,80.9,2022-01-04
Chandigarh,Chandigarh,94.23,80.9,2022-01-18
Chandigarh,Chandigarh,94.23,80.9,2022-01-27
Chandigarh,Chandigarh,94.23,80.9,2022-02-13
Chandigarh,Chandigarh,94.23,80.9,2022-02-19
Chandigarh,Chandigarh,94.23,80.9,2022-02-27
