City,State,Petrol_Rate,Diesel_Rate,Date
Balod,Chhatisgarh,106.22,104.98,2021-10-27
Balodabazar,Chhatisgarh,106.06,104.82,2021-10-27
Balrampur,Chhatisgarh,107.61,106.36,2021-10-27
Bastar,Chhatisgarh,108.11,106.85,2021-10-27
Bemetara,Chhatisgarh,105.9,104.66,2021-10-27
Bijapur,Chhatisgarh,109.64,108.37,2021-10-27
Bilaspur,Chhatisgarh,106.15,104.91,2021-10-27
Dantewada,Chhatisgarh,109.3,108.04,2021-10-27
Dhamtari,Chhatisgarh,105.84,104.6,2021-10-27
Durg,Chhatisgarh,105.62,104.38,2021-10-27
Gariyaband,Chhatisgarh,105.94,104.7,2021-10-27
Janjgir,Chhatisgarh,106.37,105.13,2021-10-27
Jashpur,Chhatisgarh,106.67,105.43,2021-10-27
Kanker,Chhatisgarh,107.43,106.18,2021-10-27
Kawardha,Chhatisgarh,106.47,105.22,2021-10-27
Kondagaon,Chhatisgarh,107.03,105.78,2021-10-27
Korba,Chhatisgarh,105.05,103.82,2021-10-27
Koria,Chhatisgarh,105.73,104.5,2021-10-27
Mahasamund,Chhatisgarh,105.68,104.44,2021-10-27
Mungeli,Chhatisgarh,106.04,104.8,2021-10-27
Raigarh,Chhatisgarh,106.28,105.04,2021-10-27
Raipur,Chhatisgarh,105.2,103.96,2021-10-27
Rajnandgaon,Chhatisgarh,105.77,104.53,2021-10-27
Sukma,Chhatisgarh,109.05,107.79,2021-10-27
Surajpur,Chhatisgarh,106.87,105.63,2021-10-27
Surguja,Chhatisgarh,105.95,104.72,2021-10-27
Balod,Chhatisgarh,106.28,105.08,2021-10-28
Balodabazar,Chhatisgarh,106.27,105.07,2021-10-28
Balrampur,Chhatisgarh,107.07,105.87,2021-10-28
Bastar,Chhatisgarh,108.45,107.23,2021-10-28
Bemetara,Chhatisgarh,106.11,104.9,2021-10-28
Bijapur,Chhatisgarh,109.97,108.75,2021-10-28
Bilaspur,Chhatisgarh,106.35,105.15,2021-10-28
Dantewada,Chhatisgarh,109.74,108.51,2021-10-28
Dhamtari,Chhatisgarh,106.88,105.67,2021-10-28
Durg,Chhatisgarh,105.99,104.79,2021-10-28
Gariyaband,Chhatisgarh,105.92,104.72,2021-10-28
Janjgir,Chhatisgarh,105.94,104.75,2021-10-28
Jashpur,Chhatisgarh,107.11,105.91,2021-10-28
Kanker,Chhatisgarh,107.38,106.16,2021-10-28
Kawardha,Chhatisgarh,106.83,105.62,2021-10-28
Kondagaon,Chhatisgarh,107.92,106.7,2021-10-28
Korba,Chhatisgarh,105.39,104.2,2021-10-28
Koria,Chhatisgarh,106.57,105.37,2021-10-28
Mahasamund,Chhatisgarh,106.84,105.63,2021-10-28
Mungeli,Chhatisgarh,106.37,105.17,2021-10-28
Raigarh,Chhatisgarh,106.64,105.44,2021-10-28
Raipur,Chhatisgarh,105.7,104.5,2021-10-28
Rajnandgaon,Chhatisgarh,106.51,105.31,2021-10-28
Sukma,Chhatisgarh,109.38,108.16,2021-10-28
Surajpur,Chhatisgarh,106.78,105.58,2021-10-28
Surguja,Chhatisgarh,106.48,105.28,2021-10-28
Balod,Chhatisgarh,107.56,106.43,2021-10-29
Balodabazar,Chhatisgarh,107.07,105.94,2021-10-29
Balrampur,Chhatisgarh,107.74,106.62,2021-10-29
Bastar,Chhatisgarh,109.12,107.98,2021-10-29
Bemetara,Chhatisgarh,107.15,106.02,2021-10-29
Bijapur,Chhatisgarh,110.64,109.49,2021-10-29
Bilaspur,Chhatisgarh,106.72,105.6,2021-10-29
Dantewada,Chhatisgarh,110.19,109.05,2021-10-29
Dhamtari,Chhatisgarh,106.85,105.72,2021-10-29
Durg,Chhatisgarh,106.69,105.56,2021-10-29
Gariyaband,Chhatisgarh,108.28,107.14,2021-10-29
Janjgir,Chhatisgarh,107.06,105.94,2021-10-29
Jashpur,Chhatisgarh,108.21,107.08,2021-10-29
Kanker,Chhatisgarh,108.33,107.19,2021-10-29
Kawardha,Chhatisgarh,107.27,106.14,2021-10-29
Kondagaon,Chhatisgarh,108.59,107.45,2021-10-29
Korba,Chhatisgarh,106.06,104.95,2021-10-29
Koria,Chhatisgarh,107.69,106.57,2021-10-29
Mahasamund,Chhatisgarh,106.58,105.45,2021-10-29
Mungeli,Chhatisgarh,107.05,105.92,2021-10-29
Raigarh,Chhatisgarh,106.91,105.78,2021-10-29
Raipur,Chhatisgarh,106.41,105.29,2021-10-29
Rajnandgaon,Chhatisgarh,107.01,105.88,2021-10-29
Sukma,Chhatisgarh,110.05,108.91,2021-10-29
Surajpur,Chhatisgarh,107.57,106.44,2021-10-29
Surguja,Chhatisgarh,107.45,106.33,2021-10-29
Balod,Chhatisgarh,107.56,0.0,2021-10-30
Balodabazar,Chhatisgarh,107.07,0.0,2021-10-30
Balrampur,Chhatisgarh,107.74,0.0,2021-10-30
Bastar,Chhatisgarh,109.12,0.0,2021-10-30
Bemetara,Chhatisgarh,107.15,0.0,2021-10-30
Bijapur,Chhatisgarh,110.64,0.0,2021-10-30
Bilaspur,Chhatisgarh,106.72,0.0,2021-10-30
Dantewada,Chhatisgarh,110.19,0.0,2021-10-30
Dhamtari,Chhatisgarh,106.85,0.0,2021-10-30
Durg,Chhatisgarh,106.69,0.0,2021-10-30
Gariyaband,Chhatisgarh,108.28,0.0,2021-10-30
Janjgir,Chhatisgarh,107.06,0.0,2021-10-30
Jashpur,Chhatisgarh,108.21,0.0,2021-10-30
Kanker,Chhatisgarh,108.33,0.0,2021-10-30
Kawardha,Chhatisgarh,107.27,0.0,2021-10-30
Kondagaon,Chhatisgarh,108.59,0.0,2021-10-30
Korba,Chhatisgarh,106.06,0.0,2021-10-30
Koria,Chhatisgarh,107.69,0.0,2021-10-30
Mahasamund,Chhatisgarh,106.58,0.0,2021-10-30
Mungeli,Chhatisgarh,107.05,0.0,2021-10-30
Raigarh,Chhatisgarh,106.91,0.0,2021-10-30
Raipur,Chhatisgarh,106.41,0.0,2021-10-30
Rajnandgaon,Chhatisgarh,107.01,0.0,2021-10-30
Sukma,Chhatisgarh,110.05,0.0,2021-10-30
Surajpur,Chhatisgarh,107.57,0.0,2021-10-30
Surguja,Chhatisgarh,107.45,0.0,2021-10-30
Balod,Chhatisgarh,108.12,107.06,2021-11-01
Balodabazar,Chhatisgarh,107.55,106.5,2021-11-01
Balrampur,Chhatisgarh,109.16,108.11,2021-11-01
Bastar,Chhatisgarh,109.79,108.73,2021-11-01
Bemetara,Chhatisgarh,107.45,106.4,2021-11-01
Bijapur,Chhatisgarh,111.32,110.24,2021-11-01
Bilaspur,Chhatisgarh,108.03,106.99,2021-11-01
Dantewada,Chhatisgarh,111.13,110.06,2021-11-01
Dhamtari,Chhatisgarh,107.23,106.18,2021-11-01
Durg,Chhatisgarh,107.26,106.21,2021-11-01
Gariyaband,Chhatisgarh,107.62,106.57,2021-11-01
Janjgir,Chhatisgarh,107.17,106.13,2021-11-01
Jashpur,Chhatisgarh,108.54,107.49,2021-11-01
Kanker,Chhatisgarh,108.45,107.4,2021-11-01
Kawardha,Chhatisgarh,107.94,106.89,2021-11-01
Kondagaon,Chhatisgarh,108.96,107.91,2021-11-01
Korba,Chhatisgarh,106.7,105.66,2021-11-01
Koria,Chhatisgarh,107.66,106.62,2021-11-01
Mahasamund,Chhatisgarh,108.26,107.21,2021-11-01
Mungeli,Chhatisgarh,107.72,106.67,2021-11-01
Raigarh,Chhatisgarh,107.96,106.92,2021-11-01
Raipur,Chhatisgarh,107.01,105.96,2021-11-01
Rajnandgaon,Chhatisgarh,107.68,106.63,2021-11-01
Sukma,Chhatisgarh,110.73,109.66,2021-11-01
Surajpur,Chhatisgarh,108.22,107.17,2021-11-01
Surguja,Chhatisgarh,108.12,107.07,2021-11-01
Balod,Chhatisgarh,108.36,0.0,2021-11-04
Balodabazar,Chhatisgarh,108.31,0.0,2021-11-04
Balrampur,Chhatisgarh,109.21,0.0,2021-11-04
Bastar,Chhatisgarh,110.65,0.0,2021-11-04
Bemetara,Chhatisgarh,108.32,0.0,2021-11-04
Bijapur,Chhatisgarh,112.27,0.0,2021-11-04
Bilaspur,Chhatisgarh,108.44,0.0,2021-11-04
Dantewada,Chhatisgarh,111.92,0.0,2021-11-04
Dhamtari,Chhatisgarh,108.32,0.0,2021-11-04
Durg,Chhatisgarh,108.08,0.0,2021-11-04
Gariyaband,Chhatisgarh,108.59,0.0,2021-11-04
Janjgir,Chhatisgarh,107.89,0.0,2021-11-04
Jashpur,Chhatisgarh,109.25,0.0,2021-11-04
Kanker,Chhatisgarh,109.52,0.0,2021-11-04
Kawardha,Chhatisgarh,108.94,0.0,2021-11-04
Kondagaon,Chhatisgarh,109.78,0.0,2021-11-04
Korba,Chhatisgarh,107.39,0.0,2021-11-04
Koria,Chhatisgarh,109.1,0.0,2021-11-04
Mahasamund,Chhatisgarh,108.79,0.0,2021-11-04
Mungeli,Chhatisgarh,108.5,0.0,2021-11-04
Raigarh,Chhatisgarh,108.86,0.0,2021-11-04
Raipur,Chhatisgarh,107.57,0.0,2021-11-04
Rajnandgaon,Chhatisgarh,108.42,0.0,2021-11-04
Sukma,Chhatisgarh,111.65,0.0,2021-11-04
Surajpur,Chhatisgarh,109.14,0.0,2021-11-04
Surguja,Chhatisgarh,108.61,0.0,2021-11-04
Balod,Chhatisgarh,108.36,0.0,2021-11-05
Balodabazar,Chhatisgarh,108.31,0.0,2021-11-05
Balrampur,Chhatisgarh,109.21,0.0,2021-11-05
Bastar,Chhatisgarh,110.65,0.0,2021-11-05
Bemetara,Chhatisgarh,108.32,0.0,2021-11-05
Bijapur,Chhatisgarh,112.27,0.0,2021-11-05
Bilaspur,Chhatisgarh,108.44,0.0,2021-11-05
Dantewada,Chhatisgarh,111.92,0.0,2021-11-05
Dhamtari,Chhatisgarh,108.32,0.0,2021-11-05
Durg,Chhatisgarh,108.08,0.0,2021-11-05
Gariyaband,Chhatisgarh,108.59,0.0,2021-11-05
Janjgir,Chhatisgarh,107.89,0.0,2021-11-05
Jashpur,Chhatisgarh,109.25,0.0,2021-11-05
Kanker,Chhatisgarh,109.52,0.0,2021-11-05
Kawardha,Chhatisgarh,108.94,0.0,2021-11-05
Kondagaon,Chhatisgarh,109.78,0.0,2021-11-05
Korba,Chhatisgarh,107.39,0.0,2021-11-05
Koria,Chhatisgarh,109.1,0.0,2021-11-05
Mahasamund,Chhatisgarh,108.79,0.0,2021-11-05
Mungeli,Chhatisgarh,108.5,0.0,2021-11-05
Raigarh,Chhatisgarh,108.86,0.0,2021-11-05
Raipur,Chhatisgarh,107.57,0.0,2021-11-05
Rajnandgaon,Chhatisgarh,108.42,0.0,2021-11-05
Sukma,Chhatisgarh,111.65,0.0,2021-11-05
Surajpur,Chhatisgarh,109.14,0.0,2021-11-05
Surguja,Chhatisgarh,108.61,0.0,2021-11-05
Balod,Chhatisgarh,102.83,94.72,2021-11-07
Balodabazar,Chhatisgarh,102.77,94.66,2021-11-07
Balrampur,Chhatisgarh,104.31,96.2,2021-11-07
Bastar,Chhatisgarh,104.83,96.71,2021-11-07
Bemetara,Chhatisgarh,102.3,94.19,2021-11-07
Bijapur,Chhatisgarh,106.45,98.32,2021-11-07
Bilaspur,Chhatisgarh,103.0,94.9,2021-11-07
Dantewada,Chhatisgarh,106.1,97.97,2021-11-07
Dhamtari,Chhatisgarh,102.18,94.07,2021-11-07
Durg,Chhatisgarh,102.51,94.4,2021-11-07
Gariyaband,Chhatisgarh,102.53,94.43,2021-11-07
Janjgir,Chhatisgarh,102.19,94.09,2021-11-07
Jashpur,Chhatisgarh,102.86,94.76,2021-11-07
Kanker,Chhatisgarh,103.07,94.96,2021-11-07
Kawardha,Chhatisgarh,102.8,94.69,2021-11-07
Kondagaon,Chhatisgarh,103.96,95.84,2021-11-07
Korba,Chhatisgarh,101.74,93.64,2021-11-07
Koria,Chhatisgarh,102.59,94.49,2021-11-07
Mahasamund,Chhatisgarh,102.11,94.0,2021-11-07
Mungeli,Chhatisgarh,102.68,94.58,2021-11-07
