City,State,Petrol_Rate,Diesel_Rate,Date
Silvassa,Dadra And Nagar Haveli,102.67,102.26,2021-10-27
Silvassa,Dadra And Nagar Haveli,103.16,102.83,2021-10-28
Silvassa,Dadra And Nagar Haveli,103.49,103.2,2021-10-29
Silvassa,Dadra And Nagar Haveli,103.49,103.2,2021-10-30
Silvassa,Dadra And Nagar Haveli,104.15,103.93,2021-11-01
Silvassa,Dadra And Nagar Haveli,104.78,0.0,2021-11-04
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-07
Silvassa,Dadra And Nagar Haveli,93.1,86.97,2021-11-08
Silvassa,Dadra And Nagar Haveli,93.38,87.25,2021-11-09
Silvassa,Dadra And Nagar Haveli,93.38,87.25,2021-11-11
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-12
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-14
Silvassa,Dadra And Nagar Haveli,93.1,86.97,2021-11-16
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-17
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-19
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-23
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-11-24
Silvassa,Dadra And Nagar Haveli,93.38,87.25,2021-11-29
Silvassa,Dadra And Nagar Haveli,93.38,87.25,2021-12-01
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-12-02
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-12-03
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-12-06
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-12-22
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2021-12-29
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2022-01-04
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2022-01-18
Silvassa,Dadra And Nagar Haveli,93.21,87.09,2022-01-27
