City,State,Petrol_Rate,Diesel_Rate,Date
Daman,Daman And Diu,102.39,101.98,2021-10-27
Diu,Daman And Diu,103.37,102.95,2021-10-27
Daman,Daman And Diu,102.72,102.35,2021-10-28
Diu,Daman And Diu,103.7,103.32,2021-10-28
Daman,Daman And Diu,103.37,103.08,2021-10-29
Diu,Daman And Diu,104.35,104.05,2021-10-29
Daman,Daman And Diu,103.37,103.08,2021-10-30
Diu,Daman And Diu,104.35,104.05,2021-10-30
Daman,Daman And Diu,104.03,103.81,2021-11-01
Diu,Daman And Diu,105.01,104.79,2021-11-01
Daman,Daman And Diu,104.38,0.0,2021-11-04
Diu,Daman And Diu,105.49,0.0,2021-11-04
Daman,Daman And Diu,93.02,86.9,2021-11-07
Diu,Daman And Diu,94.08,87.95,2021-11-07
Daman,Daman And Diu,93.1,86.97,2021-11-08
Diu,Daman And Diu,94.08,87.95,2021-11-08
Daman,Daman And Diu,93.1,86.97,2021-11-09
Diu,Daman And Diu,94.08,87.95,2021-11-09
Daman,Daman And Diu,93.1,86.97,2021-11-11
Diu,Daman And Diu,94.08,87.95,2021-11-11
Daman,Daman And Diu,93.1,86.97,2021-11-12
Diu,Daman And Diu,94.08,87.95,2021-11-12
Daman,Daman And Diu,93.1,86.97,2021-11-14
Diu,Daman And Diu,94.08,87.95,2021-11-14
Daman,Daman And Diu,93.1,86.97,2021-11-16
Diu,Daman And Diu,94.08,87.95,2021-11-16
Daman,Daman And Diu,93.1,86.97,2021-11-17
Diu,Daman And Diu,94.08,87.95,2021-11-17
Daman,Daman And Diu,93.1,86.97,2021-11-19
Diu,Daman And Diu,94.08,87.95,2021-11-19
Daman,Daman And Diu,93.1,86.97,2021-11-23
Diu,Daman And Diu,94.08,87.95,2021-11-23
Daman,Daman And Diu,93.02,86.9,2021-11-24
Diu,Daman And Diu,94.08,87.95,2021-11-24
Daman,Daman And Diu,93.1,86.97,2021-11-29
Diu,Daman And Diu,94.08,87.95,2021-11-29
Daman,Daman And Diu,93.1,86.97,2021-12-01
Diu,Daman And Diu,94.08,87.95,2021-12-01
Daman,Daman And Diu,93.1,86.97,2021-12-02
Diu,Daman And Diu,94.08,87.95,2021-12-02
Daman,Daman And Diu,93.1,86.97,2021-12-03
Diu,Daman And Diu,94.08,87.95,2021-12-03
Daman,Daman And Diu,93.02,86.9,2021-12-06
Diu,Daman And Diu,94.08,87.95,2021-12-06
Daman,Daman And Diu,93.1,86.97,2021-12-22
Diu,Daman And Diu,94.08,87.95,2021-12-22
Daman,Daman And Diu,93.02,86.9,2021-12-29
Diu,Daman And Diu,94.08,87.95,2021-12-29
Daman,Daman And Diu,93.1,86.97,2022-01-04
Diu,Daman And Diu,94.08,87.95,2022-01-04
Daman,Daman And Diu,93.1,86.97,2022-01-18
Diu,Daman And Diu,94.08,87.95,2022-01-18
Daman,Daman And Diu,93.1,86.97,2022-01-27
Diu,Daman And Diu,94.08,87.95,2022-01-27
Daman,Daman And Diu,93.02,86.9,2022-02-13
Diu,Daman And Diu,94.08,87.95,2022-02-13
