City,State,Petrol_Rate,Diesel_Rate,Date
North Goa,Goa,105.18,101.66,2021-10-27
South Goa,Goa,104.75,101.25,2021-10-27
North Goa,Goa,106.02,102.55,2021-10-28
South Goa,Goa,105.55,102.1,2021-10-28
North Goa,Goa,106.21,102.77,2021-10-29
South Goa,Goa,106.09,102.66,2021-10-29
North Goa,Goa,106.21,102.77,2021-10-30
South Goa,Goa,106.09,102.66,2021-10-30
North Goa,Goa,107.12,103.73,2021-11-01
South Goa,Goa,106.46,103.1,2021-11-01
North Goa,Goa,107.76,0.0,2021-11-04
South Goa,Goa,107.56,0.0,2021-11-04
North Goa,Goa,96.55,87.43,2021-11-07
South Goa,Goa,96.45,87.34,2021-11-07
North Goa,Goa,96.22,87.11,2021-11-08
South Goa,Goa,95.91,86.81,2021-11-08
North Goa,Goa,96.23,87.12,2021-11-09
South Goa,Goa,96.45,87.34,2021-11-09
North Goa,Goa,96.23,87.12,2021-11-11
South Goa,Goa,96.1,87.0,2021-11-11
North Goa,Goa,96.41,87.3,2021-11-12
South Goa,Goa,96.05,86.95,2021-11-12
North Goa,Goa,96.55,87.43,2021-11-14
South Goa,Goa,96.22,87.12,2021-11-14
North Goa,Goa,96.33,87.22,2021-11-16
South Goa,Goa,96.1,87.0,2021-11-16
North Goa,Goa,96.53,87.42,2021-11-17
South Goa,Goa,96.1,87.0,2021-11-17
North Goa,Goa,96.45,87.34,2021-11-19
South Goa,Goa,95.79,86.7,2021-11-19
North Goa,Goa,96.22,87.11,2021-11-23
South Goa,Goa,95.79,86.7,2021-11-23
North Goa,Goa,96.8,87.68,2021-11-24
South Goa,Goa,96.38,87.27,2021-11-24
North Goa,Goa,96.53,87.42,2021-11-29
South Goa,Goa,96.1,87.0,2021-11-29
North Goa,Goa,96.23,87.12,2021-12-01
South Goa,Goa,96.0,86.9,2021-12-01
North Goa,Goa,96.35,87.24,2021-12-02
South Goa,Goa,96.0,86.9,2021-12-02
North Goa,Goa,96.35,87.24,2021-12-03
South Goa,Goa,96.0,86.9,2021-12-03
North Goa,Goa,96.41,87.3,2021-12-06
South Goa,Goa,95.91,86.81,2021-12-06
North Goa,Goa,96.45,87.34,2021-12-22
South Goa,Goa,95.79,86.7,2021-12-22
North Goa,Goa,96.55,87.43,2021-12-29
South Goa,Goa,96.45,87.34,2021-12-29
North Goa,Goa,96.45,87.34,2022-01-04
South Goa,Goa,95.79,86.7,2022-01-04
North Goa,Goa,96.45,87.34,2022-01-18
South Goa,Goa,96.16,87.06,2022-01-18
North Goa,Goa,96.45,87.34,2022-01-27
South Goa,Goa,95.79,86.7,2022-01-27
North Goa,Goa,96.55,87.43,2022-02-13
South Goa,Goa,96.45,87.34,2022-02-13
