City,State,Petrol_Rate,Diesel_Rate,Date
Ahmedabad,Gujarat,104.24,103.81,2021-10-27
Amreli,Gujarat,104.72,104.3,2021-10-27
Anand,Gujarat,104.24,103.81,2021-10-27
Aravalli,Gujarat,105.01,104.57,2021-10-27
Banas Kantha,Gujarat,104.22,103.81,2021-10-27
Bharuch,Gujarat,104.49,104.06,2021-10-27
Bhavnagar,Gujarat,105.68,105.23,2021-10-27
Botad,Gujarat,105.43,104.99,2021-10-27
Chhotaudepur,Gujarat,105.0,104.56,2021-10-27
Dahod,Gujarat,105.34,104.9,2021-10-27
Devbhumi Dwarka,Gujarat,104.55,104.11,2021-10-27
Gandhi Nagar,Gujarat,104.7,104.27,2021-10-27
Gir Somnath,Gujarat,106.24,105.81,2021-10-27
Jamnagar,Gujarat,104.43,104.0,2021-10-27
Junagadh,Gujarat,105.41,104.99,2021-10-27
Kheda,Gujarat,104.5,104.07,2021-10-27
Kutch,Gujarat,105.0,104.56,2021-10-27
Mahisagar,Gujarat,104.89,104.45,2021-10-27
Mehsana,Gujarat,104.62,104.21,2021-10-27
Morbi,Gujarat,105.05,104.64,2021-10-27
Narmada,Gujarat,104.3,103.87,2021-10-27
Navsari,Gujarat,104.7,104.28,2021-10-27
Panch Mahal,Gujarat,104.68,104.24,2021-10-27
Patan,Gujarat,104.82,104.41,2021-10-27
Porbander,Gujarat,105.1,104.66,2021-10-27
Rajkot,Gujarat,104.0,103.59,2021-10-27
Sabar Kantha,Gujarat,105.19,104.75,2021-10-27
Surat,Gujarat,104.67,104.25,2021-10-27
Surendranagar,Gujarat,105.63,105.19,2021-10-27
Tapi,Gujarat,104.73,104.31,2021-10-27
The Dangs,Gujarat,105.1,104.69,2021-10-27
Vadodara,Gujarat,104.24,103.8,2021-10-27
Valsad,Gujarat,105.14,104.72,2021-10-27
Ahmedabad,Gujarat,105.83,105.52,2021-10-29
Amreli,Gujarat,106.62,106.32,2021-10-29
Anand,Gujarat,105.38,105.07,2021-10-29
Aravalli,Gujarat,106.22,105.9,2021-10-29
Banas Kantha,Gujarat,106.25,105.96,2021-10-29
Bharuch,Gujarat,105.58,105.27,2021-10-29
Bhavnagar,Gujarat,106.65,106.32,2021-10-29
Botad,Gujarat,106.6,106.27,2021-10-29
Chhotaudepur,Gujarat,105.67,105.36,2021-10-29
Dahod,Gujarat,105.94,105.62,2021-10-29
Devbhumi Dwarka,Gujarat,105.56,105.25,2021-10-29
Gandhi Nagar,Gujarat,105.72,105.4,2021-10-29
Gir Somnath,Gujarat,107.18,106.87,2021-10-29
Jamnagar,Gujarat,105.27,104.95,2021-10-29
Junagadh,Gujarat,106.56,106.23,2021-10-29
Kheda,Gujarat,105.66,105.35,2021-10-29
Kutch,Gujarat,106.08,105.76,2021-10-29
Mahisagar,Gujarat,106.28,105.96,2021-10-29
Mehsana,Gujarat,105.05,104.76,2021-10-29
Morbi,Gujarat,106.19,105.89,2021-10-29
Narmada,Gujarat,105.63,105.32,2021-10-29
Navsari,Gujarat,106.08,105.78,2021-10-29
Panch Mahal,Gujarat,105.53,105.21,2021-10-29
Patan,Gujarat,105.84,105.54,2021-10-29
Porbander,Gujarat,106.11,105.79,2021-10-29
Rajkot,Gujarat,105.01,104.71,2021-10-29
Sabar Kantha,Gujarat,105.98,105.66,2021-10-29
Surat,Gujarat,105.13,104.84,2021-10-29
Surendranagar,Gujarat,106.3,105.98,2021-10-29
Tapi,Gujarat,106.04,105.74,2021-10-29
The Dangs,Gujarat,106.42,106.12,2021-10-29
Vadodara,Gujarat,105.25,104.94,2021-10-29
Valsad,Gujarat,105.94,105.64,2021-10-29
Ahmedabad,Gujarat,105.83,105.52,2021-10-30
Amreli,Gujarat,106.62,106.32,2021-10-30
Anand,Gujarat,105.38,105.07,2021-10-30
Aravalli,Gujarat,106.22,105.9,2021-10-30
Banas Kantha,Gujarat,106.25,105.96,2021-10-30
Bharuch,Gujarat,105.58,105.27,2021-10-30
Bhavnagar,Gujarat,106.65,106.32,2021-10-30
Botad,Gujarat,106.6,106.27,2021-10-30
Chhotaudepur,Gujarat,105.67,105.36,2021-10-30
Dahod,Gujarat,105.94,105.62,2021-10-30
Devbhumi Dwarka,Gujarat,105.56,105.25,2021-10-30
Gandhi Nagar,Gujarat,105.72,105.4,2021-10-30
Gir Somnath,Gujarat,107.18,106.87,2021-10-30
Jamnagar,Gujarat,105.27,104.95,2021-10-30
Junagadh,Gujarat,106.56,106.23,2021-10-30
Kheda,Gujarat,105.66,105.35,2021-10-30
