City,State,Petrol_Rate,Diesel_Rate,Date
Ambala,Haryana,104.54,96.49,2021-10-27
Bhiwani,Haryana,105.46,97.32,2021-10-27
Charki Dadri,Haryana,105.41,97.29,2021-10-27
Faridabad,Haryana,105.3,97.19,2021-10-27
Fatehabad,Haryana,106.07,97.88,2021-10-27
Gurgaon,Haryana,104.74,96.67,2021-10-27
Hisar,Haryana,105.55,97.4,2021-10-27
Jhajjar,Haryana,105.24,97.13,2021-10-27
Jind,Haryana,104.96,96.86,2021-10-27
Kaithal,Haryana,104.7,96.62,2021-10-27
Karnal,Haryana,104.62,96.54,2021-10-27
Kurukshetra,Haryana,104.69,96.62,2021-10-27
Mahendragarh,Haryana,105.06,96.97,2021-10-27
Mewat,Haryana,104.92,96.84,2021-10-27
Palwal,Haryana,105.16,97.06,2021-10-27
Panchkula,Haryana,105.15,97.05,2021-10-27
Panipat,Haryana,104.42,96.36,2021-10-27
Rewari,Haryana,104.56,96.51,2021-10-27
Rohtak,Haryana,105.29,97.17,2021-10-27
Sirsa,Haryana,106.59,98.36,2021-10-27
Sonipat,Haryana,104.77,96.69,2021-10-27
Yamunanagar,Haryana,105.03,96.93,2021-10-27
Ambala,Haryana,105.6,97.53,2021-10-28
Bhiwani,Haryana,106.36,98.24,2021-10-28
Charki Dadri,Haryana,105.95,97.86,2021-10-28
Faridabad,Haryana,106.15,98.05,2021-10-28
Fatehabad,Haryana,106.4,98.26,2021-10-28
Gurgaon,Haryana,105.47,97.42,2021-10-28
Hisar,Haryana,106.37,98.23,2021-10-28
Jhajjar,Haryana,105.67,97.6,2021-10-28
Jind,Haryana,105.86,97.76,2021-10-28
Kaithal,Haryana,105.7,97.61,2021-10-28
Karnal,Haryana,105.35,97.3,2021-10-28
Kurukshetra,Haryana,105.51,97.45,2021-10-28
Mahendragarh,Haryana,105.96,97.87,2021-10-28
Mewat,Haryana,105.59,97.54,2021-10-28
Palwal,Haryana,106.26,98.15,2021-10-28
Panchkula,Haryana,105.36,97.32,2021-10-28
Panipat,Haryana,105.38,97.32,2021-10-28
Rewari,Haryana,105.24,97.21,2021-10-28
Rohtak,Haryana,105.83,97.73,2021-10-28
Sirsa,Haryana,107.27,99.07,2021-10-28
Sonipat,Haryana,105.67,97.59,2021-10-28
Yamunanagar,Haryana,105.73,97.66,2021-10-28
Ambala,Haryana,105.56,97.54,2021-10-29
Bhiwani,Haryana,106.48,98.37,2021-10-29
Charki Dadri,Haryana,106.29,98.21,2021-10-29
Faridabad,Haryana,106.32,98.24,2021-10-29
Fatehabad,Haryana,107.01,98.86,2021-10-29
Gurgaon,Haryana,105.78,97.75,2021-10-29
Hisar,Haryana,106.72,98.6,2021-10-29
Jhajjar,Haryana,105.82,97.78,2021-10-29
Jind,Haryana,105.71,97.67,2021-10-29
Kaithal,Haryana,105.72,97.67,2021-10-29
Karnal,Haryana,105.61,97.57,2021-10-29
Kurukshetra,Haryana,105.8,97.76,2021-10-29
Mahendragarh,Haryana,106.21,98.14,2021-10-29
Mewat,Haryana,106.46,98.37,2021-10-29
Palwal,Haryana,106.6,98.51,2021-10-29
Panchkula,Haryana,106.17,98.1,2021-10-29
Panipat,Haryana,105.44,97.41,2021-10-29
Rewari,Haryana,105.74,97.71,2021-10-29
Rohtak,Haryana,106.3,98.21,2021-10-29
Sirsa,Haryana,107.8,99.59,2021-10-29
Sonipat,Haryana,106.01,97.94,2021-10-29
Yamunanagar,Haryana,106.02,97.96,2021-10-29
Ambala,Haryana,105.56,97.54,2021-10-30
Bhiwani,Haryana,106.48,98.37,2021-10-30
Charki Dadri,Haryana,106.29,98.21,2021-10-30
