City,State,Petrol_Rate,Diesel_Rate,Date
Bilaspur,Himachal Pradesh,103.99,94.73,2021-10-27
Chamba,Himachal Pradesh,104.33,95.05,2021-10-27
Hamirpur,Himachal Pradesh,103.19,94.05,2021-10-27
Kangra,Himachal Pradesh,103.21,94.07,2021-10-27
Kinnaur,Himachal Pradesh,106.86,97.21,2021-10-27
Kullu,Himachal Pradesh,105.2,95.8,2021-10-27
Lahul & Spiti,Himachal Pradesh,109.08,99.19,2021-10-27
Mandi,Himachal Pradesh,103.67,94.46,2021-10-27
Shimla,Himachal Pradesh,105.88,96.4,2021-10-27
Sirmaur,Himachal Pradesh,104.78,95.48,2021-10-27
Solan,Himachal Pradesh,103.36,94.21,2021-10-27
Una,Himachal Pradesh,102.73,93.63,2021-10-27
Bilaspur,Himachal Pradesh,104.66,95.41,2021-10-28
Chamba,Himachal Pradesh,106.11,96.73,2021-10-28
Hamirpur,Himachal Pradesh,104.23,95.03,2021-10-28
Kangra,Himachal Pradesh,103.99,94.84,2021-10-28
Kinnaur,Himachal Pradesh,107.53,97.9,2021-10-28
Kullu,Himachal Pradesh,105.79,96.39,2021-10-28
Lahul & Spiti,Himachal Pradesh,109.75,99.88,2021-10-28
Mandi,Himachal Pradesh,105.83,96.43,2021-10-28
Shimla,Himachal Pradesh,105.95,96.58,2021-10-28
Sirmaur,Himachal Pradesh,105.46,96.17,2021-10-28
Solan,Himachal Pradesh,103.88,94.75,2021-10-28
Una,Himachal Pradesh,103.62,94.5,2021-10-28
Bilaspur,Himachal Pradesh,104.66,95.48,2021-10-29
Chamba,Himachal Pradesh,106.05,96.73,2021-10-29
Hamirpur,Himachal Pradesh,104.56,95.38,2021-10-29
Kangra,Himachal Pradesh,104.74,95.56,2021-10-29
Kinnaur,Himachal Pradesh,107.87,98.24,2021-10-29
Kullu,Himachal Pradesh,105.86,96.52,2021-10-29
Lahul & Spiti,Himachal Pradesh,108.04,98.37,2021-10-29
Mandi,Himachal Pradesh,105.42,96.14,2021-10-29
Shimla,Himachal Pradesh,106.89,97.43,2021-10-29
Sirmaur,Himachal Pradesh,105.79,96.51,2021-10-29
Solan,Himachal Pradesh,104.4,95.26,2021-10-29
Una,Himachal Pradesh,104.02,94.91,2021-10-29
Bilaspur,Himachal Pradesh,104.66,0.0,2021-10-30
Chamba,Himachal Pradesh,106.05,0.0,2021-10-30
Hamirpur,Himachal Pradesh,104.56,0.0,2021-10-30
Kangra,Himachal Pradesh,104.74,0.0,2021-10-30
Kinnaur,Himachal Pradesh,107.87,0.0,2021-10-30
Kullu,Himachal Pradesh,105.86,0.0,2021-10-30
Lahul & Spiti,Himachal Pradesh,108.04,0.0,2021-10-30
Mandi,Himachal Pradesh,105.42,0.0,2021-10-30
Shimla,Himachal Pradesh,106.89,0.0,2021-10-30
Sirmaur,Himachal Pradesh,105.79,0.0,2021-10-30
Solan,Himachal Pradesh,104.4,0.0,2021-10-30
Una,Himachal Pradesh,104.02,0.0,2021-10-30
Bilaspur,Himachal Pradesh,105.29,96.13,2021-11-01
Chamba,Himachal Pradesh,106.73,97.41,2021-11-01
Hamirpur,Himachal Pradesh,105.26,96.09,2021-11-01
Kangra,Himachal Pradesh,104.87,95.74,2021-11-01
Kinnaur,Himachal Pradesh,108.54,98.92,2021-11-01
Kullu,Himachal Pradesh,106.53,97.2,2021-11-01
Lahul & Spiti,Himachal Pradesh,110.76,100.9,2021-11-01
Mandi,Himachal Pradesh,106.39,97.07,2021-11-01
Shimla,Himachal Pradesh,106.83,97.48,2021-11-01
Sirmaur,Himachal Pradesh,106.46,97.19,2021-11-01
Solan,Himachal Pradesh,104.93,95.81,2021-11-01
Una,Himachal Pradesh,104.4,95.33,2021-11-01
Bilaspur,Himachal Pradesh,106.46,0.0,2021-11-04
Chamba,Himachal Pradesh,107.22,0.0,2021-11-04
Hamirpur,Himachal Pradesh,106.25,0.0,2021-11-04
Kangra,Himachal Pradesh,106.33,0.0,2021-11-04
Kinnaur,Himachal Pradesh,108.72,0.0,2021-11-04
Kullu,Himachal Pradesh,107.34,0.0,2021-11-04
Lahul & Spiti,Himachal Pradesh,111.96,0.0,2021-11-04
Mandi,Himachal Pradesh,106.55,0.0,2021-11-04
Shimla,Himachal Pradesh,107.75,0.0,2021-11-04
Sirmaur,Himachal Pradesh,107.29,0.0,2021-11-04
Solan,Himachal Pradesh,106.42,0.0,2021-11-04
Una,Himachal Pradesh,105.09,0.0,2021-11-04
Bilaspur,Himachal Pradesh,94.38,79.28,2021-11-07
Chamba,Himachal Pradesh,94.83,79.68,2021-11-07
Hamirpur,Himachal Pradesh,94.08,79.04,2021-11-07
Kangra,Himachal Pradesh,94.02,78.97,2021-11-07
Kinnaur,Himachal Pradesh,97.75,82.09,2021-11-07
Kullu,Himachal Pradesh,96.01,80.64,2021-11-07
Lahul & Spiti,Himachal Pradesh,97.96,82.24,2021-11-07
Mandi,Himachal Pradesh,95.33,80.06,2021-11-07
Shimla,Himachal Pradesh,96.61,81.16,2021-11-07
Sirmaur,Himachal Pradesh,95.49,80.26,2021-11-07
Solan,Himachal Pradesh,95.09,79.86,2021-11-07
Una,Himachal Pradesh,93.73,78.7,2021-11-07
Bilaspur,Himachal Pradesh,94.3,79.22,2021-11-08
Chamba,Himachal Pradesh,96.22,80.87,2021-11-08
Hamirpur,Himachal Pradesh,94.01,78.94,2021-11-08
Kangra,Himachal Pradesh,95.09,79.85,2021-11-08
Kinnaur,Himachal Pradesh,96.91,81.43,2021-11-08
Kullu,Himachal Pradesh,96.59,81.08,2021-11-08
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-08
Mandi,Himachal Pradesh,94.79,79.63,2021-11-08
Shimla,Himachal Pradesh,96.65,81.21,2021-11-08
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-08
Solan,Himachal Pradesh,95.09,79.86,2021-11-08
Una,Himachal Pradesh,93.77,78.72,2021-11-08
Bilaspur,Himachal Pradesh,94.42,79.32,2021-11-09
Chamba,Himachal Pradesh,95.82,80.52,2021-11-09
Hamirpur,Himachal Pradesh,94.33,79.23,2021-11-09
Kangra,Himachal Pradesh,94.94,79.73,2021-11-09
Kinnaur,Himachal Pradesh,97.75,82.09,2021-11-09
Kullu,Himachal Pradesh,95.65,80.33,2021-11-09
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-09
Mandi,Himachal Pradesh,95.33,80.06,2021-11-09
Shimla,Himachal Pradesh,96.06,80.58,2021-11-09
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-09
Solan,Himachal Pradesh,93.93,78.9,2021-11-09
Una,Himachal Pradesh,93.56,78.53,2021-11-09
Bilaspur,Himachal Pradesh,94.77,79.59,2021-11-11
Chamba,Himachal Pradesh,94.83,79.68,2021-11-11
Hamirpur,Himachal Pradesh,94.28,79.19,2021-11-11
Kangra,Himachal Pradesh,94.78,79.62,2021-11-11
Kinnaur,Himachal Pradesh,97.96,82.28,2021-11-11
Kullu,Himachal Pradesh,95.83,80.48,2021-11-11
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-11
Mandi,Himachal Pradesh,94.76,79.6,2021-11-11
Shimla,Himachal Pradesh,96.58,81.14,2021-11-11
Sirmaur,Himachal Pradesh,95.49,80.26,2021-11-11
Solan,Himachal Pradesh,94.14,79.1,2021-11-11
Una,Himachal Pradesh,93.57,78.54,2021-11-11
Bilaspur,Himachal Pradesh,94.42,79.32,2021-11-12
Chamba,Himachal Pradesh,96.22,80.87,2021-11-12
Hamirpur,Himachal Pradesh,94.33,79.23,2021-11-12
Kangra,Himachal Pradesh,94.66,79.51,2021-11-12
Kinnaur,Himachal Pradesh,97.75,82.09,2021-11-12
Kullu,Himachal Pradesh,96.01,80.64,2021-11-12
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-12
Mandi,Himachal Pradesh,94.83,79.65,2021-11-12
Shimla,Himachal Pradesh,96.36,81.04,2021-11-12
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-12
Solan,Himachal Pradesh,95.29,80.0,2021-11-12
Una,Himachal Pradesh,93.77,78.72,2021-11-12
Bilaspur,Himachal Pradesh,94.47,79.36,2021-11-14
Chamba,Himachal Pradesh,95.11,79.89,2021-11-14
Hamirpur,Himachal Pradesh,94.14,79.07,2021-11-14
Kangra,Himachal Pradesh,94.36,79.28,2021-11-14
Kinnaur,Himachal Pradesh,97.96,82.28,2021-11-14
Kullu,Himachal Pradesh,95.65,80.33,2021-11-14
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-14
Mandi,Himachal Pradesh,95.14,79.87,2021-11-14
Shimla,Himachal Pradesh,96.36,81.04,2021-11-14
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-14
Solan,Himachal Pradesh,94.73,79.56,2021-11-14
Una,Himachal Pradesh,93.57,78.54,2021-11-14
Bilaspur,Himachal Pradesh,94.77,79.59,2021-11-16
Chamba,Himachal Pradesh,95.53,80.24,2021-11-16
Hamirpur,Himachal Pradesh,94.23,79.15,2021-11-16
Kangra,Himachal Pradesh,94.78,79.63,2021-11-16
Kinnaur,Himachal Pradesh,96.91,81.43,2021-11-16
Kullu,Himachal Pradesh,95.83,80.48,2021-11-16
Lahul & Spiti,Himachal Pradesh,97.96,82.24,2021-11-16
Mandi,Himachal Pradesh,94.76,79.6,2021-11-16
Shimla,Himachal Pradesh,95.78,80.35,2021-11-16
Sirmaur,Himachal Pradesh,95.6,80.36,2021-11-16
Solan,Himachal Pradesh,93.88,78.86,2021-11-16
Una,Himachal Pradesh,93.67,78.64,2021-11-16
Bilaspur,Himachal Pradesh,94.66,79.52,2021-11-17
Chamba,Himachal Pradesh,95.82,80.52,2021-11-17
Hamirpur,Himachal Pradesh,94.36,79.26,2021-11-17
Kangra,Himachal Pradesh,94.61,79.49,2021-11-17
Kinnaur,Himachal Pradesh,96.91,81.43,2021-11-17
Kullu,Himachal Pradesh,96.28,80.86,2021-11-17
Lahul & Spiti,Himachal Pradesh,97.96,82.24,2021-11-17
Mandi,Himachal Pradesh,94.57,79.44,2021-11-17
Shimla,Himachal Pradesh,95.67,80.28,2021-11-17
Sirmaur,Himachal Pradesh,95.68,80.43,2021-11-17
Solan,Himachal Pradesh,95.29,80.0,2021-11-17
Una,Himachal Pradesh,93.56,78.54,2021-11-17
Bilaspur,Himachal Pradesh,94.42,79.32,2021-11-19
Chamba,Himachal Pradesh,96.22,80.87,2021-11-19
Hamirpur,Himachal Pradesh,94.33,79.23,2021-11-19
Kangra,Himachal Pradesh,94.66,79.51,2021-11-19
Kinnaur,Himachal Pradesh,97.75,82.09,2021-11-19
Kullu,Himachal Pradesh,95.65,80.33,2021-11-19
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-19
Mandi,Himachal Pradesh,94.83,79.65,2021-11-19
Shimla,Himachal Pradesh,96.61,81.16,2021-11-19
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-19
Solan,Himachal Pradesh,95.0,79.77,2021-11-19
Una,Himachal Pradesh,93.72,78.67,2021-11-19
Bilaspur,Himachal Pradesh,94.47,79.36,2021-11-23
Chamba,Himachal Pradesh,95.82,80.52,2021-11-23
Hamirpur,Himachal Pradesh,94.08,79.04,2021-11-23
Kangra,Himachal Pradesh,93.99,78.93,2021-11-23
Kinnaur,Himachal Pradesh,96.91,81.43,2021-11-23
Kullu,Himachal Pradesh,96.28,80.86,2021-11-23
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-23
Mandi,Himachal Pradesh,94.77,79.61,2021-11-23
Shimla,Himachal Pradesh,96.12,80.76,2021-11-23
Sirmaur,Himachal Pradesh,95.27,80.05,2021-11-23
Solan,Himachal Pradesh,95.0,79.77,2021-11-23
Una,Himachal Pradesh,93.57,78.54,2021-11-23
Bilaspur,Himachal Pradesh,94.47,79.36,2021-11-24
Chamba,Himachal Pradesh,95.21,79.97,2021-11-24
Hamirpur,Himachal Pradesh,94.23,79.15,2021-11-24
Kangra,Himachal Pradesh,94.78,79.63,2021-11-24
Kinnaur,Himachal Pradesh,97.96,82.28,2021-11-24
Kullu,Himachal Pradesh,96.28,80.86,2021-11-24
Lahul & Spiti,Himachal Pradesh,99.99,84.07,2021-11-24
Mandi,Himachal Pradesh,94.44,79.33,2021-11-24
Shimla,Himachal Pradesh,96.58,81.14,2021-11-24
Sirmaur,Himachal Pradesh,95.49,80.26,2021-11-24
Solan,Himachal Pradesh,93.88,78.86,2021-11-24
Una,Himachal Pradesh,93.67,78.64,2021-11-24
Bilaspur,Himachal Pradesh,94.66,79.52,2021-11-29
Chamba,Himachal Pradesh,96.22,80.87,2021-11-29
Hamirpur,Himachal Pradesh,94.33,79.23,2021-11-29
Kangra,Himachal Pradesh,94.63,79.52,2021-11-29
Kinnaur,Himachal Pradesh,97.75,82.09,2021-11-29
Kullu,Himachal Pradesh,96.01,80.64,2021-11-29
Lahul & Spiti,Himachal Pradesh,97.96,82.24,2021-11-29
Mandi,Himachal Pradesh,95.33,80.06,2021-11-29
Shimla,Himachal Pradesh,96.61,81.16,2021-11-29
Sirmaur,Himachal Pradesh,95.54,80.29,2021-11-29
Solan,Himachal Pradesh,95.0,79.77,2021-11-29
Una,Himachal Pradesh,93.93,78.88,2021-11-29
Bilaspur,Himachal Pradesh,94.77,79.59,2021-12-01
Chamba,Himachal Pradesh,95.82,80.52,2021-12-01
Hamirpur,Himachal Pradesh,93.97,78.93,2021-12-01
