City,State,Petrol_Rate,Diesel_Rate,Date
Anantnag,Jammu And Kashmir,109.94,99.78,2021-10-27
Badgam,Jammu And Kashmir,110.51,100.25,2021-10-27
Bandipora,Jammu And Kashmir,110.94,100.66,2021-10-27
Baramullah,Jammu And Kashmir,110.61,100.35,2021-10-27
Doda,Jammu And Kashmir,108.86,98.79,2021-10-27
Ganderbal,Jammu And Kashmir,110.61,100.35,2021-10-27
Jammu,Jammu And Kashmir,106.63,96.92,2021-10-27
Kathua,Jammu And Kashmir,107.08,97.34,2021-10-27
Kishtwar,Jammu And Kashmir,109.58,99.49,2021-10-27
Kulgam,Jammu And Kashmir,109.82,99.67,2021-10-27
Kupwara,Jammu And Kashmir,111.25,100.95,2021-10-27
Poonch,Jammu And Kashmir,109.27,99.19,2021-10-27
Pulwama,Jammu And Kashmir,110.41,100.16,2021-10-27
Rajouri,Jammu And Kashmir,107.64,97.79,2021-10-27
Ramban,Jammu And Kashmir,108.33,98.33,2021-10-27
Reasi,Jammu And Kashmir,107.39,97.59,2021-10-27
Samba,Jammu And Kashmir,106.79,97.06,2021-10-27
Shopian,Jammu And Kashmir,110.03,99.85,2021-10-27
Srinagar,Jammu And Kashmir,110.47,100.22,2021-10-27
Udhampur,Jammu And Kashmir,107.42,97.57,2021-10-27
Anantnag,Jammu And Kashmir,110.44,100.36,2021-10-28
Badgam,Jammu And Kashmir,111.2,100.97,2021-10-28
Bandipora,Jammu And Kashmir,111.61,101.35,2021-10-28
Baramullah,Jammu And Kashmir,111.53,101.28,2021-10-28
Doda,Jammu And Kashmir,109.96,99.88,2021-10-28
Ganderbal,Jammu And Kashmir,111.27,101.04,2021-10-28
Jammu,Jammu And Kashmir,107.41,97.71,2021-10-28
Kathua,Jammu And Kashmir,107.99,98.26,2021-10-28
Kishtwar,Jammu And Kashmir,110.24,100.18,2021-10-28
Kulgam,Jammu And Kashmir,110.53,100.41,2021-10-28
Kupwara,Jammu And Kashmir,111.71,101.44,2021-10-28
Poonch,Jammu And Kashmir,110.27,100.2,2021-10-28
Pulwama,Jammu And Kashmir,110.74,100.64,2021-10-28
Rajouri,Jammu And Kashmir,109.91,99.82,2021-10-28
Ramban,Jammu And Kashmir,108.99,99.03,2021-10-28
Reasi,Jammu And Kashmir,108.42,98.61,2021-10-28
Samba,Jammu And Kashmir,107.32,97.63,2021-10-28
Shopian,Jammu And Kashmir,110.89,100.72,2021-10-28
Srinagar,Jammu And Kashmir,111.14,100.91,2021-10-28
Udhampur,Jammu And Kashmir,108.08,98.27,2021-10-28
Anantnag,Jammu And Kashmir,110.94,100.83,2021-10-29
Badgam,Jammu And Kashmir,111.51,101.3,2021-10-29
Bandipora,Jammu And Kashmir,111.94,101.7,2021-10-29
Baramullah,Jammu And Kashmir,111.85,101.62,2021-10-29
Doda,Jammu And Kashmir,110.29,100.23,2021-10-29
Ganderbal,Jammu And Kashmir,111.61,101.39,2021-10-29
Jammu,Jammu And Kashmir,107.63,97.96,2021-10-29
Kathua,Jammu And Kashmir,108.32,98.6,2021-10-29
Kishtwar,Jammu And Kashmir,110.58,100.53,2021-10-29
Kulgam,Jammu And Kashmir,111.06,100.94,2021-10-29
Kupwara,Jammu And Kashmir,112.11,101.86,2021-10-29
Poonch,Jammu And Kashmir,110.27,100.23,2021-10-29
Pulwama,Jammu And Kashmir,110.91,100.83,2021-10-29
