City,State,Petrol_Rate,Diesel_Rate,Date
Bokaro,Jharkhand,102.29,102.02,2021-10-27
Chatra,Jharkhand,102.78,102.48,2021-10-27
Deogarh,Jharkhand,101.57,101.28,2021-10-27
Dhanbad,Jharkhand,101.95,101.67,2021-10-27
Dumka,Jharkhand,102.54,102.24,2021-10-27
East Singhbhum,Jharkhand,101.82,101.55,2021-10-27
Garhwa,Jharkhand,104.29,104.01,2021-10-27
Giridih,Jharkhand,103.05,102.77,2021-10-27
Godda,Jharkhand,102.41,102.12,2021-10-27
Gumla,Jharkhand,102.7,102.44,2021-10-27
Hazaribagh,Jharkhand,102.86,102.6,2021-10-27
Jamtara,Jharkhand,102.2,101.91,2021-10-27
Khunti,Jharkhand,101.81,101.55,2021-10-27
Koderma,Jharkhand,102.65,102.35,2021-10-27
Latehar,Jharkhand,103.09,102.82,2021-10-27
Lohardaga,Jharkhand,102.65,102.39,2021-10-27
Pakur,Jharkhand,103.18,102.88,2021-10-27
Palamau,Jharkhand,104.09,103.82,2021-10-27
Ramgarh,Jharkhand,102.44,102.18,2021-10-27
Ranchi,Jharkhand,102.28,102.02,2021-10-27
Sahibganj,Jharkhand,103.03,102.73,2021-10-27
Saraikela Kharasawan,Jharkhand,102.16,101.88,2021-10-27
Simdega,Jharkhand,103.19,102.93,2021-10-27
West Singhbhum,Jharkhand,102.42,102.14,2021-10-27
Bokaro,Jharkhand,102.86,102.66,2021-10-28
Chatra,Jharkhand,104.11,103.92,2021-10-28
Deogarh,Jharkhand,102.23,102.01,2021-10-28
Dhanbad,Jharkhand,102.71,102.51,2021-10-28
Dumka,Jharkhand,103.19,102.97,2021-10-28
East Singhbhum,Jharkhand,102.47,102.28,2021-10-28
Garhwa,Jharkhand,104.93,104.74,2021-10-28
Giridih,Jharkhand,103.34,103.14,2021-10-28
Godda,Jharkhand,102.91,102.69,2021-10-28
Gumla,Jharkhand,103.36,103.17,2021-10-28
Hazaribagh,Jharkhand,103.67,103.48,2021-10-28
Jamtara,Jharkhand,102.86,102.64,2021-10-28
Khunti,Jharkhand,102.47,102.28,2021-10-28
Koderma,Jharkhand,103.55,103.33,2021-10-28
Latehar,Jharkhand,103.74,103.55,2021-10-28
Lohardaga,Jharkhand,103.4,103.22,2021-10-28
Pakur,Jharkhand,103.64,103.42,2021-10-28
Palamau,Jharkhand,104.42,104.23,2021-10-28
Ramgarh,Jharkhand,103.07,102.89,2021-10-28
Ranchi,Jharkhand,102.6,102.42,2021-10-28
Sahibganj,Jharkhand,103.82,103.59,2021-10-28
Saraikela Kharasawan,Jharkhand,102.47,102.28,2021-10-28
Simdega,Jharkhand,103.33,103.14,2021-10-28
West Singhbhum,Jharkhand,103.47,103.27,2021-10-28
Bokaro,Jharkhand,103.21,103.05,2021-10-29
Chatra,Jharkhand,104.45,104.3,2021-10-29
Deogarh,Jharkhand,102.55,102.38,2021-10-29
Dhanbad,Jharkhand,102.79,102.63,2021-10-29
Dumka,Jharkhand,102.98,102.8,2021-10-29
East Singhbhum,Jharkhand,103.46,103.29,2021-10-29
Garhwa,Jharkhand,105.44,105.29,2021-10-29
Giridih,Jharkhand,103.9,103.73,2021-10-29
Godda,Jharkhand,103.07,102.89,2021-10-29
Gumla,Jharkhand,103.67,103.53,2021-10-29
Hazaribagh,Jharkhand,104.24,104.09,2021-10-29
Jamtara,Jharkhand,103.18,103.0,2021-10-29
Khunti,Jharkhand,102.79,102.65,2021-10-29
Koderma,Jharkhand,103.74,103.56,2021-10-29
Latehar,Jharkhand,104.07,103.92,2021-10-29
Lohardaga,Jharkhand,103.73,103.58,2021-10-29
Pakur,Jharkhand,103.87,103.69,2021-10-29
Palamau,Jharkhand,105.7,105.54,2021-10-29
Ramgarh,Jharkhand,103.4,103.25,2021-10-29
Ranchi,Jharkhand,102.87,102.73,2021-10-29
Sahibganj,Jharkhand,104.24,104.05,2021-10-29
Saraikela Kharasawan,Jharkhand,103.17,103.01,2021-10-29
Simdega,Jharkhand,103.82,103.67,2021-10-29
West Singhbhum,Jharkhand,104.05,103.89,2021-10-29
Bokaro,Jharkhand,103.21,103.05,2021-10-30
Chatra,Jharkhand,104.45,104.3,2021-10-30
Deogarh,Jharkhand,102.55,102.38,2021-10-30
Dhanbad,Jharkhand,102.79,102.63,2021-10-30
Dumka,Jharkhand,102.98,102.8,2021-10-30
East Singhbhum,Jharkhand,103.46,103.29,2021-10-30
Garhwa,Jharkhand,105.44,105.29,2021-10-30
Giridih,Jharkhand,103.9,103.73,2021-10-30
Godda,Jharkhand,103.07,102.89,2021-10-30
Gumla,Jharkhand,103.67,103.53,2021-10-30
Hazaribagh,Jharkhand,104.24,104.09,2021-10-30
Jamtara,Jharkhand,103.18,103.0,2021-10-30
Khunti,Jharkhand,102.79,102.65,2021-10-30
Koderma,Jharkhand,103.74,103.56,2021-10-30
Latehar,Jharkhand,104.07,103.92,2021-10-30
Lohardaga,Jharkhand,103.73,103.58,2021-10-30
Pakur,Jharkhand,103.87,103.69,2021-10-30
Palamau,Jharkhand,105.7,105.54,2021-10-30
Ramgarh,Jharkhand,103.4,103.25,2021-10-30
Ranchi,Jharkhand,102.87,102.73,2021-10-30
Sahibganj,Jharkhand,104.24,104.05,2021-10-30
Saraikela Kharasawan,Jharkhand,103.17,103.01,2021-10-30
Simdega,Jharkhand,103.82,103.67,2021-10-30
West Singhbhum,Jharkhand,104.05,103.89,2021-10-30
Bokaro,Jharkhand,103.84,103.76,2021-11-01
Chatra,Jharkhand,105.11,105.03,2021-11-01
Deogarh,Jharkhand,103.23,103.13,2021-11-01
Dhanbad,Jharkhand,103.45,103.37,2021-11-01
Dumka,Jharkhand,104.17,104.07,2021-11-01
East Singhbhum,Jharkhand,103.95,103.86,2021-11-01
Garhwa,Jharkhand,105.92,105.84,2021-11-01
Giridih,Jharkhand,103.77,103.69,2021-11-01
Godda,Jharkhand,104.17,104.06,2021-11-01
Gumla,Jharkhand,103.9,103.83,2021-11-01
Hazaribagh,Jharkhand,104.16,104.09,2021-11-01
Jamtara,Jharkhand,104.06,103.95,2021-11-01
Khunti,Jharkhand,103.58,103.51,2021-11-01
Koderma,Jharkhand,104.28,104.17,2021-11-01
Latehar,Jharkhand,104.53,104.46,2021-11-01
Lohardaga,Jharkhand,104.38,104.31,2021-11-01
Pakur,Jharkhand,104.82,104.71,2021-11-01
Palamau,Jharkhand,106.36,106.27,2021-11-01
Ramgarh,Jharkhand,104.05,103.98,2021-11-01
Ranchi,Jharkhand,103.53,103.46,2021-11-01
Sahibganj,Jharkhand,104.81,104.7,2021-11-01
Saraikela Kharasawan,Jharkhand,103.46,103.37,2021-11-01
Simdega,Jharkhand,104.47,104.4,2021-11-01
West Singhbhum,Jharkhand,104.77,104.68,2021-11-01
Bokaro,Jharkhand,104.57,0.0,2021-11-04
Chatra,Jharkhand,105.87,0.0,2021-11-04
Deogarh,Jharkhand,104.09,0.0,2021-11-04
Dhanbad,Jharkhand,104.36,0.0,2021-11-04
Dumka,Jharkhand,104.26,0.0,2021-11-04
East Singhbhum,Jharkhand,104.16,0.0,2021-11-04
Garhwa,Jharkhand,106.73,0.0,2021-11-04
Giridih,Jharkhand,104.68,0.0,2021-11-04
Godda,Jharkhand,105.13,0.0,2021-11-04
Gumla,Jharkhand,105.07,0.0,2021-11-04
Hazaribagh,Jharkhand,104.85,0.0,2021-11-04
Jamtara,Jharkhand,104.78,0.0,2021-11-04
Khunti,Jharkhand,104.12,0.0,2021-11-04
Koderma,Jharkhand,105.17,0.0,2021-11-04
Latehar,Jharkhand,106.3,0.0,2021-11-04
Lohardaga,Jharkhand,105.17,0.0,2021-11-04
Pakur,Jharkhand,105.59,0.0,2021-11-04
Palamau,Jharkhand,107.18,0.0,2021-11-04
Ramgarh,Jharkhand,104.76,0.0,2021-11-04
Ranchi,Jharkhand,104.2,0.0,2021-11-04
Sahibganj,Jharkhand,105.22,0.0,2021-11-04
Saraikela Kharasawan,Jharkhand,104.13,0.0,2021-11-04
Simdega,Jharkhand,104.9,0.0,2021-11-04
West Singhbhum,Jharkhand,104.21,0.0,2021-11-04
Bokaro,Jharkhand,103.84,0.0,2021-11-05
Chatra,Jharkhand,105.11,0.0,2021-11-05
Deogarh,Jharkhand,103.23,0.0,2021-11-05
Dhanbad,Jharkhand,103.45,0.0,2021-11-05
Dumka,Jharkhand,104.17,0.0,2021-11-05
East Singhbhum,Jharkhand,103.95,0.0,2021-11-05
Garhwa,Jharkhand,105.92,0.0,2021-11-05
Giridih,Jharkhand,103.77,0.0,2021-11-05
Godda,Jharkhand,104.17,0.0,2021-11-05
Gumla,Jharkhand,103.9,0.0,2021-11-05
Hazaribagh,Jharkhand,104.16,0.0,2021-11-05
Jamtara,Jharkhand,104.06,0.0,2021-11-05
Khunti,Jharkhand,103.58,0.0,2021-11-05
Koderma,Jharkhand,104.28,0.0,2021-11-05
Latehar,Jharkhand,104.53,0.0,2021-11-05
Lohardaga,Jharkhand,104.38,0.0,2021-11-05
Pakur,Jharkhand,104.82,0.0,2021-11-05
Palamau,Jharkhand,106.36,0.0,2021-11-05
