City,State,Petrol_Rate,Diesel_Rate,Date
Bagalkot,Karnataka,111.83,102.71,2021-10-27
Bangalore,Karnataka,111.34,102.23,2021-10-27
Bangalore Rural,Karnataka,110.97,101.9,2021-10-27
Belgaum,Karnataka,111.89,102.76,2021-10-27
Bellary,Karnataka,113.53,104.26,2021-10-27
Bidar,Karnataka,111.76,102.64,2021-10-27
Bijapur,Karnataka,111.7,102.59,2021-10-27
Chamrajnagar,Karnataka,111.42,102.31,2021-10-27
Chikkaballapura,Karnataka,111.4,102.29,2021-10-27
Chikmagalur,Karnataka,112.28,102.99,2021-10-27
Chitradurga,Karnataka,113.96,104.51,2021-10-27
Dakshin Kannad,Karnataka,110.49,101.42,2021-10-27
Davangere,Karnataka,113.15,103.77,2021-10-27
Dharwad,Karnataka,111.21,102.13,2021-10-27
Gadag,Karnataka,111.58,102.47,2021-10-27
Gulbarga,Karnataka,111.49,102.4,2021-10-27
Hassan,Karnataka,111.41,102.18,2021-10-27
Haveri,Karnataka,111.99,102.85,2021-10-27
Kodagu,Karnataka,112.67,103.33,2021-10-27
Kolar,Karnataka,111.03,101.95,2021-10-27
Koppal,Karnataka,112.28,103.11,2021-10-27
Mandya,Karnataka,111.22,102.12,2021-10-27
Mysore,Karnataka,111.46,102.38,2021-10-27
Raichur,Karnataka,111.53,102.48,2021-10-27
Ramanagara,Karnataka,112.06,102.93,2021-10-27
Shimoga,Karnataka,113.18,103.87,2021-10-27
Tumkur,Karnataka,112.56,103.39,2021-10-27
Udupi,Karnataka,111.24,102.14,2021-10-27
Uttar Kannad,Karnataka,113.69,104.38,2021-10-27
Yadgir,Karnataka,112.84,103.66,2021-10-27
Bagalkot,Karnataka,112.95,103.84,2021-10-29
Bangalore,Karnataka,112.43,103.35,2021-10-29
Bangalore Rural,Karnataka,112.06,103.01,2021-10-29
Belgaum,Karnataka,113.03,103.93,2021-10-29
Bellary,Karnataka,114.34,105.12,2021-10-29
Bidar,Karnataka,112.9,103.81,2021-10-29
Bijapur,Karnataka,112.79,103.7,2021-10-29
Chamrajnagar,Karnataka,112.51,103.42,2021-10-29
Chikkaballapura,Karnataka,112.91,103.79,2021-10-29
Chikmagalur,Karnataka,114.11,104.8,2021-10-29
Chitradurga,Karnataka,115.05,105.62,2021-10-29
Dakshin Kannad,Karnataka,111.58,102.53,2021-10-29
Davangere,Karnataka,114.44,105.07,2021-10-29
Dharwad,Karnataka,112.27,103.22,2021-10-29
Gadag,Karnataka,113.19,104.06,2021-10-29
Gulbarga,Karnataka,112.55,103.49,2021-10-29
Hassan,Karnataka,112.5,103.3,2021-10-29
Haveri,Karnataka,113.08,103.96,2021-10-29
Kodagu,Karnataka,113.63,104.33,2021-10-29
Kolar,Karnataka,112.36,103.29,2021-10-29
Koppal,Karnataka,113.66,104.51,2021-10-29
Mandya,Karnataka,112.45,103.36,2021-10-29
Mysore,Karnataka,111.92,102.89,2021-10-29
Raichur,Karnataka,112.25,103.22,2021-10-29
Ramanagara,Karnataka,112.75,103.64,2021-10-29
Shimoga,Karnataka,114.08,104.78,2021-10-29
Tumkur,Karnataka,112.91,103.67,2021-10-29
Udupi,Karnataka,112.3,103.2,2021-10-29
Uttar Kannad,Karnataka,113.0,103.83,2021-10-29
Yadgir,Karnataka,112.77,103.69,2021-10-29
Bagalkot,Karnataka,112.95,103.84,2021-10-30
Bangalore,Karnataka,112.43,103.35,2021-10-30
