City,State,Petrol_Rate,Diesel_Rate,Date
Alappuzha,Kerala,109.17,102.92,2021-10-27
Ernakulam,Kerala,108.29,102.1,2021-10-27
Idukki,Kerala,108.53,102.32,2021-10-27
Kannur,Kerala,108.37,102.2,2021-10-27
Kasaragod,Kerala,109.68,103.42,2021-10-27
Kollam,Kerala,109.7,103.42,2021-10-27
Kottayam,Kerala,108.85,102.63,2021-10-27
Kozhikode,Kerala,108.8,102.6,2021-10-27
Malappuram,Kerala,109.19,102.97,2021-10-27
Palakkad,Kerala,109.24,102.99,2021-10-27
Pathananthitta,Kerala,109.17,102.92,2021-10-27
Thiruvananthapuram,Kerala,110.19,103.88,2021-10-27
Thrissur,Kerala,108.8,102.57,2021-10-27
Wayanad,Kerala,109.64,103.32,2021-10-27
Alappuzha,Kerala,109.05,102.85,2021-10-28
Ernakulam,Kerala,108.58,102.41,2021-10-28
Idukki,Kerala,109.97,103.67,2021-10-28
Kannur,Kerala,109.09,102.91,2021-10-28
Kasaragod,Kerala,109.85,103.63,2021-10-28
Kollam,Kerala,110.05,103.79,2021-10-28
Kottayam,Kerala,109.15,102.95,2021-10-28
Kozhikode,Kerala,108.88,102.72,2021-10-28
Malappuram,Kerala,109.01,102.84,2021-10-28
Palakkad,Kerala,109.62,103.39,2021-10-28
Pathananthitta,Kerala,109.46,103.24,2021-10-28
Thiruvananthapuram,Kerala,110.54,104.25,2021-10-28
Thrissur,Kerala,109.05,102.85,2021-10-28
Wayanad,Kerala,109.82,103.6,2021-10-28
Alappuzha,Kerala,109.29,103.12,2021-10-29
Ernakulam,Kerala,109.09,102.92,2021-10-29
Idukki,Kerala,110.32,104.04,2021-10-29
Kannur,Kerala,109.18,103.04,2021-10-29
Kasaragod,Kerala,110.25,104.04,2021-10-29
Kollam,Kerala,110.4,104.16,2021-10-29
Kottayam,Kerala,109.4,103.22,2021-10-29
Kozhikode,Kerala,109.12,102.98,2021-10-29
Malappuram,Kerala,109.92,103.71,2021-10-29
Palakkad,Kerala,110.07,103.85,2021-10-29
Pathananthitta,Kerala,109.53,103.34,2021-10-29
Thiruvananthapuram,Kerala,110.75,104.49,2021-10-29
Thrissur,Kerala,109.35,103.17,2021-10-29
Wayanad,Kerala,110.73,104.42,2021-10-29
Alappuzha,Kerala,109.29,103.12,2021-10-30
Ernakulam,Kerala,109.09,102.92,2021-10-30
Idukki,Kerala,110.32,104.04,2021-10-30
Kannur,Kerala,109.18,103.04,2021-10-30
