City,State,Petrol_Rate,Diesel_Rate,Date
Agar Malwa,Madhya Pradesh,117.53,106.87,2021-10-27
Alirajpur,Madhya Pradesh,118.06,107.35,2021-10-27
Anupur,Madhya Pradesh,120.04,109.17,2021-10-27
Ashoknagar,Madhya Pradesh,116.98,106.33,2021-10-27
Badwani,Madhya Pradesh,118.33,107.61,2021-10-27
Balaghat,Madhya Pradesh,119.41,108.59,2021-10-27
Betul,Madhya Pradesh,117.13,106.49,2021-10-27
Bhind,Madhya Pradesh,116.61,106.0,2021-10-27
Bhopal,Madhya Pradesh,116.62,106.01,2021-10-27
Burhanpur,Madhya Pradesh,118.83,108.06,2021-10-27
Chhatarpur,Madhya Pradesh,118.07,107.33,2021-10-27
Chhindware,Madhya Pradesh,118.89,108.11,2021-10-27
Damoh,Madhya Pradesh,116.84,106.24,2021-10-27
Datia,Madhya Pradesh,117.3,106.64,2021-10-27
Dewas,Madhya Pradesh,117.01,106.39,2021-10-27
Dhar,Madhya Pradesh,118.26,107.52,2021-10-27
Dindori,Madhya Pradesh,118.26,107.54,2021-10-27
Guna,Madhya Pradesh,117.55,106.85,2021-10-27
Gwalior,Madhya Pradesh,116.52,105.92,2021-10-27
Harda,Madhya Pradesh,116.92,106.29,2021-10-27
Hoshangabad,Madhya Pradesh,116.44,105.86,2021-10-27
Indore,Madhya Pradesh,116.66,106.07,2021-10-27
Jabalpur,Madhya Pradesh,117.21,106.57,2021-10-27
Jahbua,Madhya Pradesh,116.94,106.32,2021-10-27
Katni,Madhya Pradesh,117.68,107.01,2021-10-27
Khandwa,Madhya Pradesh,118.39,107.66,2021-10-27
Khargone,Madhya Pradesh,118.09,107.38,2021-10-27
Mandla,Madhya Pradesh,117.19,106.56,2021-10-27
Mandsaur,Madhya Pradesh,117.38,106.72,2021-10-27
Morena,Madhya Pradesh,117.26,106.59,2021-10-27
Narsimhapur,Madhya Pradesh,116.86,106.26,2021-10-27
Neemach,Madhya Pradesh,117.79,107.1,2021-10-27
Panna,Madhya Pradesh,118.48,107.71,2021-10-27
Raisen,Madhya Pradesh,117.76,107.05,2021-10-27
Rajgarh,Madhya Pradesh,117.64,106.97,2021-10-27
Ratlam,Madhya Pradesh,116.72,106.11,2021-10-27
Rewa,Madhya Pradesh,119.31,108.51,2021-10-27
Sagar,Madhya Pradesh,116.85,106.22,2021-10-27
Satna,Madhya Pradesh,118.93,108.16,2021-10-27
Sehore,Madhya Pradesh,116.38,105.79,2021-10-27
Seoni,Madhya Pradesh,118.0,107.3,2021-10-27
Shahdol,Madhya Pradesh,119.03,108.24,2021-10-27
Shajapur,Madhya Pradesh,117.4,106.75,2021-10-27
Sheopur,Madhya Pradesh,118.77,107.98,2021-10-27
Shivpuri,Madhya Pradesh,118.55,107.78,2021-10-27
Sidhi,Madhya Pradesh,118.5,107.78,2021-10-27
Singrauli,Madhya Pradesh,117.41,106.78,2021-10-27
Tikamgarh,Madhya Pradesh,117.44,106.74,2021-10-27
Ujjain,Madhya Pradesh,116.66,106.06,2021-10-27
Umaria,Madhya Pradesh,118.7,107.94,2021-10-27
Vidisha,Madhya Pradesh,116.96,106.31,2021-10-27
Agar Malwa,Madhya Pradesh,118.36,107.67,2021-10-28
Alirajpur,Madhya Pradesh,118.62,107.9,2021-10-28
Anupur,Madhya Pradesh,119.92,109.1,2021-10-28
Ashoknagar,Madhya Pradesh,117.03,106.41,2021-10-28
Badwani,Madhya Pradesh,118.73,108.01,2021-10-28
Balaghat,Madhya Pradesh,119.33,108.56,2021-10-28
Betul,Madhya Pradesh,117.97,107.3,2021-10-28
Bhind,Madhya Pradesh,117.42,106.79,2021-10-28
Bhopal,Madhya Pradesh,117.01,106.4,2021-10-28
Burhanpur,Madhya Pradesh,118.75,108.03,2021-10-28
Chhatarpur,Madhya Pradesh,117.73,107.06,2021-10-28
Chhindware,Madhya Pradesh,118.74,108.0,2021-10-28
Damoh,Madhya Pradesh,117.62,106.96,2021-10-28
Datia,Madhya Pradesh,118.03,107.34,2021-10-28
Dewas,Madhya Pradesh,117.86,107.21,2021-10-28
Dhar,Madhya Pradesh,117.85,107.19,2021-10-28
Dindori,Madhya Pradesh,118.87,108.14,2021-10-28
Guna,Madhya Pradesh,117.32,106.68,2021-10-28
Gwalior,Madhya Pradesh,116.88,106.29,2021-10-28
Harda,Madhya Pradesh,117.45,106.82,2021-10-28
Hoshangabad,Madhya Pradesh,117.16,106.55,2021-10-28
Indore,Madhya Pradesh,117.44,106.83,2021-10-28
Jabalpur,Madhya Pradesh,116.96,106.39,2021-10-28
Jahbua,Madhya Pradesh,118.03,107.36,2021-10-28
Katni,Madhya Pradesh,117.62,106.99,2021-10-28
Khandwa,Madhya Pradesh,118.09,107.43,2021-10-28
Khargone,Madhya Pradesh,118.48,107.78,2021-10-28
Mandla,Madhya Pradesh,118.1,107.43,2021-10-28
Mandsaur,Madhya Pradesh,117.29,106.68,2021-10-28
Morena,Madhya Pradesh,117.51,106.87,2021-10-28
Narsimhapur,Madhya Pradesh,117.06,106.48,2021-10-28
Neemach,Madhya Pradesh,118.19,107.5,2021-10-28
Panna,Madhya Pradesh,119.33,108.53,2021-10-28
Raisen,Madhya Pradesh,117.01,106.4,2021-10-28
Rajgarh,Madhya Pradesh,117.72,107.06,2021-10-28
Ratlam,Madhya Pradesh,117.55,106.92,2021-10-28
Rewa,Madhya Pradesh,120.2,109.36,2021-10-28
Sagar,Madhya Pradesh,116.96,106.36,2021-10-28
Satna,Madhya Pradesh,118.91,108.17,2021-10-28
Sehore,Madhya Pradesh,116.96,106.36,2021-10-28
Seoni,Madhya Pradesh,117.92,107.26,2021-10-28
Shahdol,Madhya Pradesh,119.84,109.03,2021-10-28
Shajapur,Madhya Pradesh,117.95,107.3,2021-10-28
Sheopur,Madhya Pradesh,118.91,108.16,2021-10-28
Shivpuri,Madhya Pradesh,118.54,107.81,2021-10-28
Sidhi,Madhya Pradesh,118.5,107.82,2021-10-28
Singrauli,Madhya Pradesh,117.03,106.47,2021-10-28
Tikamgarh,Madhya Pradesh,117.95,107.25,2021-10-28
Ujjain,Madhya Pradesh,117.56,106.93,2021-10-28
Umaria,Madhya Pradesh,119.06,108.32,2021-10-28
Vidisha,Madhya Pradesh,117.28,106.64,2021-10-28
Agar Malwa,Madhya Pradesh,118.73,108.05,2021-10-29
Alirajpur,Madhya Pradesh,118.79,108.09,2021-10-29
Anupur,Madhya Pradesh,120.76,109.92,2021-10-29
Ashoknagar,Madhya Pradesh,117.76,107.12,2021-10-29
Badwani,Madhya Pradesh,119.32,108.59,2021-10-29
Balaghat,Madhya Pradesh,119.33,108.6,2021-10-29
Betul,Madhya Pradesh,118.52,107.84,2021-10-29
Bhind,Madhya Pradesh,118.71,108.01,2021-10-29
Bhopal,Madhya Pradesh,117.16,106.58,2021-10-29
Burhanpur,Madhya Pradesh,119.15,108.44,2021-10-29
Chhatarpur,Madhya Pradesh,119.02,108.29,2021-10-29
Chhindware,Madhya Pradesh,118.86,108.15,2021-10-29
Damoh,Madhya Pradesh,118.3,107.63,2021-10-29
Datia,Madhya Pradesh,117.95,107.31,2021-10-29
Dewas,Madhya Pradesh,117.79,107.19,2021-10-29
Dhar,Madhya Pradesh,117.57,106.98,2021-10-29
Dindori,Madhya Pradesh,118.6,107.93,2021-10-29
Guna,Madhya Pradesh,117.86,107.21,2021-10-29
Gwalior,Madhya Pradesh,117.84,107.21,2021-10-29
Harda,Madhya Pradesh,117.81,107.19,2021-10-29
Hoshangabad,Madhya Pradesh,118.14,107.5,2021-10-29
Indore,Madhya Pradesh,117.82,107.22,2021-10-29
Jabalpur,Madhya Pradesh,117.22,106.67,2021-10-29
Jahbua,Madhya Pradesh,117.51,106.92,2021-10-29
Katni,Madhya Pradesh,118.16,107.53,2021-10-29
Khandwa,Madhya Pradesh,119.22,108.51,2021-10-29
Khargone,Madhya Pradesh,118.26,107.62,2021-10-29
Mandla,Madhya Pradesh,119.05,108.35,2021-10-29
Mandsaur,Madhya Pradesh,117.81,107.19,2021-10-29
Morena,Madhya Pradesh,117.88,107.25,2021-10-29
Narsimhapur,Madhya Pradesh,117.35,106.78,2021-10-29
Neemach,Madhya Pradesh,118.87,108.17,2021-10-29
Panna,Madhya Pradesh,118.93,108.2,2021-10-29
Raisen,Madhya Pradesh,118.23,107.57,2021-10-29
Rajgarh,Madhya Pradesh,119.1,108.39,2021-10-29
Ratlam,Madhya Pradesh,117.13,106.58,2021-10-29
Rewa,Madhya Pradesh,119.72,108.96,2021-10-29
Sagar,Madhya Pradesh,117.32,106.73,2021-10-29
Satna,Madhya Pradesh,118.76,108.08,2021-10-29
Sehore,Madhya Pradesh,117.93,107.3,2021-10-29
Seoni,Madhya Pradesh,118.9,108.2,2021-10-29
Shahdol,Madhya Pradesh,119.75,108.99,2021-10-29
Shajapur,Madhya Pradesh,117.78,107.16,2021-10-29
Sheopur,Madhya Pradesh,119.88,109.09,2021-10-29
Shivpuri,Madhya Pradesh,119.3,108.55,2021-10-29
Sidhi,Madhya Pradesh,119.01,108.33,2021-10-29
Singrauli,Madhya Pradesh,117.49,106.93,2021-10-29
Tikamgarh,Madhya Pradesh,118.43,107.73,2021-10-29
Ujjain,Madhya Pradesh,117.72,107.13,2021-10-29
Umaria,Madhya Pradesh,119.42,108.69,2021-10-29
Vidisha,Madhya Pradesh,117.08,106.5,2021-10-29
Agar Malwa,Madhya Pradesh,118.73,108.05,2021-10-30
Alirajpur,Madhya Pradesh,118.79,108.09,2021-10-30
Anupur,Madhya Pradesh,120.76,109.92,2021-10-30
Ashoknagar,Madhya Pradesh,117.76,107.12,2021-10-30
Badwani,Madhya Pradesh,119.32,108.59,2021-10-30
Balaghat,Madhya Pradesh,119.33,108.6,2021-10-30
Betul,Madhya Pradesh,118.52,107.84,2021-10-30
Bhind,Madhya Pradesh,118.71,108.01,2021-10-30
Bhopal,Madhya Pradesh,117.16,106.58,2021-10-30
Burhanpur,Madhya Pradesh,119.15,108.44,2021-10-30
Chhatarpur,Madhya Pradesh,119.02,108.29,2021-10-30
Chhindware,Madhya Pradesh,118.86,108.15,2021-10-30
Damoh,Madhya Pradesh,118.3,107.63,2021-10-30
Datia,Madhya Pradesh,117.95,107.31,2021-10-30
Dewas,Madhya Pradesh,117.79,107.19,2021-10-30
Dhar,Madhya Pradesh,117.57,106.98,2021-10-30
Dindori,Madhya Pradesh,118.6,107.93,2021-10-30
Guna,Madhya Pradesh,117.86,107.21,2021-10-30
Gwalior,Madhya Pradesh,117.84,107.21,2021-10-30
Harda,Madhya Pradesh,117.81,107.19,2021-10-30
Hoshangabad,Madhya Pradesh,118.14,107.5,2021-10-30
Indore,Madhya Pradesh,117.82,107.22,2021-10-30
Jabalpur,Madhya Pradesh,117.22,106.67,2021-10-30
Jahbua,Madhya Pradesh,117.51,106.92,2021-10-30
Katni,Madhya Pradesh,118.16,107.53,2021-10-30
Khandwa,Madhya Pradesh,119.22,108.51,2021-10-30
Khargone,Madhya Pradesh,118.26,107.62,2021-10-30
Mandla,Madhya Pradesh,119.05,108.35,2021-10-30
Mandsaur,Madhya Pradesh,117.81,107.19,2021-10-30
Morena,Madhya Pradesh,117.88,107.25,2021-10-30
Narsimhapur,Madhya Pradesh,117.35,106.78,2021-10-30
Neemach,Madhya Pradesh,118.87,108.17,2021-10-30
Panna,Madhya Pradesh,118.93,108.2,2021-10-30
Raisen,Madhya Pradesh,118.23,107.57,2021-10-30
Rajgarh,Madhya Pradesh,119.1,108.39,2021-10-30
Ratlam,Madhya Pradesh,117.13,106.58,2021-10-30
Rewa,Madhya Pradesh,119.72,108.96,2021-10-30
Sagar,Madhya Pradesh,117.32,106.73,2021-10-30
Satna,Madhya Pradesh,118.76,108.08,2021-10-30
Sehore,Madhya Pradesh,117.93,107.3,2021-10-30
Seoni,Madhya Pradesh,118.9,108.2,2021-10-30
Shahdol,Madhya Pradesh,119.75,108.99,2021-10-30
Shajapur,Madhya Pradesh,117.78,107.16,2021-10-30
Sheopur,Madhya Pradesh,119.88,109.09,2021-10-30
Shivpuri,Madhya Pradesh,119.3,108.55,2021-10-30
Sidhi,Madhya Pradesh,119.01,108.33,2021-10-30
Singrauli,Madhya Pradesh,117.49,106.93,2021-10-30
Tikamgarh,Madhya Pradesh,118.43,107.73,2021-10-30
Ujjain,Madhya Pradesh,117.72,107.13,2021-10-30
Umaria,Madhya Pradesh,119.42,108.69,2021-10-30
Vidisha,Madhya Pradesh,117.08,106.5,2021-10-30
Agar Malwa,Madhya Pradesh,119.42,108.8,2021-11-01
Alirajpur,Madhya Pradesh,120.67,109.94,2021-11-01
Anupur,Madhya Pradesh,121.36,110.58,2021-11-01
Ashoknagar,Madhya Pradesh,118.64,108.05,2021-11-01
Badwani,Madhya Pradesh,119.98,109.32,2021-11-01
Balaghat,Madhya Pradesh,121.18,110.42,2021-11-01
Betul,Madhya Pradesh,119.0,108.4,2021-11-01
Bhind,Madhya Pradesh,119.02,108.42,2021-11-01
Bhopal,Madhya Pradesh,118.46,107.9,2021-11-01
Burhanpur,Madhya Pradesh,120.44,109.74,2021-11-01
Chhatarpur,Madhya Pradesh,120.0,109.31,2021-11-01
