City,State,Petrol_Rate,Diesel_Rate,Date
Ahmadnagar,Maharashtra,114.18,103.51,2021-10-27
Akola,Maharashtra,113.54,102.92,2021-10-27
Amravati,Maharashtra,115.31,106.29,2021-10-27
Aurangabad,Maharashtra,114.64,103.94,2021-10-27
Bhandara,Maharashtra,114.13,103.49,2021-10-27
Bid,Maharashtra,115.21,104.5,2021-10-27
Buldhana,Maharashtra,115.44,104.71,2021-10-27
Chandrapur,Maharashtra,113.63,103.02,2021-10-27
Dhule,Maharashtra,113.47,102.83,2021-10-27
Gadchiroli,Maharashtra,114.27,103.63,2021-10-27
Gondia,Maharashtra,114.71,104.04,2021-10-27
Greater Mumbai,Maharashtra,113.8,104.75,2021-10-27
Hingoli,Maharashtra,114.79,104.11,2021-10-27
Jalgaon,Maharashtra,115.21,104.49,2021-10-27
Jalna,Maharashtra,115.48,104.75,2021-10-27
Kolhapur,Maharashtra,113.74,103.1,2021-10-27
Latur,Maharashtra,114.68,104.0,2021-10-27
Mumbai City,Maharashtra,113.8,104.75,2021-10-27
Nagpur,Maharashtra,113.57,102.94,2021-10-27
Nanded,Maharashtra,115.6,104.89,2021-10-27
Nandurbar,Maharashtra,114.4,103.73,2021-10-27
Nashik,Maharashtra,114.16,103.48,2021-10-27
Osmanabad,Maharashtra,113.74,103.1,2021-10-27
Palghar,Maharashtra,113.55,102.86,2021-10-27
Parbhani,Maharashtra,116.89,106.11,2021-10-27
Pune,Maharashtra,114.17,103.48,2021-10-27
Raigarh,Maharashtra,113.24,102.57,2021-10-27
Ratnagiri,Maharashtra,115.0,104.32,2021-10-27
Sangli,Maharashtra,113.85,103.21,2021-10-27
Satara,Maharashtra,114.21,103.53,2021-10-27
Sindhudurg,Maharashtra,115.26,104.57,2021-10-27
Solapur,Maharashtra,114.1,103.45,2021-10-27
Thane,Maharashtra,113.97,104.92,2021-10-27
Wardha,Maharashtra,114.06,103.42,2021-10-27
Washim,Maharashtra,114.16,103.51,2021-10-27
Yavatmal,Maharashtra,113.85,103.23,2021-10-27
Ahmadnagar,Maharashtra,114.27,0.0,2021-10-28
Akola,Maharashtra,113.86,0.0,2021-10-28
Amravati,Maharashtra,115.74,0.0,2021-10-28
Aurangabad,Maharashtra,115.29,0.0,2021-10-28
Bhandara,Maharashtra,114.95,0.0,2021-10-28
Bid,Maharashtra,115.46,0.0,2021-10-28
Buldhana,Maharashtra,114.36,0.0,2021-10-28
Chandrapur,Maharashtra,114.22,0.0,2021-10-28
Dhule,Maharashtra,113.86,0.0,2021-10-28
