City,State,Petrol_Rate,Diesel_Rate,Date
Bishnupur,Manipur,109.46,97.8,2021-10-27
Chandel,Manipur,109.68,98.0,2021-10-27
Churachandpur,Manipur,109.63,97.95,2021-10-27
East Imphal,Manipur,109.15,97.53,2021-10-27
Jiribam,Manipur,111.28,99.42,2021-10-27
Kakching,Manipur,109.52,97.85,2021-10-27
Kangpokpi,Manipur,109.53,97.86,2021-10-27
Noney,Manipur,109.6,97.93,2021-10-27
Pherzawl,Manipur,111.08,99.25,2021-10-27
Senapati,Manipur,109.69,98.01,2021-10-27
Tamenglong,Manipur,110.67,98.88,2021-10-27
Tengnoupal,Manipur,110.16,98.43,2021-10-27
Thoubal,Manipur,109.25,97.62,2021-10-27
Ukhrul,Manipur,109.97,98.26,2021-10-27
West Imphal,Manipur,109.2,97.58,2021-10-27
Bishnupur,Manipur,109.5,97.88,2021-10-28
Chandel,Manipur,110.03,98.35,2021-10-28
Churachandpur,Manipur,109.99,98.31,2021-10-28
East Imphal,Manipur,109.56,97.93,2021-10-28
Jiribam,Manipur,111.64,99.78,2021-10-28
Kakching,Manipur,109.87,98.21,2021-10-28
Kangpokpi,Manipur,109.88,98.22,2021-10-28
Noney,Manipur,109.95,98.28,2021-10-28
Pherzawl,Manipur,111.44,99.6,2021-10-28
Senapati,Manipur,110.04,98.36,2021-10-28
Tamenglong,Manipur,111.02,99.23,2021-10-28
Tengnoupal,Manipur,110.51,98.78,2021-10-28
Thoubal,Manipur,109.74,98.1,2021-10-28
Ukhrul,Manipur,110.33,98.62,2021-10-28
West Imphal,Manipur,109.56,97.93,2021-10-28
Bishnupur,Manipur,109.96,98.32,2021-10-29
Chandel,Manipur,110.39,98.71,2021-10-29
Churachandpur,Manipur,110.42,98.74,2021-10-29
East Imphal,Manipur,109.99,98.35,2021-10-29
Jiribam,Manipur,111.99,100.13,2021-10-29
Kakching,Manipur,110.22,98.56,2021-10-29
Kangpokpi,Manipur,110.24,98.57,2021-10-29
Noney,Manipur,110.31,98.64,2021-10-29
Pherzawl,Manipur,111.79,99.95,2021-10-29
Senapati,Manipur,110.82,99.09,2021-10-29
Tamenglong,Manipur,110.99,99.25,2021-10-29
Tengnoupal,Manipur,110.87,99.13,2021-10-29
Thoubal,Manipur,110.1,98.45,2021-10-29
Ukhrul,Manipur,110.68,98.97,2021-10-29
West Imphal,Manipur,109.86,98.23,2021-10-29
Bishnupur,Manipur,109.96,98.32,2021-10-30
Chandel,Manipur,110.39,98.71,2021-10-30
