City,State,Petrol_Rate,Diesel_Rate,Date
East Garo Hills,Meghalaya,102.08,94.92,2021-10-27
East Jaintia Hills,Meghalaya,103.59,96.19,2021-10-27
East Khasi Hills,Meghalaya,103.02,95.53,2021-10-27
Jaintia Hills,Meghalaya,103.36,95.95,2021-10-27
North Garo Hills,Meghalaya,102.15,94.97,2021-10-27
Ri Bhoi,Meghalaya,101.93,94.7,2021-10-27
South Garo Hills,Meghalaya,103.4,96.14,2021-10-27
Southwest Khasi Hils,Meghalaya,103.55,96.28,2021-10-27
West Garo Hills,Meghalaya,102.81,95.59,2021-10-27
West Khasi Hills,Meghalaya,103.08,95.66,2021-10-27
East Garo Hills,Meghalaya,102.41,95.26,2021-10-28
East Jaintia Hills,Meghalaya,103.91,96.53,2021-10-28
East Khasi Hills,Meghalaya,103.04,95.66,2021-10-28
Jaintia Hills,Meghalaya,103.68,96.29,2021-10-28
North Garo Hills,Meghalaya,102.47,95.32,2021-10-28
Ri Bhoi,Meghalaya,101.78,94.67,2021-10-28
South Garo Hills,Meghalaya,103.28,96.05,2021-10-28
Southwest Khasi Hils,Meghalaya,103.88,96.62,2021-10-28
West Garo Hills,Meghalaya,103.32,96.08,2021-10-28
West Khasi Hills,Meghalaya,104.2,96.74,2021-10-28
East Garo Hills,Meghalaya,103.56,96.34,2021-10-29
East Jaintia Hills,Meghalaya,104.24,96.87,2021-10-29
East Khasi Hills,Meghalaya,103.82,96.4,2021-10-29
Jaintia Hills,Meghalaya,104.16,96.8,2021-10-29
North Garo Hills,Meghalaya,102.8,95.66,2021-10-29
Ri Bhoi,Meghalaya,102.0,94.92,2021-10-29
South Garo Hills,Meghalaya,103.61,96.39,2021-10-29
Southwest Khasi Hils,Meghalaya,104.21,96.96,2021-10-29
West Garo Hills,Meghalaya,102.68,95.55,2021-10-29
West Khasi Hills,Meghalaya,104.18,96.76,2021-10-29
East Garo Hills,Meghalaya,103.56,96.34,2021-10-30
East Jaintia Hills,Meghalaya,104.24,96.87,2021-10-30
East Khasi Hills,Meghalaya,103.82,96.4,2021-10-30
Jaintia Hills,Meghalaya,104.16,96.8,2021-10-30
North Garo Hills,Meghalaya,102.8,95.66,2021-10-30
Ri Bhoi,Meghalaya,102.0,94.92,2021-10-30
South Garo Hills,Meghalaya,103.61,96.39,2021-10-30
Southwest Khasi Hils,Meghalaya,104.21,96.96,2021-10-30
West Garo Hills,Meghalaya,102.68,95.55,2021-10-30
West Khasi Hills,Meghalaya,104.18,96.76,2021-10-30
East Garo Hills,Meghalaya,104.22,97.03,2021-11-01
East Jaintia Hills,Meghalaya,105.05,97.82,2021-11-01
East Khasi Hills,Meghalaya,104.12,96.76,2021-11-01
Jaintia Hills,Meghalaya,104.82,97.48,2021-11-01
North Garo Hills,Meghalaya,103.46,96.34,2021-11-01
Ri Bhoi,Meghalaya,103.76,96.51,2021-11-01
South Garo Hills,Meghalaya,104.71,97.5,2021-11-01
Southwest Khasi Hils,Meghalaya,104.86,97.65,2021-11-01
West Garo Hills,Meghalaya,104.31,97.11,2021-11-01
West Khasi Hills,Meghalaya,105.77,98.31,2021-11-01
East Garo Hills,Meghalaya,105.0,0.0,2021-11-04
East Jaintia Hills,Meghalaya,105.87,0.0,2021-11-04
East Khasi Hills,Meghalaya,105.25,0.0,2021-11-04
Jaintia Hills,Meghalaya,105.55,0.0,2021-11-04
North Garo Hills,Meghalaya,104.19,0.0,2021-11-04
Ri Bhoi,Meghalaya,103.44,0.0,2021-11-04
South Garo Hills,Meghalaya,105.05,0.0,2021-11-04
Southwest Khasi Hils,Meghalaya,105.67,0.0,2021-11-04
West Garo Hills,Meghalaya,105.09,0.0,2021-11-04
West Khasi Hills,Meghalaya,105.27,0.0,2021-11-04
East Garo Hills,Meghalaya,93.09,80.07,2021-11-07
East Jaintia Hills,Meghalaya,94.67,81.31,2021-11-07
East Khasi Hills,Meghalaya,93.81,80.5,2021-11-07
Jaintia Hills,Meghalaya,94.43,81.1,2021-11-07
North Garo Hills,Meghalaya,93.16,80.13,2021-11-07
Ri Bhoi,Meghalaya,92.38,79.42,2021-11-07
South Garo Hills,Meghalaya,94.28,81.11,2021-11-07
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-07
West Garo Hills,Meghalaya,94.01,80.86,2021-11-07
West Khasi Hills,Meghalaya,94.62,81.22,2021-11-07
East Garo Hills,Meghalaya,93.93,80.78,2021-11-08
East Jaintia Hills,Meghalaya,94.66,81.31,2021-11-08
East Khasi Hills,Meghalaya,94.4,81.03,2021-11-08
Jaintia Hills,Meghalaya,94.43,81.11,2021-11-08
North Garo Hills,Meghalaya,93.16,80.13,2021-11-08
Ri Bhoi,Meghalaya,92.38,79.42,2021-11-08
South Garo Hills,Meghalaya,93.97,80.82,2021-11-08
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-08
West Garo Hills,Meghalaya,94.01,80.86,2021-11-08
West Khasi Hills,Meghalaya,94.62,81.22,2021-11-08
East Garo Hills,Meghalaya,93.09,80.07,2021-11-09
East Jaintia Hills,Meghalaya,94.75,81.52,2021-11-09
East Khasi Hills,Meghalaya,93.91,80.58,2021-11-09
Jaintia Hills,Meghalaya,94.58,81.24,2021-11-09
North Garo Hills,Meghalaya,93.16,80.13,2021-11-09
Ri Bhoi,Meghalaya,93.51,80.31,2021-11-09
South Garo Hills,Meghalaya,94.47,81.28,2021-11-09
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-09
West Garo Hills,Meghalaya,93.14,80.11,2021-11-09
West Khasi Hills,Meghalaya,94.69,81.28,2021-11-09
East Garo Hills,Meghalaya,93.09,80.07,2021-11-11
East Jaintia Hills,Meghalaya,94.66,81.31,2021-11-11
East Khasi Hills,Meghalaya,93.91,80.58,2021-11-11
Jaintia Hills,Meghalaya,94.43,81.1,2021-11-11
North Garo Hills,Meghalaya,93.16,80.13,2021-11-11
Ri Bhoi,Meghalaya,92.38,79.42,2021-11-11
South Garo Hills,Meghalaya,93.97,80.82,2021-11-11
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-11
West Garo Hills,Meghalaya,94.01,80.86,2021-11-11
West Khasi Hills,Meghalaya,94.97,81.53,2021-11-11
East Garo Hills,Meghalaya,93.93,80.78,2021-11-12
East Jaintia Hills,Meghalaya,94.66,81.31,2021-11-12
East Khasi Hills,Meghalaya,93.81,80.5,2021-11-12
Jaintia Hills,Meghalaya,94.15,80.84,2021-11-12
North Garo Hills,Meghalaya,93.16,80.13,2021-11-12
Ri Bhoi,Meghalaya,92.38,79.42,2021-11-12
South Garo Hills,Meghalaya,93.99,80.84,2021-11-12
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-12
West Garo Hills,Meghalaya,94.01,80.86,2021-11-12
West Khasi Hills,Meghalaya,94.62,81.22,2021-11-12
East Garo Hills,Meghalaya,93.09,80.07,2021-11-14
East Jaintia Hills,Meghalaya,94.66,81.31,2021-11-14
East Khasi Hills,Meghalaya,94.21,80.86,2021-11-14
Jaintia Hills,Meghalaya,94.75,81.52,2021-11-14
North Garo Hills,Meghalaya,93.16,80.13,2021-11-14
Ri Bhoi,Meghalaya,92.47,79.51,2021-11-14
South Garo Hills,Meghalaya,94.41,81.22,2021-11-14
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-14
West Garo Hills,Meghalaya,93.52,80.45,2021-11-14
West Khasi Hills,Meghalaya,94.97,81.53,2021-11-14
East Garo Hills,Meghalaya,93.93,80.78,2021-11-16
East Jaintia Hills,Meghalaya,94.66,81.31,2021-11-16
East Khasi Hills,Meghalaya,94.21,80.77,2021-11-16
Jaintia Hills,Meghalaya,94.43,81.11,2021-11-16
North Garo Hills,Meghalaya,93.16,80.13,2021-11-16
Ri Bhoi,Meghalaya,92.5,79.55,2021-11-16
South Garo Hills,Meghalaya,93.99,80.84,2021-11-16
Southwest Khasi Hils,Meghalaya,94.56,81.36,2021-11-16
