City,State,Petrol_Rate,Diesel_Rate,Date
Aizawl,Mizoram,104.7,95.82,2021-10-27
Champhai,Mizoram,106.77,97.65,2021-10-27
Kolasib,Mizoram,103.83,95.07,2021-10-27
Lawngtlai,Mizoram,107.1,98.03,2021-10-27
Lunglei,Mizoram,106.34,97.32,2021-10-27
Mamit,Mizoram,105.21,96.28,2021-10-27
Saiha,Mizoram,107.93,98.75,2021-10-27
Serchhip,Mizoram,105.66,96.69,2021-10-27
Aizawl,Mizoram,105.39,96.48,2021-10-28
Champhai,Mizoram,107.11,98.0,2021-10-28
Kolasib,Mizoram,104.18,95.44,2021-10-28
Lawngtlai,Mizoram,107.44,98.37,2021-10-28
Lunglei,Mizoram,106.74,97.71,2021-10-28
Mamit,Mizoram,105.54,96.62,2021-10-28
Saiha,Mizoram,108.27,99.1,2021-10-28
Serchhip,Mizoram,106.08,97.11,2021-10-28
Aizawl,Mizoram,105.38,96.51,2021-10-29
Champhai,Mizoram,107.44,98.34,2021-10-29
Kolasib,Mizoram,104.51,95.76,2021-10-29
Lawngtlai,Mizoram,107.77,98.71,2021-10-29
Lunglei,Mizoram,107.02,98.0,2021-10-29
Mamit,Mizoram,105.88,96.96,2021-10-29
Saiha,Mizoram,108.6,99.44,2021-10-29
Serchhip,Mizoram,106.42,97.45,2021-10-29
Aizawl,Mizoram,105.38,96.51,2021-10-30
Champhai,Mizoram,107.44,98.34,2021-10-30
Kolasib,Mizoram,104.51,95.76,2021-10-30
Lawngtlai,Mizoram,107.77,98.71,2021-10-30
Lunglei,Mizoram,107.02,98.0,2021-10-30
Mamit,Mizoram,105.88,96.96,2021-10-30
Saiha,Mizoram,108.6,99.44,2021-10-30
Serchhip,Mizoram,106.42,97.45,2021-10-30
Aizawl,Mizoram,106.51,97.65,2021-11-01
Champhai,Mizoram,108.74,99.61,2021-11-01
Kolasib,Mizoram,105.05,96.39,2021-11-01
Lawngtlai,Mizoram,109.04,99.97,2021-11-01
Lunglei,Mizoram,108.78,99.79,2021-11-01
Mamit,Mizoram,107.05,98.13,2021-11-01
Saiha,Mizoram,109.94,100.76,2021-11-01
Serchhip,Mizoram,107.54,98.57,2021-11-01
Aizawl,Mizoram,107.12,0.0,2021-11-04
Champhai,Mizoram,109.08,0.0,2021-11-04
Kolasib,Mizoram,105.91,0.0,2021-11-04
Lawngtlai,Mizoram,109.39,0.0,2021-11-04
Lunglei,Mizoram,108.6,0.0,2021-11-04
Mamit,Mizoram,107.4,0.0,2021-11-04
Saiha,Mizoram,110.29,0.0,2021-11-04
Serchhip,Mizoram,107.88,0.0,2021-11-04
Aizawl,Mizoram,94.09,79.18,2021-11-07
Champhai,Mizoram,96.35,81.15,2021-11-07
Kolasib,Mizoram,93.36,78.57,2021-11-07
Lawngtlai,Mizoram,96.61,81.47,2021-11-07
Lunglei,Mizoram,95.88,80.79,2021-11-07
Mamit,Mizoram,94.76,79.78,2021-11-07
Saiha,Mizoram,97.45,82.2,2021-11-07
Serchhip,Mizoram,95.29,80.26,2021-11-07
Aizawl,Mizoram,94.6,79.64,2021-11-08
Champhai,Mizoram,96.35,81.15,2021-11-08
Kolasib,Mizoram,93.35,78.58,2021-11-08
Lawngtlai,Mizoram,96.61,81.47,2021-11-08
Lunglei,Mizoram,96.35,81.28,2021-11-08
Mamit,Mizoram,94.76,79.78,2021-11-08
Saiha,Mizoram,97.45,82.2,2021-11-08
Serchhip,Mizoram,95.21,80.18,2021-11-08
Aizawl,Mizoram,94.5,79.55,2021-11-09
Champhai,Mizoram,96.35,81.15,2021-11-09
Kolasib,Mizoram,93.36,78.57,2021-11-09
Lawngtlai,Mizoram,96.61,81.47,2021-11-09
Lunglei,Mizoram,96.35,81.28,2021-11-09
Mamit,Mizoram,94.76,79.78,2021-11-09
Saiha,Mizoram,97.45,82.2,2021-11-09
Serchhip,Mizoram,95.29,80.26,2021-11-09
Aizawl,Mizoram,94.5,79.55,2021-11-11
Champhai,Mizoram,96.35,81.15,2021-11-11
Kolasib,Mizoram,93.35,78.58,2021-11-11
Lawngtlai,Mizoram,96.61,81.47,2021-11-11
Lunglei,Mizoram,95.94,80.84,2021-11-11
Mamit,Mizoram,94.76,79.78,2021-11-11
Saiha,Mizoram,97.45,82.2,2021-11-11
Serchhip,Mizoram,95.29,80.26,2021-11-11
Aizawl,Mizoram,94.09,79.18,2021-11-12
Champhai,Mizoram,96.35,81.15,2021-11-12
Kolasib,Mizoram,92.88,78.16,2021-11-12
Lawngtlai,Mizoram,96.61,81.47,2021-11-12
Lunglei,Mizoram,95.88,80.79,2021-11-12
Mamit,Mizoram,94.76,79.78,2021-11-12
Saiha,Mizoram,97.45,82.2,2021-11-12
Serchhip,Mizoram,95.21,80.18,2021-11-12
Aizawl,Mizoram,94.26,79.33,2021-11-14
Champhai,Mizoram,96.35,81.15,2021-11-14
Kolasib,Mizoram,93.35,78.58,2021-11-14
Lawngtlai,Mizoram,96.61,81.47,2021-11-14
Lunglei,Mizoram,95.94,80.84,2021-11-14
Mamit,Mizoram,94.76,79.78,2021-11-14
Saiha,Mizoram,97.45,82.2,2021-11-14
Serchhip,Mizoram,95.29,80.26,2021-11-14
Aizawl,Mizoram,94.26,79.33,2021-11-16
Champhai,Mizoram,96.35,81.15,2021-11-16
Kolasib,Mizoram,93.36,78.57,2021-11-16
Lawngtlai,Mizoram,96.61,81.47,2021-11-16
Lunglei,Mizoram,95.88,80.79,2021-11-16
Mamit,Mizoram,94.76,79.78,2021-11-16
Saiha,Mizoram,97.45,82.2,2021-11-16
Serchhip,Mizoram,95.29,80.26,2021-11-16
Aizawl,Mizoram,94.5,79.55,2021-11-17
Champhai,Mizoram,96.35,81.15,2021-11-17
Kolasib,Mizoram,92.88,78.16,2021-11-17
Lawngtlai,Mizoram,96.61,81.47,2021-11-17
Lunglei,Mizoram,95.94,80.84,2021-11-17
Mamit,Mizoram,94.76,79.78,2021-11-17
Saiha,Mizoram,97.45,82.2,2021-11-17
Serchhip,Mizoram,95.29,80.26,2021-11-17
Aizawl,Mizoram,94.5,79.55,2021-11-19
Champhai,Mizoram,96.35,81.15,2021-11-19
Kolasib,Mizoram,93.36,78.57,2021-11-19
Lawngtlai,Mizoram,96.61,81.47,2021-11-19
Lunglei,Mizoram,95.94,80.84,2021-11-19
Mamit,Mizoram,94.76,79.78,2021-11-19
Saiha,Mizoram,97.45,82.2,2021-11-19
Serchhip,Mizoram,95.29,80.26,2021-11-19
Aizawl,Mizoram,94.5,79.55,2021-11-23
Champhai,Mizoram,96.35,81.15,2021-11-23
Kolasib,Mizoram,93.58,78.8,2021-11-23
Lawngtlai,Mizoram,96.61,81.47,2021-11-23
Lunglei,Mizoram,95.94,80.84,2021-11-23
Mamit,Mizoram,94.76,79.78,2021-11-23
Saiha,Mizoram,97.45,82.2,2021-11-23
Serchhip,Mizoram,95.29,80.26,2021-11-23
Aizawl,Mizoram,94.5,79.55,2021-11-24
Champhai,Mizoram,96.35,81.15,2021-11-24
Kolasib,Mizoram,93.58,78.8,2021-11-24
