City,State,Petrol_Rate,Diesel_Rate,Date
Dimapur,Nagaland,106.28,98.82,2021-10-27
Kiphere,Nagaland,109.59,101.81,2021-10-27
Kohima,Nagaland,107.28,99.63,2021-10-27
Longleng,Nagaland,108.69,101.05,2021-10-27
Mokokchung,Nagaland,108.61,100.87,2021-10-27
Mon,Nagaland,109.2,101.44,2021-10-27
Peren,Nagaland,106.65,99.16,2021-10-27
Phek,Nagaland,108.91,101.13,2021-10-27
Tuensang,Nagaland,109.67,101.83,2021-10-27
Wokha,Nagaland,107.99,100.3,2021-10-27
Zunheboto,Nagaland,108.89,101.08,2021-10-27
Dimapur,Nagaland,106.62,99.18,2021-10-28
Kiphere,Nagaland,110.11,102.4,2021-10-28
Kohima,Nagaland,107.62,99.98,2021-10-28
Longleng,Nagaland,109.03,101.4,2021-10-28
Mokokchung,Nagaland,108.32,100.66,2021-10-28
Mon,Nagaland,109.54,101.79,2021-10-28
Peren,Nagaland,106.99,99.51,2021-10-28
Phek,Nagaland,107.73,100.2,2021-10-28
Tuensang,Nagaland,110.01,102.19,2021-10-28
Wokha,Nagaland,108.33,100.65,2021-10-28
Zunheboto,Nagaland,109.23,101.43,2021-10-28
Dimapur,Nagaland,106.96,99.53,2021-10-29
Kiphere,Nagaland,110.45,102.75,2021-10-29
Kohima,Nagaland,107.96,100.34,2021-10-29
Longleng,Nagaland,108.8,101.22,2021-10-29
Mokokchung,Nagaland,108.65,101.01,2021-10-29
Mon,Nagaland,108.89,101.31,2021-10-29
Peren,Nagaland,107.32,99.86,2021-10-29
Phek,Nagaland,108.24,100.71,2021-10-29
Tuensang,Nagaland,110.35,102.54,2021-10-29
Wokha,Nagaland,108.67,101.0,2021-10-29
Zunheboto,Nagaland,109.57,101.78,2021-10-29
Dimapur,Nagaland,106.96,99.53,2021-10-30
Kiphere,Nagaland,110.45,102.75,2021-10-30
Kohima,Nagaland,107.96,100.34,2021-10-30
Longleng,Nagaland,108.8,101.22,2021-10-30
Mokokchung,Nagaland,108.65,101.01,2021-10-30
Mon,Nagaland,108.89,101.31,2021-10-30
Peren,Nagaland,107.32,99.86,2021-10-30
Phek,Nagaland,108.24,100.71,2021-10-30
Tuensang,Nagaland,110.35,102.54,2021-10-30
Wokha,Nagaland,108.67,101.0,2021-10-30
Zunheboto,Nagaland,109.57,101.78,2021-10-30
Dimapur,Nagaland,107.99,100.6,2021-11-01
Kiphere,Nagaland,111.7,104.02,2021-11-01
Kohima,Nagaland,109.13,101.5,2021-11-01
Longleng,Nagaland,110.55,102.96,2021-11-01
Mokokchung,Nagaland,110.53,102.81,2021-11-01
Mon,Nagaland,111.14,103.41,2021-11-01
Peren,Nagaland,108.38,100.95,2021-11-01
Phek,Nagaland,110.86,103.09,2021-11-01
Tuensang,Nagaland,111.66,103.84,2021-11-01
Wokha,Nagaland,109.87,102.2,2021-11-01
Zunheboto,Nagaland,110.86,103.05,2021-11-01
Dimapur,Nagaland,108.34,0.0,2021-11-04
Kiphere,Nagaland,111.9,0.0,2021-11-04
Kohima,Nagaland,109.47,0.0,2021-11-04
Longleng,Nagaland,110.9,0.0,2021-11-04
