City,State,Petrol_Rate,Diesel_Rate,Date
Angul,Odisha,110.51,107.03,2021-10-27
Baleshwar,Odisha,109.29,105.84,2021-10-27
Bargarh,Odisha,110.68,107.19,2021-10-27
Bhadrak,Odisha,109.81,106.35,2021-10-27
Bolangir,Odisha,110.46,106.98,2021-10-27
Boudh,Odisha,111.18,107.65,2021-10-27
Cuttack,Odisha,109.42,105.95,2021-10-27
Deogarh,Odisha,109.55,106.1,2021-10-27
Dhenkanal,Odisha,109.89,106.41,2021-10-27
Gajapati,Odisha,111.68,108.13,2021-10-27
Ganjam,Odisha,110.16,106.67,2021-10-27
Jagatsinghpur,Odisha,109.04,105.57,2021-10-27
Jajpur,Odisha,109.16,105.68,2021-10-27
Jharsuguda,Odisha,109.02,105.59,2021-10-27
Kalahandi,Odisha,112.5,108.94,2021-10-27
Kandhamal,Odisha,111.31,107.78,2021-10-27
Kendrapara,Odisha,108.97,105.5,2021-10-27
Keonjhar,Odisha,110.47,106.94,2021-10-27
Khordha,Odisha,108.89,105.44,2021-10-27
Koraput,Odisha,113.28,109.69,2021-10-27
Malkangiri,Odisha,114.48,110.86,2021-10-27
Mayurbhanj,Odisha,109.24,105.8,2021-10-27
Nabarangapur,Odisha,113.52,109.93,2021-10-27
Nayagarh,Odisha,109.34,105.87,2021-10-27
Nuaparha,Odisha,111.75,108.22,2021-10-27
Puri,Odisha,109.18,105.72,2021-10-27
Rayagada,Odisha,113.04,109.45,2021-10-27
Sambalpur,Odisha,109.61,106.16,2021-10-27
Sonapur,Odisha,110.2,106.73,2021-10-27
Sundargarh,Odisha,109.82,106.37,2021-10-27
Angul,Odisha,111.43,107.93,2021-10-28
Baleshwar,Odisha,109.79,106.37,2021-10-28
Bargarh,Odisha,110.71,107.26,2021-10-28
Bhadrak,Odisha,110.02,106.59,2021-10-28
Bolangir,Odisha,111.1,107.63,2021-10-28
Boudh,Odisha,110.86,107.41,2021-10-28
Cuttack,Odisha,109.85,106.41,2021-10-28
Deogarh,Odisha,110.07,106.65,2021-10-28
Dhenkanal,Odisha,110.05,106.6,2021-10-28
Gajapati,Odisha,111.8,108.29,2021-10-28
Ganjam,Odisha,110.86,107.38,2021-10-28
