City,State,Petrol_Rate,Diesel_Rate,Date
Karaikal,Pondicherry,105.36,100.53,2021-10-27
Mahe,Pondicherry,103.28,98.06,2021-10-27
Pondicherry,Pondicherry,105.63,100.74,2021-10-27
Yanam,Pondicherry,106.3,101.02,2021-10-27
Karaikal,Pondicherry,105.7,100.89,2021-10-28
Mahe,Pondicherry,103.62,98.42,2021-10-28
Pondicherry,Pondicherry,106.1,101.23,2021-10-28
Yanam,Pondicherry,106.64,101.38,2021-10-28
Karaikal,Pondicherry,106.08,101.29,2021-10-29
Mahe,Pondicherry,103.95,98.77,2021-10-29
Pondicherry,Pondicherry,106.31,101.46,2021-10-29
Yanam,Pondicherry,106.98,101.74,2021-10-29
Karaikal,Pondicherry,106.08,101.29,2021-10-30
Mahe,Pondicherry,103.95,98.77,2021-10-30
Pondicherry,Pondicherry,106.31,101.46,2021-10-30
Yanam,Pondicherry,106.98,101.74,2021-10-30
Karaikal,Pondicherry,107.13,102.41,2021-11-01
Mahe,Pondicherry,104.97,99.86,2021-11-01
Pondicherry,Pondicherry,107.44,102.66,2021-11-01
Yanam,Pondicherry,108.12,102.94,2021-11-01
Karaikal,Pondicherry,107.47,0.0,2021-11-04
Mahe,Pondicherry,105.32,0.0,2021-11-04
Pondicherry,Pondicherry,107.79,0.0,2021-11-04
Yanam,Pondicherry,108.47,0.0,2021-11-04
Karaikal,Pondicherry,94.69,83.39,2021-11-07
Mahe,Pondicherry,92.52,80.94,2021-11-07
Pondicherry,Pondicherry,94.94,83.58,2021-11-07
Yanam,Pondicherry,95.59,83.84,2021-11-07
Karaikal,Pondicherry,94.65,83.34,2021-11-08
Mahe,Pondicherry,92.52,80.94,2021-11-08
Pondicherry,Pondicherry,94.94,83.58,2021-11-08
Yanam,Pondicherry,95.59,83.84,2021-11-08
Karaikal,Pondicherry,94.69,83.39,2021-11-09
Mahe,Pondicherry,92.52,80.94,2021-11-09
Pondicherry,Pondicherry,94.94,83.58,2021-11-09
Yanam,Pondicherry,95.59,83.84,2021-11-09
Karaikal,Pondicherry,94.65,83.34,2021-11-11
Mahe,Pondicherry,92.52,80.94,2021-11-11
Pondicherry,Pondicherry,94.94,83.58,2021-11-11
Yanam,Pondicherry,95.59,83.84,2021-11-11
Karaikal,Pondicherry,94.65,83.34,2021-11-12
Mahe,Pondicherry,92.52,80.94,2021-11-12
Pondicherry,Pondicherry,95.01,83.64,2021-11-12
Yanam,Pondicherry,95.59,83.84,2021-11-12
Karaikal,Pondicherry,94.65,83.34,2021-11-14
Mahe,Pondicherry,92.52,80.94,2021-11-14
Pondicherry,Pondicherry,95.07,83.7,2021-11-14
Yanam,Pondicherry,95.59,83.84,2021-11-14
Karaikal,Pondicherry,94.69,83.39,2021-11-16
Mahe,Pondicherry,92.52,80.94,2021-11-16
Pondicherry,Pondicherry,94.94,83.58,2021-11-16
Yanam,Pondicherry,95.59,83.84,2021-11-16
Karaikal,Pondicherry,94.74,83.43,2021-11-17
Mahe,Pondicherry,92.52,80.94,2021-11-17
Pondicherry,Pondicherry,94.94,83.58,2021-11-17
Yanam,Pondicherry,95.59,83.84,2021-11-17
Karaikal,Pondicherry,94.65,83.34,2021-11-19
Mahe,Pondicherry,92.52,80.94,2021-11-19
Pondicherry,Pondicherry,94.94,83.58,2021-11-19
Yanam,Pondicherry,95.59,83.84,2021-11-19
Karaikal,Pondicherry,94.69,83.39,2021-11-23
Mahe,Pondicherry,92.52,80.94,2021-11-23
Pondicherry,Pondicherry,95.01,83.64,2021-11-23
Yanam,Pondicherry,95.59,83.84,2021-11-23
Karaikal,Pondicherry,94.69,83.39,2021-11-24
Mahe,Pondicherry,92.52,80.94,2021-11-24
Pondicherry,Pondicherry,95.01,83.64,2021-11-24
Yanam,Pondicherry,95.59,83.84,2021-11-24
Karaikal,Pondicherry,94.65,83.34,2021-11-29
Mahe,Pondicherry,92.52,80.94,2021-11-29
Pondicherry,Pondicherry,94.94,83.58,2021-11-29
Yanam,Pondicherry,95.59,83.84,2021-11-29
Karaikal,Pondicherry,94.69,83.39,2021-12-01
Mahe,Pondicherry,92.52,80.94,2021-12-01
Pondicherry,Pondicherry,94.94,83.58,2021-12-01
Yanam,Pondicherry,95.59,83.84,2021-12-01
Karaikal,Pondicherry,94.69,83.39,2021-12-02
Mahe,Pondicherry,92.52,80.94,2021-12-02
Pondicherry,Pondicherry,94.94,83.58,2021-12-02
Yanam,Pondicherry,95.59,83.84,2021-12-02
Karaikal,Pondicherry,94.69,83.39,2021-12-03
Mahe,Pondicherry,92.52,80.94,2021-12-03
Pondicherry,Pondicherry,94.94,83.58,2021-12-03
Yanam,Pondicherry,95.59,83.84,2021-12-03
Karaikal,Pondicherry,94.69,83.39,2021-12-06
Mahe,Pondicherry,92.52,80.94,2021-12-06
Pondicherry,Pondicherry,94.94,83.58,2021-12-06
Yanam,Pondicherry,95.59,83.84,2021-12-06
Karaikal,Pondicherry,94.65,83.34,2021-12-22
Mahe,Pondicherry,92.52,80.94,2021-12-22
Pondicherry,Pondicherry,94.94,83.58,2021-12-22
Yanam,Pondicherry,95.59,83.84,2021-12-22
Karaikal,Pondicherry,94.69,83.39,2021-12-29
Mahe,Pondicherry,92.52,80.94,2021-12-29
Pondicherry,Pondicherry,95.01,83.64,2021-12-29
Yanam,Pondicherry,95.59,83.84,2021-12-29
Karaikal,Pondicherry,94.69,83.39,2022-01-04
Mahe,Pondicherry,92.52,80.94,2022-01-04
Pondicherry,Pondicherry,95.07,83.7,2022-01-04
Yanam,Pondicherry,95.59,83.84,2022-01-04
