City,State,Petrol_Rate,Diesel_Rate,Date
Amritsar,Punjab,109.38,99.27,2021-10-27
Barnala,Punjab,108.82,98.75,2021-10-27
Bathinda,Punjab,109.23,99.12,2021-10-27
Faridkot,Punjab,109.04,98.94,2021-10-27
Fatehgarh Sahib,Punjab,109.65,99.5,2021-10-27
Fazilka,Punjab,109.67,99.52,2021-10-27
Firozpur,Punjab,109.74,99.6,2021-10-27
Gurdaspur,Punjab,109.16,99.06,2021-10-27
Hoshiarpur,Punjab,109.38,99.27,2021-10-27
Jalandhar,Punjab,109.1,99.01,2021-10-27
Kapurthala,Punjab,108.87,98.8,2021-10-27
Ludhiana,Punjab,109.57,99.43,2021-10-27
Mansa,Punjab,109.07,98.97,2021-10-27
Moga,Punjab,109.46,99.33,2021-10-27
Muktsar,Punjab,108.96,98.87,2021-10-27
Pathankot,Punjab,109.82,99.67,2021-10-27
Patiala,Punjab,109.27,99.15,2021-10-27
Rupnagar,Punjab,109.52,99.39,2021-10-27
Sangrur,Punjab,108.74,98.67,2021-10-27
Sas Nagar,Punjab,109.87,99.71,2021-10-27
Shd Bhagat Singh Ngr,Punjab,109.36,99.24,2021-10-27
Tarn Taran,Punjab,109.62,99.48,2021-10-27
Amritsar,Punjab,109.5,99.42,2021-10-28
Barnala,Punjab,109.4,99.32,2021-10-28
Bathinda,Punjab,109.26,99.19,2021-10-28
Faridkot,Punjab,109.72,99.61,2021-10-28
Fatehgarh Sahib,Punjab,109.92,99.79,2021-10-28
Fazilka,Punjab,109.74,99.62,2021-10-28
Firozpur,Punjab,109.85,99.73,2021-10-28
Gurdaspur,Punjab,109.67,99.57,2021-10-28
Hoshiarpur,Punjab,109.42,99.34,2021-10-28
Jalandhar,Punjab,109.11,99.06,2021-10-28
Kapurthala,Punjab,109.14,99.08,2021-10-28
Ludhiana,Punjab,109.59,99.49,2021-10-28
Mansa,Punjab,109.41,99.32,2021-10-28
Moga,Punjab,109.71,99.6,2021-10-28
Muktsar,Punjab,109.44,99.34,2021-10-28
Pathankot,Punjab,110.26,100.11,2021-10-28
Patiala,Punjab,109.59,99.49,2021-10-28
Rupnagar,Punjab,109.83,99.72,2021-10-28
Sangrur,Punjab,109.21,99.14,2021-10-28
Sas Nagar,Punjab,110.39,100.22,2021-10-28
Shd Bhagat Singh Ngr,Punjab,109.62,99.52,2021-10-28
Tarn Taran,Punjab,109.89,99.77,2021-10-28
Amritsar,Punjab,110.15,100.05,2021-10-29
Barnala,Punjab,109.76,99.68,2021-10-29
Bathinda,Punjab,109.58,99.52,2021-10-29
Faridkot,Punjab,110.12,100.01,2021-10-29
Fatehgarh Sahib,Punjab,110.22,100.1,2021-10-29
Fazilka,Punjab,109.98,99.88,2021-10-29
Firozpur,Punjab,110.33,100.2,2021-10-29
Gurdaspur,Punjab,110.05,99.96,2021-10-29
Hoshiarpur,Punjab,109.79,99.72,2021-10-29
Jalandhar,Punjab,109.86,99.78,2021-10-29
Kapurthala,Punjab,109.64,99.58,2021-10-29
Ludhiana,Punjab,110.25,100.13,2021-10-29
Mansa,Punjab,109.56,99.49,2021-10-29
Moga,Punjab,109.92,99.83,2021-10-29
Muktsar,Punjab,109.65,99.58,2021-10-29
Pathankot,Punjab,110.43,100.31,2021-10-29
Patiala,Punjab,109.87,99.78,2021-10-29
Rupnagar,Punjab,110.52,100.38,2021-10-29
Sangrur,Punjab,109.36,99.32,2021-10-29
Sas Nagar,Punjab,110.4,100.27,2021-10-29
Shd Bhagat Singh Ngr,Punjab,109.86,99.78,2021-10-29
Tarn Taran,Punjab,110.57,100.43,2021-10-29
Amritsar,Punjab,110.15,100.05,2021-10-30
Barnala,Punjab,109.76,99.68,2021-10-30
Bathinda,Punjab,109.58,99.52,2021-10-30
Faridkot,Punjab,110.12,100.01,2021-10-30
Fatehgarh Sahib,Punjab,110.22,100.1,2021-10-30
Fazilka,Punjab,109.98,99.88,2021-10-30
Firozpur,Punjab,110.33,100.2,2021-10-30
Gurdaspur,Punjab,110.05,99.96,2021-10-30
Hoshiarpur,Punjab,109.79,99.72,2021-10-30
Jalandhar,Punjab,109.86,99.78,2021-10-30
Kapurthala,Punjab,109.64,99.58,2021-10-30
Ludhiana,Punjab,110.25,100.13,2021-10-30
Mansa,Punjab,109.56,99.49,2021-10-30
Moga,Punjab,109.92,99.83,2021-10-30
Muktsar,Punjab,109.65,99.58,2021-10-30
Pathankot,Punjab,110.43,100.31,2021-10-30
Patiala,Punjab,109.87,99.78,2021-10-30
Rupnagar,Punjab,110.52,100.38,2021-10-30
Sangrur,Punjab,109.36,99.32,2021-10-30
Sas Nagar,Punjab,110.4,100.27,2021-10-30
Shd Bhagat Singh Ngr,Punjab,109.86,99.78,2021-10-30
Tarn Taran,Punjab,110.57,100.43,2021-10-30
Amritsar,Punjab,111.08,101.01,2021-11-01
Barnala,Punjab,110.92,100.86,2021-11-01
Bathinda,Punjab,110.39,100.37,2021-11-01
Faridkot,Punjab,111.16,101.07,2021-11-01
Fatehgarh Sahib,Punjab,111.22,101.14,2021-11-01
Fazilka,Punjab,111.46,101.35,2021-11-01
Firozpur,Punjab,111.5,101.39,2021-11-01
Gurdaspur,Punjab,111.43,101.34,2021-11-01
Hoshiarpur,Punjab,110.86,100.82,2021-11-01
Jalandhar,Punjab,110.61,100.59,2021-11-01
Kapurthala,Punjab,110.89,100.84,2021-11-01
Ludhiana,Punjab,110.85,100.81,2021-11-01
Mansa,Punjab,110.95,100.89,2021-11-01
Moga,Punjab,111.36,101.26,2021-11-01
Muktsar,Punjab,110.76,100.71,2021-11-01
Pathankot,Punjab,111.66,101.54,2021-11-01
Patiala,Punjab,110.58,100.55,2021-11-01
Rupnagar,Punjab,111.59,101.48,2021-11-01
Sangrur,Punjab,110.4,100.38,2021-11-01
Sas Nagar,Punjab,111.46,101.36,2021-11-01
Shd Bhagat Singh Ngr,Punjab,110.88,100.83,2021-11-01
Tarn Taran,Punjab,111.16,101.09,2021-11-01
Amritsar,Punjab,111.08,0.0,2021-11-04
Barnala,Punjab,110.92,0.0,2021-11-04
Bathinda,Punjab,110.39,0.0,2021-11-04
Faridkot,Punjab,111.16,0.0,2021-11-04
Fatehgarh Sahib,Punjab,111.22,0.0,2021-11-04
Fazilka,Punjab,111.46,0.0,2021-11-04
Firozpur,Punjab,111.5,0.0,2021-11-04
Gurdaspur,Punjab,111.43,0.0,2021-11-04
Hoshiarpur,Punjab,110.86,0.0,2021-11-04
Jalandhar,Punjab,110.61,0.0,2021-11-04
Kapurthala,Punjab,110.89,0.0,2021-11-04
Ludhiana,Punjab,110.85,0.0,2021-11-04
Mansa,Punjab,110.95,0.0,2021-11-04
Moga,Punjab,111.36,0.0,2021-11-04
Muktsar,Punjab,110.76,0.0,2021-11-04
Pathankot,Punjab,111.66,0.0,2021-11-04
Patiala,Punjab,110.58,0.0,2021-11-04
Rupnagar,Punjab,111.59,0.0,2021-11-04
Sangrur,Punjab,110.4,0.0,2021-11-04
Sas Nagar,Punjab,111.46,0.0,2021-11-04
Shd Bhagat Singh Ngr,Punjab,110.88,0.0,2021-11-04
Tarn Taran,Punjab,111.16,0.0,2021-11-04
Amritsar,Punjab,105.63,89.32,2021-11-07
Barnala,Punjab,105.37,89.07,2021-11-07
Bathinda,Punjab,105.0,88.72,2021-11-07
Faridkot,Punjab,105.56,89.24,2021-11-07
Fatehgarh Sahib,Punjab,105.76,89.43,2021-11-07
Fazilka,Punjab,105.79,89.45,2021-11-07
Firozpur,Punjab,105.8,89.45,2021-11-07
Gurdaspur,Punjab,105.29,89.0,2021-11-07
Hoshiarpur,Punjab,105.49,89.19,2021-11-07
Jalandhar,Punjab,105.02,88.76,2021-11-07
Kapurthala,Punjab,105.19,88.91,2021-11-07
Ludhiana,Punjab,105.71,89.38,2021-11-07
Mansa,Punjab,105.21,88.92,2021-11-07
Moga,Punjab,105.71,89.37,2021-11-07
Muktsar,Punjab,105.43,89.12,2021-11-07
Pathankot,Punjab,105.66,89.35,2021-11-07
Patiala,Punjab,105.36,89.06,2021-11-07
Rupnagar,Punjab,106.1,89.74,2021-11-07
Sangrur,Punjab,104.81,88.56,2021-11-07
Sas Nagar,Punjab,106.12,89.76,2021-11-07
Shd Bhagat Singh Ngr,Punjab,105.16,88.88,2021-11-07
Tarn Taran,Punjab,105.91,89.57,2021-11-07
Amritsar,Punjab,96.82,85.19,2021-11-08
Barnala,Punjab,96.36,84.72,2021-11-08
Bathinda,Punjab,96.26,84.62,2021-11-08
Faridkot,Punjab,96.37,84.73,2021-11-08
Fatehgarh Sahib,Punjab,96.83,85.2,2021-11-08
Fazilka,Punjab,96.92,85.28,2021-11-08
Firozpur,Punjab,96.97,85.33,2021-11-08
Gurdaspur,Punjab,96.93,85.3,2021-11-08
Hoshiarpur,Punjab,96.19,84.57,2021-11-08
Jalandhar,Punjab,96.1,84.48,2021-11-08
Kapurthala,Punjab,96.14,84.52,2021-11-08
Ludhiana,Punjab,96.6,84.97,2021-11-08
Mansa,Punjab,96.41,84.77,2021-11-08
Moga,Punjab,96.87,85.23,2021-11-08
Muktsar,Punjab,96.56,84.92,2021-11-08
Pathankot,Punjab,97.12,85.48,2021-11-08
Patiala,Punjab,96.27,84.63,2021-11-08
Rupnagar,Punjab,96.65,85.02,2021-11-08
Sangrur,Punjab,96.24,84.6,2021-11-08
Sas Nagar,Punjab,96.91,85.27,2021-11-08
Shd Bhagat Singh Ngr,Punjab,96.15,84.53,2021-11-08
Tarn Taran,Punjab,97.03,85.4,2021-11-08
Amritsar,Punjab,95.63,84.42,2021-11-09
Barnala,Punjab,95.12,83.93,2021-11-09
Bathinda,Punjab,94.88,83.68,2021-11-09
Faridkot,Punjab,94.97,83.77,2021-11-09
Fatehgarh Sahib,Punjab,95.33,84.13,2021-11-09
Fazilka,Punjab,95.52,84.31,2021-11-09
Firozpur,Punjab,95.73,84.51,2021-11-09
Gurdaspur,Punjab,95.58,84.37,2021-11-09
Hoshiarpur,Punjab,95.36,84.16,2021-11-09
Jalandhar,Punjab,94.99,83.8,2021-11-09
Kapurthala,Punjab,94.93,83.74,2021-11-09
Ludhiana,Punjab,95.57,84.36,2021-11-09
Mansa,Punjab,95.38,84.18,2021-11-09
Moga,Punjab,95.61,84.39,2021-11-09
Muktsar,Punjab,95.35,84.14,2021-11-09
Pathankot,Punjab,95.98,84.76,2021-11-09
Patiala,Punjab,95.15,83.95,2021-11-09
Rupnagar,Punjab,95.9,84.67,2021-11-09
Sangrur,Punjab,95.02,83.83,2021-11-09
Sas Nagar,Punjab,95.92,84.69,2021-11-09
Shd Bhagat Singh Ngr,Punjab,95.41,84.21,2021-11-09
Tarn Taran,Punjab,95.58,84.37,2021-11-09
Amritsar,Punjab,95.44,84.24,2021-11-11
Barnala,Punjab,95.09,83.9,2021-11-11
Bathinda,Punjab,95.16,83.96,2021-11-11
Faridkot,Punjab,95.1,83.9,2021-11-11
Fatehgarh Sahib,Punjab,95.25,84.05,2021-11-11
Fazilka,Punjab,95.33,84.12,2021-11-11
Firozpur,Punjab,95.7,84.47,2021-11-11
Gurdaspur,Punjab,95.49,84.28,2021-11-11
Hoshiarpur,Punjab,95.19,84.0,2021-11-11
Jalandhar,Punjab,95.01,83.83,2021-11-11
Kapurthala,Punjab,94.86,83.67,2021-11-11
Ludhiana,Punjab,95.38,84.18,2021-11-11
Mansa,Punjab,95.21,84.01,2021-11-11
Moga,Punjab,95.36,84.17,2021-11-11
Muktsar,Punjab,95.23,84.03,2021-11-11
Pathankot,Punjab,95.94,84.72,2021-11-11
Patiala,Punjab,95.3,84.09,2021-11-11
Rupnagar,Punjab,95.78,84.56,2021-11-11
Sangrur,Punjab,94.81,83.61,2021-11-11
Sas Nagar,Punjab,95.83,84.6,2021-11-11
Shd Bhagat Singh Ngr,Punjab,95.3,84.11,2021-11-11
Tarn Taran,Punjab,95.48,84.28,2021-11-11
Amritsar,Punjab,95.71,84.5,2021-11-12
Barnala,Punjab,95.24,84.04,2021-11-12
Bathinda,Punjab,94.97,83.77,2021-11-12
Faridkot,Punjab,95.31,84.1,2021-11-12
Fatehgarh Sahib,Punjab,95.65,84.43,2021-11-12
Fazilka,Punjab,95.68,84.46,2021-11-12
Firozpur,Punjab,95.69,84.47,2021-11-12
Gurdaspur,Punjab,95.16,83.97,2021-11-12
Hoshiarpur,Punjab,95.21,84.02,2021-11-12
Jalandhar,Punjab,94.94,83.75,2021-11-12
Kapurthala,Punjab,95.07,83.89,2021-11-12
Ludhiana,Punjab,95.49,84.28,2021-11-12
Mansa,Punjab,95.18,83.99,2021-11-12
Moga,Punjab,95.5,84.29,2021-11-12
Muktsar,Punjab,95.26,84.06,2021-11-12
Pathankot,Punjab,95.5,84.3,2021-11-12
Patiala,Punjab,95.22,84.02,2021-11-12
Rupnagar,Punjab,95.9,84.67,2021-11-12
Sangrur,Punjab,94.82,83.62,2021-11-12
Sas Nagar,Punjab,95.82,84.59,2021-11-12
Shd Bhagat Singh Ngr,Punjab,95.39,84.19,2021-11-12
Tarn Taran,Punjab,95.21,84.02,2021-11-12
Amritsar,Punjab,95.63,84.42,2021-11-14
Barnala,Punjab,95.01,83.82,2021-11-14
Bathinda,Punjab,94.8,83.6,2021-11-14
Faridkot,Punjab,95.1,83.9,2021-11-14
Fatehgarh Sahib,Punjab,95.64,84.43,2021-11-14
Fazilka,Punjab,95.29,84.09,2021-11-14
Firozpur,Punjab,95.59,84.37,2021-11-14
Gurdaspur,Punjab,95.53,84.33,2021-11-14
Hoshiarpur,Punjab,95.04,83.86,2021-11-14
Jalandhar,Punjab,94.91,83.71,2021-11-14
Kapurthala,Punjab,95.27,84.08,2021-11-14
Ludhiana,Punjab,95.61,84.4,2021-11-14
Mansa,Punjab,95.31,84.11,2021-11-14
Moga,Punjab,95.4,84.21,2021-11-14
Muktsar,Punjab,94.99,83.79,2021-11-14
Pathankot,Punjab,95.94,84.72,2021-11-14
Patiala,Punjab,95.3,84.1,2021-11-14
Rupnagar,Punjab,95.72,84.51,2021-11-14
Sangrur,Punjab,95.14,83.94,2021-11-14
Sas Nagar,Punjab,95.99,84.76,2021-11-14
Shd Bhagat Singh Ngr,Punjab,95.3,84.11,2021-11-14
Tarn Taran,Punjab,95.15,83.96,2021-11-14
Amritsar,Punjab,95.35,84.15,2021-11-16
Barnala,Punjab,95.27,84.07,2021-11-16
Bathinda,Punjab,94.83,83.63,2021-11-16
Faridkot,Punjab,95.4,84.19,2021-11-16
Fatehgarh Sahib,Punjab,95.63,84.42,2021-11-16
Fazilka,Punjab,95.58,84.36,2021-11-16
Firozpur,Punjab,95.71,84.48,2021-11-16
Gurdaspur,Punjab,95.71,84.49,2021-11-16
Hoshiarpur,Punjab,94.93,83.74,2021-11-16
Jalandhar,Punjab,94.94,83.75,2021-11-16
Kapurthala,Punjab,95.07,83.89,2021-11-16
Ludhiana,Punjab,95.36,84.15,2021-11-16
Mansa,Punjab,95.02,83.82,2021-11-16
Moga,Punjab,95.48,84.28,2021-11-16
Muktsar,Punjab,95.01,83.82,2021-11-16
Pathankot,Punjab,95.5,84.3,2021-11-16
Patiala,Punjab,95.22,84.02,2021-11-16
Rupnagar,Punjab,95.9,84.67,2021-11-16
Sangrur,Punjab,94.77,83.57,2021-11-16
Sas Nagar,Punjab,95.92,84.69,2021-11-16
Shd Bhagat Singh Ngr,Punjab,95.39,84.19,2021-11-16
Tarn Taran,Punjab,95.6,84.39,2021-11-16
Amritsar,Punjab,95.63,84.42,2021-11-17
Barnala,Punjab,95.1,83.91,2021-11-17
Bathinda,Punjab,94.84,83.64,2021-11-17
Faridkot,Punjab,95.36,84.15,2021-11-17
Fatehgarh Sahib,Punjab,95.63,84.42,2021-11-17
Fazilka,Punjab,95.47,84.26,2021-11-17
Firozpur,Punjab,95.62,84.4,2021-11-17
Gurdaspur,Punjab,95.38,84.19,2021-11-17
Hoshiarpur,Punjab,95.16,83.97,2021-11-17
Jalandhar,Punjab,94.94,83.75,2021-11-17
Kapurthala,Punjab,95.02,83.83,2021-11-17
Ludhiana,Punjab,95.18,83.98,2021-11-17
Mansa,Punjab,94.92,83.72,2021-11-17
Moga,Punjab,95.81,84.58,2021-11-17
Muktsar,Punjab,95.29,84.08,2021-11-17
Pathankot,Punjab,95.75,84.53,2021-11-17
Patiala,Punjab,95.57,84.36,2021-11-17
Rupnagar,Punjab,95.65,84.44,2021-11-17
Sangrur,Punjab,94.87,83.67,2021-11-17
Sas Nagar,Punjab,95.99,84.76,2021-11-17
Shd Bhagat Singh Ngr,Punjab,95.37,84.18,2021-11-17
Tarn Taran,Punjab,95.59,84.39,2021-11-17
Amritsar,Punjab,95.65,84.44,2021-11-19
Barnala,Punjab,95.09,83.9,2021-11-19
Bathinda,Punjab,94.83,83.63,2021-11-19
Faridkot,Punjab,95.37,84.17,2021-11-19
Fatehgarh Sahib,Punjab,95.3,84.09,2021-11-19
Fazilka,Punjab,95.51,84.3,2021-11-19
Firozpur,Punjab,95.41,84.2,2021-11-19
Gurdaspur,Punjab,95.66,84.45,2021-11-19
Hoshiarpur,Punjab,95.17,83.98,2021-11-19
Jalandhar,Punjab,94.84,83.65,2021-11-19
Kapurthala,Punjab,95.12,83.93,2021-11-19
Ludhiana,Punjab,95.57,84.36,2021-11-19
Mansa,Punjab,95.13,83.93,2021-11-19
Moga,Punjab,95.36,84.17,2021-11-19
Muktsar,Punjab,94.98,83.78,2021-11-19
Pathankot,Punjab,95.94,84.72,2021-11-19
Patiala,Punjab,95.22,84.02,2021-11-19
Rupnagar,Punjab,96.08,84.85,2021-11-19
Sangrur,Punjab,94.87,83.67,2021-11-19
Sas Nagar,Punjab,95.53,84.32,2021-11-19
Shd Bhagat Singh Ngr,Punjab,94.92,83.73,2021-11-19
Tarn Taran,Punjab,95.83,84.61,2021-11-19
Amritsar,Punjab,95.24,84.05,2021-11-23
Barnala,Punjab,95.24,84.04,2021-11-23
Bathinda,Punjab,94.86,83.66,2021-11-23
Faridkot,Punjab,95.17,83.97,2021-11-23
Fatehgarh Sahib,Punjab,95.35,84.15,2021-11-23
Fazilka,Punjab,95.58,84.36,2021-11-23
Firozpur,Punjab,95.76,84.53,2021-11-23
Gurdaspur,Punjab,95.42,84.22,2021-11-23
Hoshiarpur,Punjab,95.14,83.95,2021-11-23
Jalandhar,Punjab,94.94,83.75,2021-11-23
Kapurthala,Punjab,95.02,83.84,2021-11-23
