City,State,Petrol_Rate,Diesel_Rate,Date
Ajmer,Rajasthan,115.33,106.58,2021-10-27
Alwar,Rajasthan,115.73,106.92,2021-10-27
Banswara,Rajasthan,116.81,107.95,2021-10-27
Baran,Rajasthan,115.45,106.68,2021-10-27
Barmer,Rajasthan,116.13,107.32,2021-10-27
Bharatpur,Rajasthan,114.92,106.18,2021-10-27
Bhilwara,Rajasthan,115.45,106.7,2021-10-27
Bikaner,Rajasthan,117.96,109.0,2021-10-27
Bundi,Rajasthan,114.94,106.22,2021-10-27
Chittaurgarh,Rajasthan,115.48,106.71,2021-10-27
Churu,Rajasthan,117.21,108.31,2021-10-27
Dausa,Rajasthan,116.27,107.42,2021-10-27
Dhaulpur,Rajasthan,115.75,106.94,2021-10-27
Dungarpur,Rajasthan,116.73,107.88,2021-10-27
Ganganagar,Rajasthan,120.12,110.98,2021-10-27
Hanumangarh,Rajasthan,118.83,109.79,2021-10-27
Jaipur,Rajasthan,115.44,106.68,2021-10-27
Jaisalmer,Rajasthan,116.76,107.91,2021-10-27
Jalor,Rajasthan,117.17,108.29,2021-10-27
Jhalawar,Rajasthan,115.59,106.81,2021-10-27
Jhunjhunun,Rajasthan,117.07,108.18,2021-10-27
Jodhpur,Rajasthan,115.51,106.76,2021-10-27
Karauli,Rajasthan,115.6,106.8,2021-10-27
Kota,Rajasthan,115.4,106.64,2021-10-27
Nagaur,Rajasthan,116.69,107.84,2021-10-27
Pali,Rajasthan,116.07,107.27,2021-10-27
Pratapgarh,Rajasthan,115.81,107.03,2021-10-27
Rajsamand,Rajasthan,116.12,107.32,2021-10-27
Sawaimadhopur,Rajasthan,117.36,108.43,2021-10-27
Sikar,Rajasthan,115.73,106.95,2021-10-27
Sirohi,Rajasthan,117.13,108.25,2021-10-27
Tonk,Rajasthan,115.85,107.06,2021-10-27
Udaipur,Rajasthan,115.38,106.64,2021-10-27
Ajmer,Rajasthan,115.34,106.63,2021-10-28
Alwar,Rajasthan,115.87,107.09,2021-10-28
Banswara,Rajasthan,117.21,108.36,2021-10-28
Baran,Rajasthan,116.3,107.5,2021-10-28
Barmer,Rajasthan,117.09,108.25,2021-10-28
Bharatpur,Rajasthan,115.28,106.55,2021-10-28
Bhilwara,Rajasthan,115.81,107.07,2021-10-28
Bikaner,Rajasthan,118.54,109.57,2021-10-28
Bundi,Rajasthan,115.26,106.54,2021-10-28
Chittaurgarh,Rajasthan,115.92,107.17,2021-10-28
Churu,Rajasthan,117.67,108.77,2021-10-28
Dausa,Rajasthan,116.94,108.08,2021-10-28
Dhaulpur,Rajasthan,116.26,107.45,2021-10-28
Dungarpur,Rajasthan,117.04,108.2,2021-10-28
Ganganagar,Rajasthan,120.26,111.15,2021-10-28
Hanumangarh,Rajasthan,119.68,110.62,2021-10-28
Jaipur,Rajasthan,115.47,106.75,2021-10-28
