City,State,Petrol_Rate,Diesel_Rate,Date
East District,Sikkim,108.45,98.9,2021-10-27
North District,Sikkim,108.45,98.9,2021-10-27
South District,Sikkim,108.45,98.9,2021-10-27
West District,Sikkim,108.45,98.9,2021-10-27
East District,Sikkim,108.8,99.25,2021-10-28
North District,Sikkim,108.8,99.25,2021-10-28
South District,Sikkim,108.8,99.25,2021-10-28
West District,Sikkim,108.8,99.25,2021-10-28
East District,Sikkim,109.15,99.6,2021-10-29
North District,Sikkim,109.15,99.6,2021-10-29
South District,Sikkim,109.15,99.6,2021-10-29
West District,Sikkim,109.15,99.6,2021-10-29
East District,Sikkim,109.15,99.6,2021-10-30
North District,Sikkim,109.15,99.6,2021-10-30
South District,Sikkim,109.15,99.6,2021-10-30
West District,Sikkim,109.15,99.6,2021-10-30
East District,Sikkim,110.25,100.8,2021-11-01
North District,Sikkim,110.25,100.8,2021-11-01
South District,Sikkim,110.25,100.8,2021-11-01
West District,Sikkim,110.25,100.8,2021-11-01
East District,Sikkim,110.25,0.0,2021-11-04
North District,Sikkim,110.25,0.0,2021-11-04
South District,Sikkim,110.25,0.0,2021-11-04
West District,Sikkim,110.25,0.0,2021-11-04
East District,Sikkim,97.7,82.25,2021-11-07
North District,Sikkim,97.7,82.25,2021-11-07
South District,Sikkim,97.7,82.25,2021-11-07
West District,Sikkim,97.7,82.25,2021-11-07
East District,Sikkim,97.7,82.25,2021-11-08
North District,Sikkim,97.7,82.25,2021-11-08
South District,Sikkim,97.7,82.25,2021-11-08
West District,Sikkim,97.7,82.25,2021-11-08
East District,Sikkim,97.7,82.25,2021-11-09
North District,Sikkim,97.7,82.25,2021-11-09
South District,Sikkim,97.7,82.25,2021-11-09
West District,Sikkim,97.7,82.25,2021-11-09
East District,Sikkim,98.5,83.55,2021-11-11
North District,Sikkim,98.5,83.55,2021-11-11
South District,Sikkim,98.5,83.55,2021-11-11
West District,Sikkim,98.5,83.55,2021-11-11
East District,Sikkim,98.5,83.55,2021-11-12
North District,Sikkim,98.5,83.55,2021-11-12
South District,Sikkim,98.5,83.55,2021-11-12
West District,Sikkim,98.5,83.55,2021-11-12
East District,Sikkim,98.5,83.55,2021-11-14
North District,Sikkim,98.5,83.55,2021-11-14
South District,Sikkim,98.5,83.55,2021-11-14
West District,Sikkim,98.5,83.55,2021-11-14
East District,Sikkim,98.5,83.55,2021-11-16
North District,Sikkim,98.5,83.55,2021-11-16
South District,Sikkim,98.5,83.55,2021-11-16
West District,Sikkim,98.5,83.55,2021-11-16
East District,Sikkim,98.5,83.55,2021-11-17
North District,Sikkim,98.5,83.55,2021-11-17
South District,Sikkim,98.5,83.55,2021-11-17
West District,Sikkim,98.5,83.55,2021-11-17
East District,Sikkim,98.5,83.55,2021-11-19
North District,Sikkim,98.5,83.55,2021-11-19
South District,Sikkim,98.5,83.55,2021-11-19
West District,Sikkim,98.5,83.55,2021-11-19
East District,Sikkim,98.5,83.55,2021-11-23
North District,Sikkim,98.5,83.55,2021-11-23
South District,Sikkim,98.5,83.55,2021-11-23
West District,Sikkim,98.5,83.55,2021-11-23
East District,Sikkim,98.5,83.55,2021-11-24
North District,Sikkim,98.5,83.55,2021-11-24
South District,Sikkim,98.5,83.55,2021-11-24
West District,Sikkim,98.5,83.55,2021-11-24
East District,Sikkim,98.5,83.55,2021-11-29
North District,Sikkim,98.5,83.55,2021-11-29
South District,Sikkim,98.5,83.55,2021-11-29
West District,Sikkim,98.5,83.55,2021-11-29
East District,Sikkim,98.5,83.55,2021-12-01
North District,Sikkim,98.5,83.55,2021-12-01
South District,Sikkim,98.5,83.55,2021-12-01
West District,Sikkim,98.5,83.55,2021-12-01
East District,Sikkim,98.5,83.55,2021-12-02
North District,Sikkim,98.5,83.55,2021-12-02
South District,Sikkim,98.5,83.55,2021-12-02
West District,Sikkim,98.5,83.55,2021-12-02
East District,Sikkim,98.5,83.55,2021-12-03
North District,Sikkim,98.5,83.55,2021-12-03
South District,Sikkim,98.5,83.55,2021-12-03
West District,Sikkim,98.5,83.55,2021-12-03
East District,Sikkim,98.5,83.55,2021-12-06
North District,Sikkim,98.5,83.55,2021-12-06
South District,Sikkim,98.5,83.55,2021-12-06
West District,Sikkim,98.5,83.55,2021-12-06
East District,Sikkim,98.5,83.55,2021-12-22
North District,Sikkim,98.5,83.55,2021-12-22
South District,Sikkim,98.5,83.55,2021-12-22
West District,Sikkim,98.5,83.55,2021-12-22
East District,Sikkim,98.5,83.55,2021-12-29
North District,Sikkim,98.5,83.55,2021-12-29
South District,Sikkim,98.5,83.55,2021-12-29
West District,Sikkim,98.5,83.55,2021-12-29
