State,Petrol_Rate,Diesel_Rate,Date
Andaman And Nicobar,90.03,89.71,2021-10-27
Andhra Pradesh,114.48,107.0,2021-10-27
Arunachal Pradesh,102.38,95.46,2021-10-27
Assam,103.94,96.45,2021-10-27
Bihar,113.13,104.67,2021-10-27
Chandigarh,103.55,96.03,2021-10-27
Chhatisgarh,106.22,104.98,2021-10-27
Dadra And Nagar Haveli,102.67,102.26,2021-10-27
Daman And Diu,102.39,101.98,2021-10-27
Delhi,107.59,96.32,2021-10-27
Goa,105.18,101.66,2021-10-27
Gujarat,104.24,103.81,2021-10-27
Haryana,104.54,96.49,2021-10-27
Himachal Pradesh,103.99,94.73,2021-10-27
Jammu And Kashmir,109.94,99.78,2021-10-27
Jharkhand,102.29,102.02,2021-10-27
Karnataka,111.83,102.71,2021-10-27
Kerala,109.17,102.92,2021-10-27
Madhya Pradesh,117.53,106.87,2021-10-27
Maharashtra,114.18,103.51,2021-10-27
Manipur,109.46,97.8,2021-10-27
Meghalaya,102.08,94.92,2021-10-27
Mizoram,104.7,95.82,2021-10-27
Nagaland,106.28,98.82,2021-10-27
Odisha,110.51,107.03,2021-10-27
Pondicherry,105.36,100.53,2021-10-27
Punjab,109.38,99.27,2021-10-27
Rajasthan,115.33,106.58,2021-10-27
Sikkim,108.45,98.9,2021-10-27
Tamil Nadu,106.05,102.15,2021-10-27
Telangana,114.51,107.54,2021-10-27
Tripura,107.03,99.69,2021-10-27
Uttar Pradesh,104.57,96.82,2021-10-27
Uttarakhand,104.17,97.74,2021-10-27
West Bengal,109.2,100.47,2021-10-27
Andaman And Nicobar,90.31,90.03,2021-10-28
Andhra Pradesh,114.94,107.47,2021-10-28
Arunachal Pradesh,102.85,95.89,2021-10-28
Assam,104.29,96.82,2021-10-28
Bihar,113.47,104.98,2021-10-28
Chandigarh,103.88,96.38,2021-10-28
Chhatisgarh,106.28,105.08,2021-10-28
Dadra And Nagar Haveli,103.16,102.83,2021-10-28
Daman And Diu,102.72,102.35,2021-10-28
Delhi,107.94,96.67,2021-10-28
Goa,106.02,102.55,2021-10-28
Gujarat,105.08,104.72,2021-10-28
Haryana,105.6,97.53,2021-10-28
Himachal Pradesh,104.66,95.41,2021-10-28
Jammu And Kashmir,110.44,100.36,2021-10-28
Jharkhand,102.86,102.66,2021-10-28
Karnataka,112.37,103.28,2021-10-28
Kerala,109.05,102.85,2021-10-28
Madhya Pradesh,118.36,107.67,2021-10-28
Maharashtra,114.27,103.64,2021-10-28
Manipur,109.5,97.88,2021-10-28
Meghalaya,102.41,95.26,2021-10-28
Mizoram,105.39,96.48,2021-10-28
Nagaland,106.62,99.18,2021-10-28
Odisha,111.43,107.93,2021-10-28
Pondicherry,105.7,100.89,2021-10-28
Punjab,109.5,99.42,2021-10-28
Rajasthan,115.34,106.63,2021-10-28
Sikkim,108.8,99.25,2021-10-28
Tamil Nadu,106.02,102.17,2021-10-28
Telangana,114.88,107.93,2021-10-28
Tripura,107.96,100.6,2021-10-28
Uttar Pradesh,105.27,97.5,2021-10-28
Uttarakhand,104.47,98.04,2021-10-28
West Bengal,109.78,101.05,2021-10-28
Andaman And Nicobar,90.6,90.34,2021-10-29
Andhra Pradesh,114.04,106.68,2021-10-29
Arunachal Pradesh,103.22,96.31,2021-10-29
Assam,104.94,97.47,2021-10-29
Bihar,113.93,105.39,2021-10-29
Chandigarh,104.55,97.08,2021-10-29
Chhatisgarh,107.56,106.43,2021-10-29
Dadra And Nagar Haveli,103.49,103.2,2021-10-29
Daman And Diu,103.37,103.08,2021-10-29
Delhi,108.64,97.37,2021-10-29
Goa,106.21,102.77,2021-10-29
Gujarat,105.83,105.52,2021-10-29
Haryana,105.56,97.54,2021-10-29
Himachal Pradesh,104.66,95.48,2021-10-29
Jammu And Kashmir,110.94,100.83,2021-10-29
Jharkhand,103.21,103.05,2021-10-29
Karnataka,112.95,103.84,2021-10-29
