City,State,Petrol_Rate,Diesel_Rate,Date
Ariyalur,Tamil Nadu,106.05,102.15,2021-10-27
Chennai,Tamil Nadu,104.93,101.02,2021-10-27
Coimbatore,Tamil Nadu,105.3,101.41,2021-10-27
Cuddalore,Tamil Nadu,106.93,102.98,2021-10-27
Dharmapuri,Tamil Nadu,106.1,102.19,2021-10-27
Dindigul,Tamil Nadu,105.7,101.81,2021-10-27
Erode,Tamil Nadu,105.31,101.42,2021-10-27
Kanchipuram,Tamil Nadu,105.0,101.09,2021-10-27
Kanniyakumari,Tamil Nadu,106.12,102.24,2021-10-27
Karur,Tamil Nadu,105.11,101.23,2021-10-27
Krishnagiri,Tamil Nadu,106.46,102.55,2021-10-27
Madurai,Tamil Nadu,105.25,101.38,2021-10-27
Nagapattinam,Tamil Nadu,106.28,102.39,2021-10-27
Namakkal,Tamil Nadu,105.28,101.39,2021-10-27
Nilgiris,Tamil Nadu,106.42,102.3,2021-10-27
Perambalur,Tamil Nadu,105.91,102.03,2021-10-27
Pudukkottai,Tamil Nadu,105.62,101.74,2021-10-27
Ramanathapuram,Tamil Nadu,105.77,101.88,2021-10-27
Salem,Tamil Nadu,105.57,101.68,2021-10-27
Sivaganga,Tamil Nadu,105.84,101.95,2021-10-27
Teni,Tamil Nadu,106.05,102.16,2021-10-27
Thanjavur,Tamil Nadu,105.78,101.9,2021-10-27
Thiruvarur,Tamil Nadu,106.05,102.16,2021-10-27
Tiruchchirappalli,Tamil Nadu,105.27,101.4,2021-10-27
Tirunelveli,Tamil Nadu,105.61,101.75,2021-10-27
Tirupur,Tamil Nadu,105.4,101.5,2021-10-27
Tiruvallur,Tamil Nadu,105.17,101.26,2021-10-27
Tiruvannamalai,Tamil Nadu,106.0,102.07,2021-10-27
Tuticorin,Tamil Nadu,105.55,101.67,2021-10-27
Vellore,Tamil Nadu,106.1,102.17,2021-10-27
Viluppuram,Tamil Nadu,106.32,102.38,2021-10-27
Virudunagar,Tamil Nadu,105.48,101.6,2021-10-27
Ariyalur,Tamil Nadu,106.02,102.17,2021-10-28
Chennai,Tamil Nadu,105.13,101.25,2021-10-28
Coimbatore,Tamil Nadu,105.69,101.83,2021-10-28
Cuddalore,Tamil Nadu,107.24,103.31,2021-10-28
Dharmapuri,Tamil Nadu,106.15,102.28,2021-10-28
Dindigul,Tamil Nadu,105.84,101.99,2021-10-28
Erode,Tamil Nadu,105.61,101.76,2021-10-28
Kanchipuram,Tamil Nadu,105.59,101.71,2021-10-28
Kanniyakumari,Tamil Nadu,106.21,102.37,2021-10-28
Karur,Tamil Nadu,105.42,101.57,2021-10-28
Krishnagiri,Tamil Nadu,106.71,102.82,2021-10-28
Madurai,Tamil Nadu,105.72,101.88,2021-10-28
Nagapattinam,Tamil Nadu,106.55,102.68,2021-10-28
Namakkal,Tamil Nadu,105.7,101.84,2021-10-28
Nilgiris,Tamil Nadu,107.18,103.19,2021-10-28
Perambalur,Tamil Nadu,106.22,102.36,2021-10-28
Pudukkottai,Tamil Nadu,105.85,102.0,2021-10-28
Ramanathapuram,Tamil Nadu,106.58,102.71,2021-10-28
Salem,Tamil Nadu,105.93,102.06,2021-10-28
Sivaganga,Tamil Nadu,106.27,102.41,2021-10-28
Teni,Tamil Nadu,106.45,102.59,2021-10-28
Thanjavur,Tamil Nadu,106.2,102.35,2021-10-28
Thiruvarur,Tamil Nadu,106.38,102.52,2021-10-28
Tiruchchirappalli,Tamil Nadu,105.69,101.84,2021-10-28
Tirunelveli,Tamil Nadu,105.91,102.08,2021-10-28
Tirupur,Tamil Nadu,105.75,101.9,2021-10-28
Tiruvallur,Tamil Nadu,105.46,101.58,2021-10-28
Tiruvannamalai,Tamil Nadu,106.13,102.23,2021-10-28
Tuticorin,Tamil Nadu,105.47,101.63,2021-10-28
Vellore,Tamil Nadu,106.69,102.78,2021-10-28
Viluppuram,Tamil Nadu,106.07,102.17,2021-10-28
Virudunagar,Tamil Nadu,106.26,102.41,2021-10-28
Ariyalur,Tamil Nadu,106.48,102.65,2021-10-29
Chennai,Tamil Nadu,105.43,101.59,2021-10-29
Coimbatore,Tamil Nadu,105.91,102.07,2021-10-29
Cuddalore,Tamil Nadu,107.5,103.61,2021-10-29
Dharmapuri,Tamil Nadu,106.55,102.71,2021-10-29
Dindigul,Tamil Nadu,106.26,102.44,2021-10-29
Erode,Tamil Nadu,106.29,102.44,2021-10-29
Kanchipuram,Tamil Nadu,106.25,102.38,2021-10-29
Kanniyakumari,Tamil Nadu,106.34,102.54,2021-10-29
Karur,Tamil Nadu,105.81,101.99,2021-10-29
Krishnagiri,Tamil Nadu,107.42,103.55,2021-10-29
Madurai,Tamil Nadu,106.0,102.19,2021-10-29
Nagapattinam,Tamil Nadu,107.0,103.16,2021-10-29
Namakkal,Tamil Nadu,106.06,102.23,2021-10-29
Nilgiris,Tamil Nadu,107.01,102.97,2021-10-29
Perambalur,Tamil Nadu,106.47,102.64,2021-10-29
Pudukkottai,Tamil Nadu,106.16,102.33,2021-10-29
Ramanathapuram,Tamil Nadu,106.98,103.14,2021-10-29
Salem,Tamil Nadu,106.24,102.41,2021-10-29
Sivaganga,Tamil Nadu,106.61,102.78,2021-10-29
Teni,Tamil Nadu,106.63,102.8,2021-10-29
Thanjavur,Tamil Nadu,105.94,102.13,2021-10-29
Thiruvarur,Tamil Nadu,106.5,102.67,2021-10-29
Tiruchchirappalli,Tamil Nadu,106.21,102.39,2021-10-29
Tirunelveli,Tamil Nadu,105.74,101.95,2021-10-29
Tirupur,Tamil Nadu,106.29,102.45,2021-10-29
Tiruvallur,Tamil Nadu,105.69,101.84,2021-10-29
