City,State,Petrol_Rate,Diesel_Rate,Date
Dhalai,Tripura,107.03,99.69,2021-10-27
Gomati,Tripura,108.8,101.35,2021-10-27
Khowai,Tripura,107.98,100.59,2021-10-27
North Tripura,Tripura,106.53,99.24,2021-10-27
Sepahijhala,Tripura,108.3,100.88,2021-10-27
South Tripura,Tripura,109.46,101.94,2021-10-27
Unakoti,Tripura,106.64,99.34,2021-10-27
West Tripura,Tripura,108.18,100.77,2021-10-27
Dhalai,Tripura,107.96,100.6,2021-10-28
Gomati,Tripura,109.15,101.71,2021-10-28
Khowai,Tripura,108.03,100.67,2021-10-28
North Tripura,Tripura,107.26,99.95,2021-10-28
Sepahijhala,Tripura,108.93,101.51,2021-10-28
South Tripura,Tripura,109.42,101.96,2021-10-28
Unakoti,Tripura,106.95,99.67,2021-10-28
West Tripura,Tripura,108.69,101.28,2021-10-28
Dhalai,Tripura,108.48,101.13,2021-10-29
Gomati,Tripura,109.49,102.07,2021-10-29
Khowai,Tripura,108.67,101.3,2021-10-29
North Tripura,Tripura,107.6,100.31,2021-10-29
Sepahijhala,Tripura,108.99,101.6,2021-10-29
South Tripura,Tripura,109.78,102.33,2021-10-29
Unakoti,Tripura,107.37,100.09,2021-10-29
West Tripura,Tripura,108.83,101.45,2021-10-29
Dhalai,Tripura,108.48,101.13,2021-10-30
Gomati,Tripura,109.49,102.07,2021-10-30
Khowai,Tripura,108.67,101.3,2021-10-30
North Tripura,Tripura,107.6,100.31,2021-10-30
Sepahijhala,Tripura,108.99,101.6,2021-10-30
South Tripura,Tripura,109.78,102.33,2021-10-30
Unakoti,Tripura,107.37,100.09,2021-10-30
West Tripura,Tripura,108.83,101.45,2021-10-30
Dhalai,Tripura,109.42,102.11,2021-11-01
Gomati,Tripura,110.89,103.48,2021-11-01
Khowai,Tripura,109.81,102.47,2021-11-01
North Tripura,Tripura,108.44,101.21,2021-11-01
Sepahijhala,Tripura,110.52,103.14,2021-11-01
South Tripura,Tripura,111.27,103.83,2021-11-01
Unakoti,Tripura,108.52,101.28,2021-11-01
West Tripura,Tripura,109.97,102.63,2021-11-01
Dhalai,Tripura,109.96,0.0,2021-11-04
Gomati,Tripura,111.24,0.0,2021-11-04
Khowai,Tripura,109.85,0.0,2021-11-04
North Tripura,Tripura,108.62,0.0,2021-11-04
Sepahijhala,Tripura,110.5,0.0,2021-11-04
South Tripura,Tripura,111.64,0.0,2021-11-04
Unakoti,Tripura,108.7,0.0,2021-11-04
West Tripura,Tripura,110.33,0.0,2021-11-04
Dhalai,Tripura,97.71,85.13,2021-11-07
Gomati,Tripura,98.83,86.18,2021-11-07
Khowai,Tripura,98.08,85.47,2021-11-07
North Tripura,Tripura,96.62,84.12,2021-11-07
Sepahijhala,Tripura,98.54,85.9,2021-11-07
South Tripura,Tripura,99.18,86.5,2021-11-07
Unakoti,Tripura,96.86,84.34,2021-11-07
West Tripura,Tripura,98.23,85.61,2021-11-07
Dhalai,Tripura,97.71,85.13,2021-11-08
Gomati,Tripura,98.9,86.23,2021-11-08
Khowai,Tripura,97.78,85.2,2021-11-08
North Tripura,Tripura,97.01,84.48,2021-11-08
Sepahijhala,Tripura,98.6,85.96,2021-11-08
South Tripura,Tripura,99.18,86.5,2021-11-08
Unakoti,Tripura,96.86,84.34,2021-11-08
West Tripura,Tripura,98.27,85.65,2021-11-08
Dhalai,Tripura,97.71,85.13,2021-11-09
Gomati,Tripura,98.9,86.23,2021-11-09
Khowai,Tripura,98.08,85.47,2021-11-09
North Tripura,Tripura,96.62,84.12,2021-11-09
Sepahijhala,Tripura,98.6,85.96,2021-11-09
South Tripura,Tripura,99.18,86.5,2021-11-09
Unakoti,Tripura,96.77,84.26,2021-11-09
West Tripura,Tripura,98.27,85.65,2021-11-09
Dhalai,Tripura,97.71,85.13,2021-11-11
Gomati,Tripura,98.83,86.18,2021-11-11
Khowai,Tripura,97.78,85.2,2021-11-11
North Tripura,Tripura,97.01,84.48,2021-11-11
Sepahijhala,Tripura,98.68,86.03,2021-11-11
South Tripura,Tripura,99.16,86.48,2021-11-11
Unakoti,Tripura,96.77,84.26,2021-11-11
West Tripura,Tripura,98.23,85.61,2021-11-11
Dhalai,Tripura,97.71,85.13,2021-11-12
Gomati,Tripura,98.83,86.18,2021-11-12
Khowai,Tripura,97.78,85.2,2021-11-12
North Tripura,Tripura,96.62,84.12,2021-11-12
Sepahijhala,Tripura,98.68,86.03,2021-11-12
South Tripura,Tripura,99.46,86.76,2021-11-12
Unakoti,Tripura,96.86,84.34,2021-11-12
West Tripura,Tripura,98.23,85.61,2021-11-12
Dhalai,Tripura,97.71,85.13,2021-11-14
Gomati,Tripura,98.9,86.23,2021-11-14
Khowai,Tripura,97.78,85.2,2021-11-14
North Tripura,Tripura,97.01,84.48,2021-11-14
Sepahijhala,Tripura,98.68,86.03,2021-11-14
South Tripura,Tripura,99.16,86.48,2021-11-14
Unakoti,Tripura,96.7,84.19,2021-11-14
West Tripura,Tripura,98.44,85.81,2021-11-14
Dhalai,Tripura,97.89,85.29,2021-11-16
Gomati,Tripura,98.83,86.18,2021-11-16
Khowai,Tripura,98.08,85.47,2021-11-16
North Tripura,Tripura,96.62,84.12,2021-11-16
Sepahijhala,Tripura,98.6,85.96,2021-11-16
South Tripura,Tripura,99.18,86.5,2021-11-16
Unakoti,Tripura,96.86,84.34,2021-11-16
West Tripura,Tripura,98.23,85.61,2021-11-16
Dhalai,Tripura,97.37,84.81,2021-11-17
Gomati,Tripura,98.9,86.23,2021-11-17
Khowai,Tripura,97.78,85.2,2021-11-17
North Tripura,Tripura,96.62,84.12,2021-11-17
Sepahijhala,Tripura,98.68,86.03,2021-11-17
South Tripura,Tripura,99.56,86.83,2021-11-17
Unakoti,Tripura,96.86,84.34,2021-11-17
West Tripura,Tripura,98.17,85.56,2021-11-17
Dhalai,Tripura,97.37,84.81,2021-11-19
Gomati,Tripura,98.83,86.18,2021-11-19
Khowai,Tripura,97.78,85.2,2021-11-19
North Tripura,Tripura,97.01,84.48,2021-11-19
Sepahijhala,Tripura,98.54,85.9,2021-11-19
South Tripura,Tripura,99.16,86.48,2021-11-19
Unakoti,Tripura,96.77,84.26,2021-11-19
West Tripura,Tripura,98.27,85.65,2021-11-19
Dhalai,Tripura,97.71,85.13,2021-11-23
Gomati,Tripura,98.82,86.16,2021-11-23
Khowai,Tripura,97.78,85.2,2021-11-23
North Tripura,Tripura,96.62,84.12,2021-11-23
Sepahijhala,Tripura,98.75,86.1,2021-11-23
South Tripura,Tripura,99.18,86.5,2021-11-23
Unakoti,Tripura,96.77,84.26,2021-11-23
West Tripura,Tripura,98.23,85.61,2021-11-23
Dhalai,Tripura,97.71,85.13,2021-11-24
Gomati,Tripura,98.82,86.16,2021-11-24
Khowai,Tripura,97.78,85.2,2021-11-24
North Tripura,Tripura,96.62,84.12,2021-11-24
Sepahijhala,Tripura,98.75,86.1,2021-11-24
South Tripura,Tripura,99.18,86.5,2021-11-24
Unakoti,Tripura,96.77,84.26,2021-11-24
West Tripura,Tripura,98.23,85.61,2021-11-24
Dhalai,Tripura,97.37,84.81,2021-11-29
Gomati,Tripura,98.83,86.18,2021-11-29
Khowai,Tripura,97.78,85.2,2021-11-29
North Tripura,Tripura,97.01,84.48,2021-11-29
Sepahijhala,Tripura,98.68,86.03,2021-11-29
South Tripura,Tripura,99.16,86.48,2021-11-29
Unakoti,Tripura,96.77,84.26,2021-11-29
West Tripura,Tripura,98.23,85.61,2021-11-29
Dhalai,Tripura,97.89,85.29,2021-12-01
Gomati,Tripura,99.32,86.63,2021-12-01
Khowai,Tripura,97.78,85.2,2021-12-01
North Tripura,Tripura,96.62,84.12,2021-12-01
Sepahijhala,Tripura,98.6,85.96,2021-12-01
South Tripura,Tripura,99.56,86.83,2021-12-01
Unakoti,Tripura,96.7,84.19,2021-12-01
West Tripura,Tripura,98.23,85.61,2021-12-01
Dhalai,Tripura,97.89,85.29,2021-12-02
Gomati,Tripura,99.09,86.42,2021-12-02
Khowai,Tripura,97.78,85.2,2021-12-02
North Tripura,Tripura,96.62,84.12,2021-12-02
Sepahijhala,Tripura,98.39,85.77,2021-12-02
South Tripura,Tripura,99.46,86.76,2021-12-02
Unakoti,Tripura,96.77,84.26,2021-12-02
West Tripura,Tripura,98.52,85.88,2021-12-02
Dhalai,Tripura,97.89,85.29,2021-12-03
Gomati,Tripura,99.09,86.42,2021-12-03
Khowai,Tripura,97.78,85.2,2021-12-03
North Tripura,Tripura,96.62,84.12,2021-12-03
Sepahijhala,Tripura,98.39,85.77,2021-12-03
South Tripura,Tripura,99.46,86.76,2021-12-03
Unakoti,Tripura,96.77,84.26,2021-12-03
West Tripura,Tripura,98.52,85.88,2021-12-03
