City,State,Petrol_Rate,Diesel_Rate,Date
Agra,Uttar Pradesh,104.57,96.82,2021-10-27
Aligarh,Uttar Pradesh,105.0,97.21,2021-10-27
Allahabad,Uttar Pradesh,105.61,97.81,2021-10-27
Ambedkarnagar,Uttar Pradesh,106.39,98.52,2021-10-27
Amethi/csm Nagar,Uttar Pradesh,105.59,97.78,2021-10-27
Amroha,Uttar Pradesh,105.49,97.68,2021-10-27
Auraiya,Uttar Pradesh,105.46,97.66,2021-10-27
Azamgarh,Uttar Pradesh,106.06,98.21,2021-10-27
Baghpat,Uttar Pradesh,104.77,97.01,2021-10-27
Bahraich,Uttar Pradesh,105.94,98.12,2021-10-27
Ballia,Uttar Pradesh,105.64,97.83,2021-10-27
Balrampur,Uttar Pradesh,105.05,97.3,2021-10-27
Banda,Uttar Pradesh,106.08,98.23,2021-10-27
Barabanki,Uttar Pradesh,104.9,97.15,2021-10-27
Bareilly,Uttar Pradesh,104.73,96.99,2021-10-27
Basti,Uttar Pradesh,105.53,97.73,2021-10-27
Bijnor,Uttar Pradesh,104.84,97.08,2021-10-27
Budaun,Uttar Pradesh,104.58,96.85,2021-10-27
Bulandshahr,Uttar Pradesh,105.62,97.77,2021-10-27
Chandauli,Uttar Pradesh,104.84,97.1,2021-10-27
Chitrakut,Uttar Pradesh,105.57,97.78,2021-10-27
Deoria,Uttar Pradesh,104.63,96.9,2021-10-27
Etah,Uttar Pradesh,105.06,97.27,2021-10-27
Etawah,Uttar Pradesh,105.48,97.65,2021-10-27
Faizabad,Uttar Pradesh,105.5,97.72,2021-10-27
Farrukkhabad,Uttar Pradesh,105.19,97.42,2021-10-27
Fatehpur,Uttar Pradesh,106.08,98.23,2021-10-27
Firozabad,Uttar Pradesh,104.41,96.67,2021-10-27
Gautam Budh Nagar,Uttar Pradesh,105.1,97.32,2021-10-27
Ghaziabad,Uttar Pradesh,104.7,96.95,2021-10-27
Ghazipur,Uttar Pradesh,105.59,97.79,2021-10-27
Gonda,Uttar Pradesh,104.97,97.23,2021-10-27
Gorakhpur,Uttar Pradesh,105.0,97.24,2021-10-27
Hamirpur,Uttar Pradesh,105.44,97.64,2021-10-27
Hapur,Uttar Pradesh,105.03,97.25,2021-10-27
Hardoi,Uttar Pradesh,104.72,96.98,2021-10-27
Hathras,Uttar Pradesh,104.82,97.04,2021-10-27
Jalaun,Uttar Pradesh,105.64,97.83,2021-10-27
Jaunpur,Uttar Pradesh,106.1,98.26,2021-10-27
Jhansi,Uttar Pradesh,105.14,97.35,2021-10-27
Kannuaj,Uttar Pradesh,105.47,97.66,2021-10-27
Kanpur Rural,Uttar Pradesh,105.15,97.37,2021-10-27
Kanpur Urban,Uttar Pradesh,104.56,96.83,2021-10-27
Kashi Ram Nagar,Uttar Pradesh,105.17,97.37,2021-10-27
Kaushambi,Uttar Pradesh,105.4,97.63,2021-10-27
Kushinagar,Uttar Pradesh,104.94,97.18,2021-10-27
Lakhimpur,Uttar Pradesh,105.16,97.39,2021-10-27
Lalitpur,Uttar Pradesh,105.16,97.36,2021-10-27
Lucknow,Uttar Pradesh,104.82,97.08,2021-10-27
Maharajganj,Uttar Pradesh,105.26,97.48,2021-10-27
Mahoba,Uttar Pradesh,106.21,98.34,2021-10-27
Mainpuri,Uttar Pradesh,105.22,97.42,2021-10-27
Mathura,Uttar Pradesh,104.71,96.94,2021-10-27
Maunathbhanjan,Uttar Pradesh,105.56,97.75,2021-10-27
Meerut,Uttar Pradesh,104.71,96.96,2021-10-27
Mirzapur,Uttar Pradesh,105.32,97.54,2021-10-27
Moradabad,Uttar Pradesh,105.03,97.26,2021-10-27
Muzaffarnagar,Uttar Pradesh,105.11,97.32,2021-10-27
Pilibhit,Uttar Pradesh,105.5,97.7,2021-10-27
Pratapgarh,Uttar Pradesh,105.67,97.87,2021-10-27
Rae Bareli,Uttar Pradesh,105.19,97.41,2021-10-27
Rampur,Uttar Pradesh,105.13,97.35,2021-10-27
Saharanpur,Uttar Pradesh,105.32,97.52,2021-10-27
Sambhal,Uttar Pradesh,105.32,97.53,2021-10-27
Sant Kabir Nagar,Uttar Pradesh,105.13,97.35,2021-10-27
Sant Ravi Nagar,Uttar Pradesh,105.51,97.72,2021-10-27
Shahjahanpur,Uttar Pradesh,105.22,97.44,2021-10-27
Shamli,Uttar Pradesh,105.15,97.37,2021-10-27
Shravasti,Uttar Pradesh,105.7,97.9,2021-10-27
Sidharthnagar,Uttar Pradesh,105.55,97.74,2021-10-27
Sitapur,Uttar Pradesh,105.8,97.98,2021-10-27
Sonbhadra,Uttar Pradesh,105.77,97.96,2021-10-27
Sultanpur,Uttar Pradesh,106.37,98.5,2021-10-27
Unnao,Uttar Pradesh,104.99,97.22,2021-10-27
Varanasi,Uttar Pradesh,105.4,97.61,2021-10-27
Agra,Uttar Pradesh,105.27,97.5,2021-10-28
Aligarh,Uttar Pradesh,105.18,97.41,2021-10-28
Allahabad,Uttar Pradesh,105.52,97.77,2021-10-28
Ambedkarnagar,Uttar Pradesh,106.8,98.95,2021-10-28
Amethi/csm Nagar,Uttar Pradesh,105.71,97.93,2021-10-28
Amroha,Uttar Pradesh,106.12,98.3,2021-10-28
Auraiya,Uttar Pradesh,105.81,98.02,2021-10-28
Azamgarh,Uttar Pradesh,106.47,98.63,2021-10-28
Baghpat,Uttar Pradesh,105.05,97.31,2021-10-28
Bahraich,Uttar Pradesh,105.59,97.84,2021-10-28
Ballia,Uttar Pradesh,105.99,98.18,2021-10-28
Balrampur,Uttar Pradesh,105.67,97.91,2021-10-28
Banda,Uttar Pradesh,106.52,98.67,2021-10-28
Barabanki,Uttar Pradesh,105.41,97.65,2021-10-28
Bareilly,Uttar Pradesh,105.12,97.39,2021-10-28
Basti,Uttar Pradesh,105.92,98.12,2021-10-28
Bijnor,Uttar Pradesh,105.35,97.59,2021-10-28
Budaun,Uttar Pradesh,105.22,97.47,2021-10-28
Bulandshahr,Uttar Pradesh,105.72,97.91,2021-10-28
Chandauli,Uttar Pradesh,105.25,97.51,2021-10-28
Chitrakut,Uttar Pradesh,106.24,98.43,2021-10-28
Deoria,Uttar Pradesh,105.02,97.29,2021-10-28
Etah,Uttar Pradesh,105.32,97.55,2021-10-28
Etawah,Uttar Pradesh,105.59,97.8,2021-10-28
Faizabad,Uttar Pradesh,105.66,97.9,2021-10-28
Farrukkhabad,Uttar Pradesh,105.54,97.77,2021-10-28
