City,State,Petrol_Rate,Diesel_Rate,Date
Almora,Uttarakhand,104.17,97.74,2021-10-27
Bageshwar,Uttarakhand,104.65,98.24,2021-10-27
Chamoli,Uttarakhand,106.24,99.67,2021-10-27
Champawat,Uttarakhand,105.18,98.57,2021-10-27
Dehradun,Uttarakhand,103.62,97.27,2021-10-27
Haridwar,Uttarakhand,103.11,96.82,2021-10-27
Nainital,Uttarakhand,103.17,96.88,2021-10-27
Pauri,Uttarakhand,104.04,97.68,2021-10-27
Pithoragarh,Uttarakhand,105.77,99.13,2021-10-27
Rudraprayag,Uttarakhand,106.16,99.57,2021-10-27
Tehri Garhwal,Uttarakhand,105.42,98.93,2021-10-27
Udham Singh Nagar,Uttarakhand,103.83,97.51,2021-10-27
Uttarkashi,Uttarakhand,105.44,98.91,2021-10-27
Almora,Uttarakhand,104.47,98.04,2021-10-28
Bageshwar,Uttarakhand,104.99,98.59,2021-10-28
Chamoli,Uttarakhand,106.9,100.23,2021-10-28
Champawat,Uttarakhand,104.32,98.0,2021-10-28
Dehradun,Uttarakhand,104.12,97.76,2021-10-28
Haridwar,Uttarakhand,103.35,97.09,2021-10-28
Nainital,Uttarakhand,103.6,97.33,2021-10-28
Pauri,Uttarakhand,105.38,98.9,2021-10-28
Pithoragarh,Uttarakhand,106.1,99.49,2021-10-28
Rudraprayag,Uttarakhand,106.17,99.64,2021-10-28
Tehri Garhwal,Uttarakhand,104.74,98.26,2021-10-28
Udham Singh Nagar,Uttarakhand,103.81,97.53,2021-10-28
Uttarkashi,Uttarakhand,105.47,98.98,2021-10-28
Almora,Uttarakhand,104.81,98.39,2021-10-29
Bageshwar,Uttarakhand,105.33,98.94,2021-10-29
Chamoli,Uttarakhand,107.24,100.58,2021-10-29
Champawat,Uttarakhand,105.62,99.21,2021-10-29
Dehradun,Uttarakhand,104.59,98.24,2021-10-29
Haridwar,Uttarakhand,103.78,97.53,2021-10-29
Nainital,Uttarakhand,103.8,97.56,2021-10-29
Pauri,Uttarakhand,105.72,99.25,2021-10-29
Pithoragarh,Uttarakhand,105.66,99.3,2021-10-29
Rudraprayag,Uttarakhand,106.93,100.37,2021-10-29
Tehri Garhwal,Uttarakhand,105.68,99.23,2021-10-29
Udham Singh Nagar,Uttarakhand,104.51,98.21,2021-10-29
Uttarkashi,Uttarakhand,106.11,99.61,2021-10-29
Almora,Uttarakhand,104.81,0.0,2021-10-30
Bageshwar,Uttarakhand,105.33,0.0,2021-10-30
Chamoli,Uttarakhand,107.24,0.0,2021-10-30
Champawat,Uttarakhand,105.62,0.0,2021-10-30
Dehradun,Uttarakhand,104.59,0.0,2021-10-30
Haridwar,Uttarakhand,103.78,0.0,2021-10-30
Nainital,Uttarakhand,103.8,0.0,2021-10-30
Pauri,Uttarakhand,105.72,0.0,2021-10-30
Pithoragarh,Uttarakhand,105.66,0.0,2021-10-30
Rudraprayag,Uttarakhand,106.93,0.0,2021-10-30
Tehri Garhwal,Uttarakhand,105.68,0.0,2021-10-30
Udham Singh Nagar,Uttarakhand,104.51,0.0,2021-10-30
Uttarkashi,Uttarakhand,106.11,0.0,2021-10-30
Almora,Uttarakhand,105.97,99.6,2021-11-01
Bageshwar,Uttarakhand,106.46,100.11,2021-11-01
Chamoli,Uttarakhand,107.07,100.71,2021-11-01
Champawat,Uttarakhand,106.78,100.39,2021-11-01
Dehradun,Uttarakhand,105.53,99.21,2021-11-01
