City,State,Petrol_Rate,Diesel_Rate,Date
Alipurduar,West Bengal,109.2,100.47,2021-10-27
Bankura,West Bengal,108.43,99.76,2021-10-27
Birbhum,West Bengal,109.05,100.34,2021-10-27
Cooch Bihar,West Bengal,109.4,100.66,2021-10-27
Dakshin Dinajpur,West Bengal,108.96,100.25,2021-10-27
Darjeeling,West Bengal,108.39,99.72,2021-10-27
Hooghly,West Bengal,109.06,100.34,2021-10-27
Howrah,West Bengal,108.46,99.78,2021-10-27
Jalpaiguri,West Bengal,108.21,99.55,2021-10-27
Jhargram,West Bengal,109.14,100.38,2021-10-27
Kalimpong,West Bengal,108.39,99.71,2021-10-27
Kolkata,West Bengal,108.45,99.78,2021-10-27
Malda,West Bengal,108.32,99.65,2021-10-27
Murshidabad,West Bengal,109.81,101.04,2021-10-27
Nadia,West Bengal,109.51,100.76,2021-10-27
North 24 Parganas,West Bengal,108.53,99.85,2021-10-27
Paschim Bardhaman,West Bengal,108.78,100.09,2021-10-27
Paschim Medinipur,West Bengal,108.97,100.23,2021-10-27
Purba Bardhaman,West Bengal,108.81,100.12,2021-10-27
Purba Medinipur,West Bengal,108.79,100.06,2021-10-27
Purulia,West Bengal,109.78,101.02,2021-10-27
South 24 Parganas,West Bengal,108.46,99.78,2021-10-27
Uttar Dinajpur,West Bengal,109.07,100.35,2021-10-27
Alipurduar,West Bengal,109.78,101.05,2021-10-28
Bankura,West Bengal,109.19,100.51,2021-10-28
Birbhum,West Bengal,109.06,100.39,2021-10-28
Cooch Bihar,West Bengal,109.86,101.13,2021-10-28
Dakshin Dinajpur,West Bengal,109.24,100.55,2021-10-28
Darjeeling,West Bengal,108.48,99.84,2021-10-28
Hooghly,West Bengal,109.08,100.4,2021-10-28
Howrah,West Bengal,109.13,100.45,2021-10-28
Jalpaiguri,West Bengal,108.66,100.0,2021-10-28
Jhargram,West Bengal,109.64,100.89,2021-10-28
Kalimpong,West Bengal,108.72,100.06,2021-10-28
Kolkata,West Bengal,108.78,100.14,2021-10-28
Malda,West Bengal,108.68,100.02,2021-10-28
Murshidabad,West Bengal,110.15,101.39,2021-10-28
Nadia,West Bengal,110.1,101.35,2021-10-28
North 24 Parganas,West Bengal,109.74,101.02,2021-10-28
Paschim Bardhaman,West Bengal,109.16,100.48,2021-10-28
Paschim Medinipur,West Bengal,109.4,100.67,2021-10-28
Purba Bardhaman,West Bengal,109.03,100.36,2021-10-28
Purba Medinipur,West Bengal,109.16,100.45,2021-10-28
Purulia,West Bengal,110.3,101.54,2021-10-28
South 24 Parganas,West Bengal,108.79,100.14,2021-10-28
Uttar Dinajpur,West Bengal,109.4,100.7,2021-10-28
Alipurduar,West Bengal,110.66,101.9,2021-10-29
Bankura,West Bengal,109.16,100.52,2021-10-29
Birbhum,West Bengal,109.96,101.25,2021-10-29
Cooch Bihar,West Bengal,110.18,101.45,2021-10-29
Dakshin Dinajpur,West Bengal,109.5,100.83,2021-10-29
Darjeeling,West Bengal,108.82,100.19,2021-10-29
Hooghly,West Bengal,109.89,101.19,2021-10-29
Howrah,West Bengal,109.46,100.79,2021-10-29
Jalpaiguri,West Bengal,109.17,100.52,2021-10-29
Jhargram,West Bengal,109.98,101.24,2021-10-29
Kalimpong,West Bengal,109.06,100.41,2021-10-29
Kolkata,West Bengal,109.12,100.49,2021-10-29
Malda,West Bengal,109.27,100.62,2021-10-29
Murshidabad,West Bengal,109.47,100.8,2021-10-29
Nadia,West Bengal,110.63,101.88,2021-10-29
North 24 Parganas,West Bengal,109.66,100.98,2021-10-29
Paschim Bardhaman,West Bengal,108.98,100.36,2021-10-29
Paschim Medinipur,West Bengal,109.61,100.9,2021-10-29
Purba Bardhaman,West Bengal,109.33,100.68,2021-10-29
Purba Medinipur,West Bengal,109.16,100.48,2021-10-29
Purulia,West Bengal,110.51,101.78,2021-10-29
South 24 Parganas,West Bengal,109.13,100.49,2021-10-29
Uttar Dinajpur,West Bengal,109.45,100.78,2021-10-29
Alipurduar,West Bengal,110.66,101.9,2021-10-30
Bankura,West Bengal,109.16,100.52,2021-10-30
Birbhum,West Bengal,109.96,101.25,2021-10-30
Cooch Bihar,West Bengal,110.18,101.45,2021-10-30
Dakshin Dinajpur,West Bengal,109.5,100.83,2021-10-30
Darjeeling,West Bengal,108.82,100.19,2021-10-30
Hooghly,West Bengal,109.89,101.19,2021-10-30
Howrah,West Bengal,109.46,100.79,2021-10-30
Jalpaiguri,West Bengal,109.17,100.52,2021-10-30
Jhargram,West Bengal,109.98,101.24,2021-10-30
Kalimpong,West Bengal,109.06,100.41,2021-10-30
Kolkata,West Bengal,109.12,100.49,2021-10-30
Malda,West Bengal,109.27,100.62,2021-10-30
Murshidabad,West Bengal,109.47,100.8,2021-10-30
Nadia,West Bengal,110.63,101.88,2021-10-30
North 24 Parganas,West Bengal,109.66,100.98,2021-10-30
Paschim Bardhaman,West Bengal,108.98,100.36,2021-10-30
Paschim Medinipur,West Bengal,109.61,100.9,2021-10-30
Purba Bardhaman,West Bengal,109.33,100.68,2021-10-30
Purba Medinipur,West Bengal,109.16,100.48,2021-10-30
Purulia,West Bengal,110.51,101.78,2021-10-30
